,HIST1H2BI (8346)
ACH-000004,-0.34448909047407683
ACH-000005,-0.6284258911074753
ACH-000007,-0.2321534724944416
ACH-000009,-0.5387972140044411
ACH-000011,-0.4574526704517664
ACH-000012,-0.3628526821718892
ACH-000013,-0.2585854457899922
ACH-000014,-0.5526512940728994
ACH-000015,-0.2850201220812917
ACH-000017,-0.5741283691340466
ACH-000018,-0.3789574925163016
ACH-000019,-0.43680011756264187
ACH-000021,-0.2804129872909597
ACH-000022,-0.17418106013146167
ACH-000025,-0.36829712658509306
ACH-000028,-0.3952452927766508
ACH-000030,-0.37729143462995773
ACH-000035,-0.5777143725066489
ACH-000036,-0.4332133970891777
ACH-000037,-0.252354552792008
ACH-000039,-0.2949296405412091
ACH-000040,-0.3840413248489705
ACH-000041,-0.5302766726212982
ACH-000042,-0.2844199566914343
ACH-000045,-0.4315299068523972
ACH-000047,-0.2414219044024845
ACH-000052,-0.4571348045825279
ACH-000053,-0.435513728503996
ACH-000054,-0.32370885465674226
ACH-000055,-0.11070916472815244
ACH-000060,-0.33391453895549683
ACH-000067,-0.33934292355379403
ACH-000070,-0.34434710143206004
ACH-000075,-0.283469096859136
ACH-000078,-0.5550424151221434
ACH-000082,-0.39931856808605537
ACH-000085,-0.12146602047657012
ACH-000086,-0.6014679845127777
ACH-000087,-0.5784163698148022
ACH-000092,-0.3905265658687517
ACH-000095,-0.4654855116869131
ACH-000097,-0.4290912841964929
ACH-000098,-0.3815063735036906
ACH-000099,-0.5699061776858021
ACH-000108,-0.34410376138490506
ACH-000113,-0.2469912630619635
ACH-000116,-0.2952776676292481
ACH-000118,-0.5293275225447623
ACH-000120,-0.3839126371529312
ACH-000123,-0.5157489830608191
ACH-000127,-0.2649608700517502
ACH-000128,-0.28400965819414675
ACH-000132,-0.18124578876319095
ACH-000133,-0.4587965481245558
ACH-000137,-0.3134628356807616
ACH-000138,-0.4711833765448802
ACH-000142,-0.4054322087021829
ACH-000143,-0.5269699131273895
ACH-000146,-0.40134758816482624
ACH-000148,-0.3956109534847629
ACH-000150,-0.4053342148694566
ACH-000152,-0.3362723520747368
ACH-000153,-0.2820449410653812
ACH-000159,-0.4315462669968468
ACH-000160,-0.09867572557791593
ACH-000163,-0.38516528852615506
ACH-000167,0.1727898261412833
ACH-000168,-0.482103400105829
ACH-000169,-0.6325778556078936
ACH-000178,-0.4468548517756077
ACH-000183,-0.4866749417244858
ACH-000188,-0.4913032605532574
ACH-000189,-0.17200836672843778
ACH-000190,0.10345384114392132
ACH-000198,-0.5350949696324417
ACH-000203,-0.688749078677731
ACH-000204,-0.4964412857093165
ACH-000206,-1.0354419416820175
ACH-000207,-0.45684460401923405
ACH-000208,-0.3609007161721912
ACH-000210,0.1165544142333982
ACH-000211,-0.23906564649155101
ACH-000215,-0.3679263012492656
ACH-000221,-0.22324835669309934
ACH-000222,-0.27885953497325444
ACH-000223,-0.5234931879198192
ACH-000226,-0.4443596929607079
ACH-000227,-0.3797446153205983
ACH-000228,-0.4032409809925145
ACH-000231,-0.5283899297825106
ACH-000232,-0.308743506386725
ACH-000233,-0.4726206743323373
ACH-000234,-0.2985532671958713
ACH-000235,-0.39290267704460535
ACH-000237,-0.3636070212382344
ACH-000238,-0.4756874850963274
ACH-000242,-0.8054310952408688
ACH-000243,-0.30201692981795125
ACH-000244,-0.393849693445537
ACH-000246,-0.3313386169059241
ACH-000248,-0.6285669396543949
ACH-000250,-0.4338848136081617
ACH-000251,-0.9118634102730524
ACH-000252,-0.11247652869662036
ACH-000253,-0.4611703398607606
ACH-000255,-0.41906555991960776
ACH-000256,-0.3348752809845187
ACH-000257,-0.002467805747966609
ACH-000258,-0.27502077983391304
ACH-000259,-0.2507940510379795
ACH-000260,-0.3980497919580446
ACH-000261,-0.2869224647056487
ACH-000262,-0.16402775701545907
ACH-000263,-0.6858477965524818
ACH-000264,-0.4160507412087885
ACH-000265,-0.4165881912455905
ACH-000266,-0.2811009512835166
ACH-000272,-0.3825163282041875
ACH-000274,-0.28437273415938386
ACH-000277,-0.3834957598499828
ACH-000278,-0.4169690876640924
ACH-000279,-0.4159194418911374
ACH-000280,-0.43466356897690295
ACH-000281,-0.5158485410997468
ACH-000288,-0.22486483249790007
ACH-000291,-0.2189839350779729
ACH-000293,-0.2547545433779269
ACH-000294,-0.2612955457887754
ACH-000295,-0.17376257774870715
ACH-000296,-0.3656800970135095
ACH-000302,-0.1823636790011317
ACH-000304,-0.3255696002502456
ACH-000307,-0.5507701648578016
ACH-000308,-0.3453518163389149
ACH-000310,-0.4002478028443089
ACH-000311,-0.3383414302817299
ACH-000312,-0.25541257575549303
ACH-000315,-0.10242595488557904
ACH-000316,-0.2806079476210561
ACH-000317,-0.6816176464244691
ACH-000318,-0.4250689983893649
ACH-000319,-0.4238153408057526
ACH-000320,-0.26682338607338696
ACH-000322,-0.2378103608854404
ACH-000323,-0.3816529889203424
ACH-000324,-0.4372517834048264
ACH-000329,-0.4056616136278764
ACH-000330,-0.554859494988665
ACH-000331,-0.44057185826420026
ACH-000332,-0.3484182438100044
ACH-000334,-0.4627714388414229
ACH-000335,-0.3732161586335885
ACH-000336,-0.3309974694920526
ACH-000337,-0.15862640096396086
ACH-000338,-0.18628873537310625
ACH-000339,-0.2785342166426517
ACH-000341,-0.35693485578075096
ACH-000348,-0.350726211313385
ACH-000350,-0.35287534602961795
ACH-000352,-0.2469640626255593
ACH-000356,-0.4563943791685224
ACH-000361,-0.3445622534470493
ACH-000362,-0.4251294590012571
ACH-000363,-0.4194786847926196
ACH-000364,-0.3544762236508077
ACH-000365,-0.42355886564118667
ACH-000366,-0.3029949052436361
ACH-000368,-0.2289223303590941
ACH-000374,-0.4614689514107132
ACH-000375,-0.17998456256940654
ACH-000376,-0.3456598812146227
ACH-000381,-0.18216902082777786
ACH-000383,-0.4108105726096441
ACH-000387,-0.4460870657956536
ACH-000389,-0.18838190996321424
ACH-000390,-0.3856947831127365
ACH-000393,-0.3167967207456149
ACH-000395,-0.17286376965693656
ACH-000396,-0.5226906384930686
ACH-000397,-0.4481009016243344
ACH-000401,-0.1600182982918966
