,FDX1L (112812)
ACH-000004,-0.4048473987405317
ACH-000005,-0.24900677053692324
ACH-000007,-0.3496889456744061
ACH-000009,-0.21739584793144698
ACH-000011,-0.09048324584690096
ACH-000012,-0.35194734823621243
ACH-000013,-0.5396246786134618
ACH-000014,-0.2424969405796742
ACH-000015,-0.2349906319473985
ACH-000017,-0.3440888561165657
ACH-000018,-0.17745742311628915
ACH-000019,-0.36768523707984413
ACH-000021,-0.4655069023181518
ACH-000022,-0.36195493655442185
ACH-000025,-0.5671181722923645
ACH-000028,-0.5027453087660659
ACH-000030,-0.5278996813697259
ACH-000035,-0.3243162418163449
ACH-000036,-0.3641862859751804
ACH-000037,-0.15131401644298392
ACH-000039,-0.2431664374529873
ACH-000040,-0.1113997352696341
ACH-000041,-0.2040631159437955
ACH-000042,-0.2603199982989781
ACH-000045,0.15308615514796484
ACH-000047,-0.2904841646913392
ACH-000052,-0.3375143936139913
ACH-000053,-0.20865181331590746
ACH-000054,-0.2391455384390629
ACH-000055,-0.33823283214052696
ACH-000060,-0.4116099695636998
ACH-000067,-0.19168487689803093
ACH-000070,-0.1783503355487762
ACH-000075,-0.1796583030378721
ACH-000078,-0.19928375186836425
ACH-000082,-0.20068069552204065
ACH-000085,-0.1302440644245501
ACH-000086,-0.454528696452715
ACH-000087,-0.10345793874579584
ACH-000092,-0.1703759440850215
ACH-000095,-0.11991973754643492
ACH-000097,-0.2325204238875073
ACH-000098,-0.40443389283965536
ACH-000099,-0.2402740550353777
ACH-000108,-0.0840083103038543
ACH-000113,-0.13807060500761414
ACH-000116,-0.5199419842951548
ACH-000118,-0.3530422058900736
ACH-000120,-0.3196458577146676
ACH-000123,-0.2977054268463011
ACH-000127,-0.4447473984863447
ACH-000128,-0.2623451134167301
ACH-000132,-0.3943028452127225
ACH-000133,-0.4399381947580719
ACH-000137,-0.4448730727273608
ACH-000138,-0.3815884561382465
ACH-000142,-0.3871554231339902
ACH-000143,-0.5908025908362989
ACH-000146,-0.2515118878839207
ACH-000148,-0.3563828566490997
ACH-000150,-0.1918889394328984
ACH-000152,-0.1762882740934511
ACH-000153,-0.3122427781269898
ACH-000159,-0.15276191172935752
ACH-000160,-0.6082409364475054
ACH-000163,-0.2741062639698319
ACH-000167,-0.05886607095463695
ACH-000168,0.007240058195440146
ACH-000169,-0.07629110355830701
ACH-000178,-0.2382313160149787
ACH-000183,-0.22660360473987556
ACH-000188,-0.4916447001752815
ACH-000189,-0.5194894231796607
ACH-000190,-0.2913640190850185
ACH-000198,-0.15059798493256316
ACH-000203,-1.1098196259825075
ACH-000204,-0.20416952099228527
ACH-000206,-0.3843854991649371
ACH-000207,0.045957057827695685
ACH-000208,-0.24780682737639764
ACH-000210,-0.4894337268040193
ACH-000211,-0.1709039795522971
ACH-000215,-0.2728209943984436
ACH-000221,-0.3297762757900288
ACH-000222,-0.4132293361830502
ACH-000223,-0.5187737589441884
ACH-000226,-0.3579815643843027
ACH-000227,-0.5683541274285635
ACH-000228,-0.6924883052794131
ACH-000231,-0.3918269831828257
ACH-000232,-0.22278876903541145
ACH-000233,-0.3170606224462593
ACH-000234,-0.1518033500065362
ACH-000235,-0.30588418659820044
ACH-000237,-0.8343046854820524
ACH-000238,-0.18277673268893527
ACH-000242,-0.2673527510477742
ACH-000243,-0.4733857037691872
ACH-000244,-0.004130936846889595
ACH-000246,-0.4814717954923118
ACH-000248,-0.5281130424986883
ACH-000250,-0.24837305372802734
ACH-000251,-0.16659381510963886
ACH-000252,-0.09137403660123143
ACH-000253,-0.3073559839291033
ACH-000255,-0.4068824004418165
ACH-000256,-0.5842283422775969
ACH-000257,-0.17347006676381574
ACH-000258,-0.040141772865710135
ACH-000259,-0.18844250252529712
ACH-000260,-0.428924937997752
ACH-000261,-0.3351324291339367
ACH-000262,-0.4793530503153918
ACH-000263,-0.0891978491718295
ACH-000264,-0.08473477236778812
ACH-000265,-0.4574108827274431
ACH-000266,-0.3326464780200297
ACH-000272,-0.09003963132345469
ACH-000274,-0.1260978935689775
ACH-000277,-0.24013690245350036
ACH-000278,-0.7121085911491375
ACH-000279,-0.15608393354590594
ACH-000280,-0.6121067830488959
ACH-000281,-0.43094851194212935
ACH-000288,-0.2209956077529963
ACH-000291,-0.2746182256869854
ACH-000293,-0.4997991820388387
ACH-000294,-0.486291165423937
ACH-000295,-0.024229956335185716
ACH-000296,-0.6883534295752947
ACH-000302,-0.682311000042272
ACH-000304,0.03054079417625173
ACH-000307,-0.2374511116274878
ACH-000308,-0.07366811038586757
ACH-000310,-0.2085853126849609
ACH-000311,-0.14759689543681048
ACH-000312,-0.07954163479283763
ACH-000315,-0.343377649412953
ACH-000316,-0.2821718404068169
ACH-000317,-0.2144302683488248
ACH-000318,-0.584763453449612
ACH-000319,-0.2761556511431996
ACH-000320,-0.4582072597539311
ACH-000322,-0.3081911524230234
ACH-000323,-0.30152388928748963
ACH-000324,-0.19699197305322894
ACH-000329,-0.1700541513361943
ACH-000330,-0.2953166933208
ACH-000331,-0.4917452493249902
ACH-000332,-0.4825447110582991
ACH-000334,-0.08560239309665474
ACH-000335,-0.3102036005900185
ACH-000336,-0.2598381503101451
ACH-000337,-0.11659395712654233
ACH-000338,-0.6774812163270489
ACH-000339,-0.3591967348600029
ACH-000341,-0.2871469722649965
ACH-000348,-0.2483463180392553
ACH-000350,-0.0963574468182202
ACH-000352,-0.3198864896125073
ACH-000356,-0.3488253695901939
ACH-000361,-0.16283843316951807
ACH-000362,0.11566833165902328
ACH-000363,-0.1888684780662924
ACH-000364,-0.44670790758195056
ACH-000365,-0.18383891021681345
ACH-000366,-0.3730872258938531
ACH-000368,-0.3411860017238117
ACH-000374,-0.4976638994041367
ACH-000375,-0.3742154458337992
ACH-000376,-0.04669687564814441
ACH-000381,-0.3130930670289603
ACH-000383,-0.18234480195349828
ACH-000387,-0.05167015607990569
ACH-000389,-0.322599418016266
ACH-000390,-0.3401369747080223
ACH-000393,-0.2580790453747576
ACH-000395,-0.369358400133298
ACH-000396,-0.2613350187979216
ACH-000397,-0.1526825910420986
ACH-000401,-0.20302288884965694
ACH-000402,-0.6723016920318424
ACH-000403,-0.3983814364752768
ACH-000404,0.013744635885181043
ACH-000406,-0.20923228566971727
ACH-000407,-0.2339486067796175
ACH-000408,-0.3539150586488655
ACH-000410,-0.23024544948977374
ACH-000411,-0.16081249194377295
ACH-000414,-0.29022716665474924
ACH-000415,-0.5131363442353066
ACH-000416,-0.3459892067366832
ACH-000420,-0.22675288093026444
ACH-000421,-0.4779988540690994
ACH-000424,-0.2695571200953172
ACH-000425,-0.1429468232452552
ACH-000426,-0.5014847160274287
ACH-000427,-0.2972577245970019
ACH-000433,-0.3943517978549872
ACH-000435,-0.18203370497708676
ACH-000436,-0.15190046467721693
ACH-000444,-0.2778789189636221
ACH-000445,-0.256372679936193
ACH-000448,-0.18811816189395245
ACH-000450,-0.21608854175898976
ACH-000452,-0.4871515492032801
ACH-000454,-0.5295081700667572
ACH-000458,-0.5268530250489905
ACH-000459,-0.4559064843886551
ACH-000460,-0.434415298933279
ACH-000461,-0.4141827360772524
ACH-000463,-0.16966116939344586
ACH-000464,-0.13762506301426225
ACH-000466,-1.004140380818672
ACH-000467,-0.2813540495021631
ACH-000468,-0.22455898398586194
ACH-000469,-0.2271287733699424
ACH-000470,-0.4452275753578495
ACH-000471,-0.27414972556924483
ACH-000472,-0.1945213402604819
ACH-000473,-0.4489250258913278
ACH-000475,-0.26057283027327544
ACH-000476,-0.12919222797553542
ACH-000477,-0.15344113365038275
ACH-000479,-0.457946579562033
ACH-000480,-0.21028917121747545
ACH-000481,-0.646944167556617
ACH-000483,-0.12538122123101614
ACH-000484,-0.28131730332016885
ACH-000485,-0.11768955833014312
ACH-000486,-0.14264765998748033
ACH-000487,-0.423769917854216
ACH-000488,-0.6438612336338793
ACH-000490,-0.5053196770783825
ACH-000491,-0.2796581592668521
ACH-000495,-0.19113922884810586
ACH-000496,-0.4138058695393492
ACH-000499,-0.014731688150411053
ACH-000500,-0.17775798841104926
ACH-000502,-0.15745701810409618
ACH-000503,-0.8759881409424158
ACH-000505,-0.20660745725813007
ACH-000507,-0.6025348123262187
ACH-000510,-0.1636913249316211
ACH-000511,-0.2183915125007032
ACH-000512,-0.2385725168548295
ACH-000516,-0.459828017776794
ACH-000517,-0.27791618384923805
ACH-000518,-0.488392351961823
ACH-000520,-0.3640616009649119
ACH-000521,-0.2430167025593825
ACH-000522,-0.5322309775443875
ACH-000524,-0.270749794537439
ACH-000527,-0.24984009862377
ACH-000528,-0.34291447714272016
ACH-000537,-0.3269674008006112
ACH-000541,0.042835875103646656
ACH-000542,-0.2846779261532485
ACH-000544,-0.4668575950628606
ACH-000545,-0.5628592715683262
ACH-000547,-0.14856686204960365
ACH-000548,-0.4798263742663393
ACH-000549,-0.5153964119644736
ACH-000550,-0.211170432363123
ACH-000552,-0.4903377861009661
ACH-000556,-0.275347212239511
ACH-000557,-0.077061625716966
ACH-000569,-0.3460495385035999
ACH-000570,-0.028662774384411317
ACH-000571,-0.2883841792993677
ACH-000573,-0.5760325642440427
ACH-000576,-0.2372392998362623
ACH-000579,-0.11565147141305727
ACH-000580,-0.16751538594700796
ACH-000584,-0.4639587047353858
ACH-000585,-0.5342047919084629
ACH-000588,-0.7409786659014794
ACH-000589,-0.4839255660448565
ACH-000591,-0.20980965846865046
ACH-000593,-0.05758427058167617
ACH-000600,-0.27721363774544183
ACH-000601,-0.2432897365427036
ACH-000605,-0.3537457134163061
ACH-000606,-0.5113470819253171
ACH-000608,-0.3624365488218709
ACH-000614,-0.1723754530922098
ACH-000616,-0.38100678203556415
