,CSRP2BP (57325)
ACH-000004,-0.21733046830815625
ACH-000005,-0.2224746937845799
ACH-000007,-0.3338360765960087
ACH-000009,-0.03550800258188888
ACH-000011,-0.16262639967354642
ACH-000012,-0.1677448873930761
ACH-000013,-0.1675601257689811
ACH-000014,-0.3031110473104715
ACH-000015,-0.1430565017827706
ACH-000017,0.04236735821828887
ACH-000018,-0.2659055871940295
ACH-000019,-0.12876723592547296
ACH-000021,-0.05878195561127907
ACH-000022,-0.09110691074870264
ACH-000025,-0.32485906191590985
ACH-000028,-0.3011196347388509
ACH-000030,0.0157491759803647
ACH-000035,-0.22043558026316928
ACH-000036,-0.3021388335884573
ACH-000037,-0.0313207459354294
ACH-000039,-0.03903048174477403
ACH-000040,-0.19995249679443766
ACH-000041,-0.3050208774677907
ACH-000042,-0.2288710686264156
ACH-000045,-0.218355553720544
ACH-000047,-0.2176110531073339
ACH-000052,-0.4517558466717052
ACH-000053,0.02008681962606201
ACH-000054,-0.13573329151581165
ACH-000055,-0.10858485165803826
ACH-000060,-0.20979696297642195
ACH-000067,-0.17940461713967745
ACH-000070,-0.31280005098658864
ACH-000075,-0.33917777142295913
ACH-000078,-0.09007372395122393
ACH-000082,-0.23231635138028625
ACH-000085,-0.2892649937162408
ACH-000086,-0.061500940050293926
ACH-000087,-0.3670566628432781
ACH-000092,-0.06316261189677598
ACH-000095,-0.1320249957926317
ACH-000097,-0.29703292312696433
ACH-000098,-0.09699860408392973
ACH-000099,-0.09860835085680957
ACH-000108,-0.27292651511556937
ACH-000113,-0.23382410392423825
ACH-000116,-0.226990334334954
ACH-000118,-0.14304239333256555
ACH-000120,-0.33056161868626643
ACH-000123,-0.300998373767169
ACH-000127,0.031238269138009967
ACH-000128,-0.33322577471628284
ACH-000132,-0.1550834398644114
ACH-000133,-0.3148291509642433
ACH-000137,-0.3948134094444408
ACH-000138,-0.12061987939730764
ACH-000142,-0.07464985025197204
ACH-000143,-0.2665669030968025
ACH-000146,-0.1966722360741876
ACH-000148,-0.20151246467463246
ACH-000150,-0.14694937830052
ACH-000152,-0.4216304632291473
ACH-000153,0.08780596483796893
ACH-000159,-0.12138634899981753
ACH-000160,0.13516594679589908
ACH-000163,-0.2872366400011437
ACH-000167,0.3252120796741129
ACH-000168,-0.20809024778296867
ACH-000169,-0.2957987366148203
ACH-000178,-0.1080479732854374
ACH-000183,-0.11670674886430955
ACH-000188,-0.038693270114281794
ACH-000189,-0.1805637404448854
ACH-000190,0.0949721313291426
ACH-000198,-0.34255330984460064
ACH-000203,0.3532969757985601
ACH-000204,0.004087950432117536
ACH-000206,-0.10261758842913496
ACH-000207,-0.29452798012001313
ACH-000208,-0.17119863258746051
ACH-000210,-0.2684297345243389
ACH-000211,-0.2059851852990771
ACH-000215,-0.06798118311492728
ACH-000221,-0.006755342090426972
ACH-000222,-0.021217579572337258
ACH-000223,-0.1092825792229908
ACH-000226,-0.15479154852246038
ACH-000227,-0.10193940973322856
ACH-000228,-0.3240357494798581
ACH-000231,-0.3219490973980589
ACH-000232,-0.10917968365710093
ACH-000233,-0.03230701097312399
ACH-000234,-0.10921455729877236
ACH-000235,-0.1973794888033717
ACH-000237,-0.1716951858976589
ACH-000238,-0.30548357685071376
ACH-000242,-0.09600834415694856
ACH-000243,-0.33310912555671995
ACH-000244,-0.1397284160519176
ACH-000246,-0.2201963315791252
ACH-000248,-0.029902417729137088
ACH-000250,-0.011864190356774957
ACH-000251,-0.4336318780670727
ACH-000252,-0.24092584428221456
ACH-000253,-0.1712169246442063
ACH-000255,-0.5457778992055425
ACH-000256,-0.22948813880360916
ACH-000257,-0.392423132672316
ACH-000258,-0.2583247734065005
ACH-000259,-0.18669475710992006
ACH-000260,-0.1826309608324864
ACH-000261,-0.08065451520942526
ACH-000262,0.10503812385900976
ACH-000263,-0.17115319080449087
ACH-000264,-0.1021642097845054
ACH-000265,-0.5406567460078712
ACH-000266,-0.15065340810786507
ACH-000272,-0.2914284805667821
ACH-000274,-0.1495460314019789
ACH-000277,-0.383478534062381
ACH-000278,-0.18715009415823497
ACH-000279,-0.18825738712722576
ACH-000280,-0.2509524858514986
ACH-000281,-0.2382983793394657
ACH-000288,-0.20682640998400595
ACH-000291,-0.19747472296361496
ACH-000293,0.12761787759318755
ACH-000294,-0.13692308263872868
ACH-000295,-0.16159530989010265
ACH-000296,-0.4165857793889482
ACH-000302,-0.10347867290877344
ACH-000304,-0.35154063848228634
ACH-000307,-0.16340170443474206
ACH-000308,-0.1554779160077241
ACH-000310,-0.15615680602630386
ACH-000311,-0.08727401157532162
ACH-000312,-0.10942771734001526
ACH-000315,-0.3897793903953136
ACH-000316,-0.23204939017953305
ACH-000317,-0.14579696752135046
ACH-000318,-0.19349526918795454
ACH-000319,-0.2542007106675785
ACH-000320,-0.1854998355982336
ACH-000322,-0.1192648580953852
ACH-000323,-0.23403886375442665
ACH-000324,-0.10781320364273916
ACH-000329,-0.1966686238353582
ACH-000330,-0.2980255928762052
ACH-000331,-0.3537004919521404
ACH-000332,-0.20136567391993035
ACH-000334,-0.09450866518965384
ACH-000335,-0.2557256902559254
ACH-000336,0.04378023286552244
ACH-000337,-0.14587618889134685
ACH-000338,-0.3571957157409541
ACH-000339,-0.2230353024902902
ACH-000341,-0.20699759005380894
ACH-000348,-0.13624774794969832
ACH-000350,-0.17040305093199645
ACH-000352,-0.33751659529635997
ACH-000356,-0.5260725765058941
ACH-000361,-0.4699993020369931
ACH-000362,-0.1608566924702903
ACH-000363,-0.1004728412998594
ACH-000364,-0.18502339450226665
ACH-000365,-0.12004117842205725
ACH-000366,-0.05723441944226506
ACH-000368,-0.3048436382142994
ACH-000374,-0.07509876832455821
ACH-000375,-0.2542356451005533
ACH-000376,-0.27643793626977986
ACH-000381,-0.33270440454949185
ACH-000383,-0.08253931760137635
ACH-000387,-0.11237535776287406
ACH-000389,-0.18780772207789329
ACH-000390,-0.08456317480412477
ACH-000393,-0.019899087772123996
ACH-000395,-0.1369784927969294
ACH-000396,-0.24830840153481815
ACH-000397,-0.1272618122252698
ACH-000401,-0.2674341990562841
ACH-000402,-0.29300780714040386
ACH-000403,-0.0543968429943579
ACH-000404,-0.33648184235053585
ACH-000406,0.0672119858202024
ACH-000407,-0.05987908156307095
ACH-000408,-0.3406986065762017
ACH-000410,-0.3524697786694002
ACH-000411,-0.1961903641713068
ACH-000414,-0.11590280182580508
ACH-000415,-0.20922619581525706
ACH-000416,-0.13007115372429687
ACH-000420,-0.12989248672707676
ACH-000421,-0.2255867571501573
ACH-000424,-0.06962148383444716
ACH-000425,-0.05078705556479085
ACH-000426,-0.055606228253925916
ACH-000427,-0.2384575428320285
ACH-000433,-0.30330295971206034
ACH-000435,-0.3633891980759438
ACH-000436,-0.04154485883002993
ACH-000444,-0.1620491061069537
ACH-000445,-0.09143708532458156
ACH-000448,-0.12981059955876
ACH-000450,-0.20188118220517992
ACH-000452,-0.22734832334629196
ACH-000454,-0.13077000106910402
ACH-000458,-0.3682059230319944
ACH-000459,-0.24945102207178335
ACH-000460,-0.236969494806362
ACH-000461,-0.26964800514370424
ACH-000463,-0.21009713226643856
ACH-000464,-0.2237474359909188
ACH-000466,-0.1389976212982821
ACH-000467,0.00996514840376682
ACH-000468,-0.08683582947204763
ACH-000469,-0.2818726539179985
ACH-000470,-0.3326460198544843
ACH-000471,-0.15328547928166394
ACH-000472,-0.10445244477584696
ACH-000473,-0.28421611610546565
ACH-000475,-0.20212636532825265
ACH-000476,-0.15130051989035925
ACH-000477,-0.18380889283721868
ACH-000479,-0.13548267879916862
ACH-000480,-0.10344992441369197
ACH-000481,-0.1531951613815392
ACH-000483,-0.06502995099584348
ACH-000484,-0.2862912503478769
ACH-000485,-0.2477951725179313
ACH-000486,-0.3683495474374165
ACH-000487,-0.11245363062763528
ACH-000488,-0.2591826348842518
ACH-000490,-0.2813058335175086
ACH-000491,-0.21668631080949632
ACH-000495,0.06803103152755867
ACH-000496,-0.19644233528512606
ACH-000499,-0.36741787550753785
ACH-000500,0.2676090656256318
ACH-000502,-0.2196988018909263
ACH-000503,-0.02606408650968631
ACH-000505,-0.10888849703957516
ACH-000507,0.055646293413565466
ACH-000510,-0.26053789218821005
ACH-000511,-0.13752777325191362
ACH-000512,0.13755458926075548
ACH-000516,-0.2725801246049408
ACH-000517,-0.12815023776704465
ACH-000518,-0.10056535931129218
ACH-000520,-0.02057762448922294
ACH-000521,-0.3445676628364784
ACH-000522,-0.30209573846823806
ACH-000524,-0.14358866580390028
ACH-000527,-0.08972546777664328
ACH-000528,-0.15730940661321272
ACH-000537,-0.0719984119604231
ACH-000541,-0.0339057721037028
ACH-000542,-0.4045704888642769
ACH-000544,-0.1950364973211637
ACH-000545,-0.3648413267716456
ACH-000547,-0.21195301514628506
ACH-000548,-0.11813371855866027
ACH-000549,-0.04817711330938363
ACH-000550,-0.018753086270490472
ACH-000552,-0.3221726355163657
ACH-000556,-0.12758884826543831
ACH-000557,-0.18572037566302269
ACH-000569,-0.3193800374270435
ACH-000570,-0.22281929599730613
ACH-000571,-0.10560378996694594
ACH-000573,-0.3182035491654256
ACH-000576,-0.22297624856180365
ACH-000579,-0.03927456520572475
ACH-000580,-0.29223698689043576
ACH-000584,-0.04528309644767064
ACH-000585,-0.001761593969903959
ACH-000588,-0.14447044489914845
ACH-000589,-0.21376886226293712
ACH-000591,-0.17641043151882305
ACH-000593,-0.08550064723537139
ACH-000600,-0.22049176291344832
ACH-000601,-0.0916228256617798
ACH-000605,-0.0825168546085659
ACH-000606,-0.22893034983703384
ACH-000608,-0.11757993681082625
ACH-000614,-0.2350715907963213
ACH-000616,-0.22637843911224775
ACH-000618,-0.042563280763899335
ACH-000619,0.047404740107244256
ACH-000620,-0.07736819702921915
ACH-000621,-0.036309132161254094
ACH-000622,-0.15767226375896753
ACH-000623,-0.14513307220225352
ACH-000624,-0.2124513486173304
ACH-000627,-0.32576446076425153
ACH-000630,-0.0047021146157213535
ACH-000631,-0.3671207855696549
ACH-000632,-0.19725922867566226
ACH-000633,-0.1369162946500314
ACH-000637,-0.21435386033904566
ACH-000638,-0.2279748641186375
ACH-000646,-0.3170257605885143
ACH-000647,-0.08994484867370474
ACH-000648,-0.16163955024726
ACH-000649,-0.20502634497876404
ACH-000651,-0.12362173377669655
ACH-000652,-0.2761183930723629
ACH-000653,-0.11053816960160724
ACH-000657,-0.2788196660856294
ACH-000658,-0.2998791793366911
ACH-000661,-0.2675012397223085
ACH-000662,0.20023383531443156
ACH-000663,-0.054649069435532084
ACH-000665,-0.3892050878700628
ACH-000671,-0.4199098116308902
ACH-000672,0.13377812788542376
ACH-000673,-0.05790243006852513
ACH-000676,-0.24931222625344265
ACH-000677,-0.2266308343629694
ACH-000681,-0.17519927490606088
ACH-000683,-0.14312348506997413
ACH-000684,-0.06981056270903296
ACH-000688,-0.20386497393288608
ACH-000693,-0.18677954353132295
ACH-000694,-0.1917527508526924
ACH-000695,-0.14890037487733934
ACH-000696,-0.18234783479000866
ACH-000697,-0.3562317346226709
ACH-000699,-0.19624613457118287
ACH-000701,-0.2160867690013448
ACH-000706,-0.03825225899184896
ACH-000711,-0.13945865533574753
ACH-000713,-0.20743455334050415
ACH-000714,-0.5463905983981073
ACH-000718,-0.2168228832760504
ACH-000720,-0.33362958420641786
ACH-000721,-0.2146138089873763
ACH-000724,-0.465095276502815
ACH-000725,-0.20741567706701428
ACH-000732,-0.4507139596586431
ACH-000734,-0.1175210428930206
ACH-000735,-0.0240338262334508
ACH-000736,-0.12545468050188718
ACH-000738,-0.02929044139975267
