,ACTRT3 (84517)
ACH-000004,0.0427615340889438
ACH-000005,-0.0022376943660098285
ACH-000007,0.02961356103577792
ACH-000009,0.1085522915313334
ACH-000011,-0.16670162891249027
ACH-000012,0.015463533941817738
ACH-000013,-0.05217720013794981
ACH-000014,0.02195530022789657
ACH-000015,-0.007789622919026245
ACH-000017,-0.1897460472723069
ACH-000018,-0.12838564357473856
ACH-000019,-0.04584931570609669
ACH-000021,-0.04264782474565622
ACH-000022,-0.010342993044444521
ACH-000025,-0.05855001169010589
ACH-000028,-0.1561959537933645
ACH-000030,0.0003394208899964379
ACH-000035,0.03821354394959366
ACH-000036,-0.00699375549181268
ACH-000037,0.09472716812981208
ACH-000039,-0.18711992626746266
ACH-000040,0.07905310201480034
ACH-000041,-0.018876354694922482
ACH-000042,-0.03863212183743231
ACH-000045,-0.1001961943922178
ACH-000047,0.08349262192186817
ACH-000052,0.0734492684971965
ACH-000053,-0.021393261623737975
ACH-000054,-0.17322009708439956
ACH-000055,0.06627243504878623
ACH-000060,-0.02057805856759125
ACH-000067,0.0026170094164243173
ACH-000070,-0.015503815214912663
ACH-000075,0.0437458046937603
ACH-000078,0.02419009826352384
ACH-000082,-0.0999030756844677
ACH-000085,0.07537681777780053
ACH-000086,-0.08666304289486675
ACH-000087,0.1484388603291127
ACH-000092,-0.15833370589791676
ACH-000095,-0.08292796252413571
ACH-000097,-0.01020446511614987
ACH-000098,0.04692945921084536
ACH-000099,-0.002022586061528405
ACH-000108,-0.050816487175363585
ACH-000113,-0.0759393951971311
ACH-000116,-0.14338923860313516
ACH-000118,0.00521092453837689
ACH-000120,-0.1906219144425946
ACH-000123,0.0990322682460152
ACH-000127,-0.028822787510538662
ACH-000128,0.06678173626164123
ACH-000132,-0.16866535490637213
ACH-000133,-0.08891718115676063
ACH-000137,0.0915144203323802
ACH-000138,-0.05152920386450445
ACH-000142,-0.15628048894239882
ACH-000143,-0.06993484920334371
ACH-000146,-0.11119184701573402
ACH-000148,-0.021720062631844488
ACH-000150,0.05960788454335491
ACH-000152,-0.08769901260528143
ACH-000153,0.06278626845903322
ACH-000159,-0.11804863737966308
ACH-000160,-0.13555777742967226
ACH-000163,0.04273735519753144
ACH-000167,-0.2859799189679083
ACH-000168,0.018902975531754837
ACH-000169,-0.05986765567353897
ACH-000178,0.015796491976283928
ACH-000183,-0.01769110450365829
ACH-000188,0.03670312769935743
ACH-000189,-0.2676777083791597
ACH-000190,0.07839238179635674
ACH-000198,-0.2173273478517039
ACH-000203,0.4371554779434088
ACH-000204,-0.06751251826407229
ACH-000206,-0.10891304422367344
ACH-000207,-0.005434141394729076
ACH-000208,-0.031873083951089363
ACH-000210,0.3073560730973308
ACH-000211,-0.06268979921921422
ACH-000215,-0.10637566812086456
ACH-000221,-0.02770272187066028
ACH-000222,-0.06762553904543912
