,CELA2A (63036)
ACH-000004,-0.01918637137812569
ACH-000005,-0.0514838070666696
ACH-000007,0.013679591028778394
ACH-000009,-0.1347649596002455
ACH-000011,-0.14311494379975756
ACH-000012,-0.12522132949038867
ACH-000013,-0.09431242741120748
ACH-000014,-0.07674244437491115
ACH-000015,-0.07363144273841107
ACH-000017,-0.057489664066526974
ACH-000018,-0.032063678195757776
ACH-000019,-0.12694818129305374
ACH-000021,-0.07138939559650234
ACH-000022,0.07248389767056744
ACH-000025,-0.09487171619214796
ACH-000028,0.009266301687114677
ACH-000030,-0.12710280050126396
ACH-000035,-0.07926963599526257
ACH-000036,-0.21131275660054225
ACH-000037,-0.13226214668341718
ACH-000039,-0.2696661227432086
ACH-000040,-0.02906668509484425
ACH-000041,-0.008149269492987686
ACH-000042,-0.0466538798933019
ACH-000045,-0.2130192837973004
ACH-000047,-0.11033879674885323
ACH-000052,0.17126521995045246
ACH-000053,-0.08770119758274966
ACH-000054,-0.16505435227156648
ACH-000055,-0.12983417627022648
ACH-000060,-0.09570995129903637
ACH-000067,-0.14260926699044926
ACH-000070,-0.1203228953147637
ACH-000075,-0.23053646824200144
ACH-000078,-0.051546862554865285
ACH-000082,-0.08070300446654381
ACH-000085,-0.04178576164972436
ACH-000086,-0.10839698239868042
ACH-000087,-0.2896598080239404
ACH-000092,-0.2648607989019689
ACH-000095,-0.21816363958303325
ACH-000097,-0.060620868948292675
ACH-000098,-0.19260071219093775
ACH-000099,-0.08833391731751827
ACH-000108,-0.1920000079288746
ACH-000113,-0.11662103354835288
ACH-000116,-0.11633678526791788
ACH-000118,0.18555228288636896
ACH-000120,-0.14534520222720995
ACH-000123,-0.1263581650398304
ACH-000127,-0.0662884852665497
ACH-000128,-0.4742322598736037
ACH-000132,-0.16974905460858347
ACH-000133,-0.07611143496219658
ACH-000137,-0.15986586795828164
ACH-000138,-0.02203791642587753
ACH-000142,-0.03786857536319295
ACH-000143,-0.0731324660900972
ACH-000146,-0.09302554771638492
ACH-000148,-0.08196959760866343
ACH-000150,-0.3836801232944149
ACH-000152,-0.15861110602544073
ACH-000153,-0.1998446587294561
ACH-000159,-0.2301355866805779
ACH-000160,-0.11182783357409748
ACH-000163,-0.0937178796103456
ACH-000167,-0.10162501966149527
ACH-000168,-0.14541610763459914
ACH-000169,0.011341437195724191
ACH-000178,-0.13417313547010554
ACH-000183,-0.020439593002199042
ACH-000188,-0.10727248181493104
ACH-000189,-0.2060750842824697
ACH-000190,0.008798568090302376
ACH-000198,-0.14678619884896169
ACH-000203,0.04055071104322313
ACH-000204,0.06924489637536453
ACH-000206,-0.17792003908008255
ACH-000207,-0.12855200580170315
ACH-000208,-0.33105811621669445
ACH-000210,-0.14646498916876796
ACH-000211,-0.09856240850962446
ACH-000215,-0.047291039937197306
ACH-000221,-0.15092695182517765
ACH-000222,0.1333871317823865
ACH-000223,-0.06918978575507688
ACH-000226,-0.026589589593794143
ACH-000227,0.07325336322433193
ACH-000228,-0.1863014064925633
ACH-000231,-0.11994093652318237
ACH-000232,-0.03297453631243955
ACH-000233,-0.06961448341029505
ACH-000234,-0.09940114943474428
ACH-000235,-0.08186719522579687
ACH-000237,-0.0878118480834006
ACH-000238,-0.09489819233023404
ACH-000242,0.01883631580436536
ACH-000243,-0.012454780264357836
ACH-000244,-0.2725142741482614
ACH-000246,-0.17793451029068666
ACH-000248,-0.08011500216048019
ACH-000250,-0.16664803123266606
ACH-000251,-0.13886363344246988
ACH-000252,-0.36328629704241294
ACH-000253,-0.01975789275277136
ACH-000255,-0.024953652062394447
ACH-000256,-0.17341830407878714
ACH-000257,0.07798869247365484
ACH-000258,-0.2817881003696466
ACH-000259,-0.041043173646112936
ACH-000260,-0.1305237983563632
ACH-000261,-0.05743723180622313
ACH-000262,-0.04592381504274204
ACH-000263,0.1081270659139046
ACH-000264,-0.11685439368298033
ACH-000265,-0.059850413220327525
ACH-000266,-0.036848318819872335
ACH-000272,-0.09072547709195093
ACH-000274,-0.1702259782747395
ACH-000277,-0.19830977782256412
ACH-000278,-0.20553259948624544
ACH-000279,0.007761206102801414
ACH-000280,-0.10534292093406404
ACH-000281,0.13949422208906687
ACH-000288,-0.16989231264592666
ACH-000291,-0.061622681690264025
ACH-000293,-0.07667502483931651
ACH-000294,-0.11241862881150412
ACH-000295,-0.2976165701482964
ACH-000296,-0.021847912803559324
ACH-000302,-0.1312526247956859
ACH-000304,-0.13851228909649813
ACH-000307,-0.06302446325729456
ACH-000308,-0.015763491699152067
ACH-000310,-0.3385104956507867
ACH-000311,0.11931554299170655
ACH-000312,-0.09336050651825202
ACH-000315,0.06913606579752121
ACH-000316,-0.10164361184000344
ACH-000317,-0.08164052103402061
ACH-000318,-0.018477583121948058
ACH-000319,-0.2577196294601617
ACH-000320,0.05569290600743245
ACH-000322,-0.1846608293922958
ACH-000323,-0.14625669645073286
ACH-000324,-0.29252285763044394
ACH-000329,-0.07147359844825059
ACH-000330,0.023183722357700328
ACH-000331,-0.12335028360621172
ACH-000332,-0.18713144608983895
ACH-000334,-0.15557409821427218
