,RFPL4A (342931)
ACH-000004,-0.28140095027439066
ACH-000005,-0.20707895349237707
ACH-000007,-0.2416379256962405
ACH-000009,-0.2311497441262696
ACH-000011,-0.05896295456298719
ACH-000012,-0.216159745814279
ACH-000013,-0.3009035690845826
ACH-000014,-0.1659770542954944
ACH-000015,-0.17501131053604166
ACH-000017,-0.15190533958453525
ACH-000018,-0.2108674247728135
ACH-000019,-0.26083475884792656
ACH-000021,-0.30388010206627475
ACH-000022,-0.2663837788171636
ACH-000025,-0.20756965706989652
ACH-000028,-0.2307328315074434
ACH-000030,-0.492907838663851
ACH-000035,-0.1380237905170859
ACH-000036,-0.2983110710664316
ACH-000037,-0.09972892243186184
ACH-000039,-0.20571498533078894
ACH-000040,-0.22120077817715456
ACH-000041,-0.2062564486482511
ACH-000042,-0.12278559627008563
ACH-000045,-0.30219969491658744
ACH-000047,-0.17585148357243455
ACH-000052,-0.1748308974672234
ACH-000053,-0.22034077713951694
ACH-000054,-0.2662640014110563
ACH-000055,-0.1904217892408808
ACH-000060,-0.1358243611021418
ACH-000067,-0.20973263834782627
ACH-000070,-0.2646489743035065
ACH-000075,-0.3425664937285019
ACH-000078,-0.2583134579112326
ACH-000082,-0.2350173834419217
ACH-000085,-0.19305857436930005
ACH-000086,-0.23761725848914986
ACH-000087,-0.2385536529313617
ACH-000092,-0.2915199884627439
ACH-000095,-0.18410980749634775
ACH-000097,-0.2036376633617332
ACH-000098,-0.2550136861858076
ACH-000099,-0.35313306644405296
ACH-000108,-0.2655884985181183
ACH-000113,-0.3784438644385013
ACH-000116,-0.12269689501107905
ACH-000118,-0.21438158720549688
ACH-000120,-0.3421762928923192
ACH-000123,-0.347593024659464
ACH-000127,-0.1629968690840596
ACH-000128,-0.2492825255806849
ACH-000132,-0.1570310128228635
ACH-000133,-0.1499161019439922
ACH-000137,-0.3125986202115587
ACH-000138,-0.3085781686746385
ACH-000142,-0.3812289358858072
ACH-000143,-0.22927529652634765
ACH-000146,-0.1806244578449277
ACH-000148,-0.2496116001356873
ACH-000150,-0.11435980235894905
ACH-000152,-0.26535742057433764
ACH-000153,-0.4033930123478992
ACH-000159,-0.21420020969145254
ACH-000160,-0.1709064229939771
ACH-000163,-0.3275347886181153
ACH-000167,-0.0898338572681599
ACH-000168,-0.1388478333519841
ACH-000169,-0.18085744814487414
ACH-000178,-0.2538252305507457
ACH-000183,-0.11365715607220822
ACH-000188,-0.1350718984638407
ACH-000189,-0.40657682393316863
ACH-000190,-0.35831682499408724
ACH-000198,-0.22925846752736204
ACH-000203,-0.659278146208677
ACH-000204,-0.24843510916381914
ACH-000206,-0.28165229739880504
ACH-000207,-0.17229969867272524
ACH-000208,-0.07816228201538569
ACH-000210,-0.05447240730705583
ACH-000211,-0.200894222210498
ACH-000215,-0.2394340269758175
ACH-000221,-0.2825113559714277
ACH-000222,-0.21099585730640025
ACH-000223,-0.16063714862292175
ACH-000226,-0.16789989068823588
ACH-000227,-0.32895209735718833
ACH-000228,-0.1490437119777343
ACH-000231,-0.11680952006410472
ACH-000232,-0.20756015489385604
ACH-000233,-0.22101933077297
ACH-000234,-0.2326160335229077
ACH-000235,-0.22821395275470066
ACH-000237,-0.43798701795810574
ACH-000238,-0.2054171676839348
ACH-000242,-0.24162584948361335
ACH-000243,-0.15988329355406855
ACH-000244,-0.27051806893580993
ACH-000246,-0.35607019419356634
ACH-000248,-0.1333886026078919
ACH-000250,-0.3104430434620264
ACH-000251,-0.2319853804437466
ACH-000252,-0.34625314780971383
ACH-000253,-0.2227877273161376
ACH-000255,-0.12947941348085346
ACH-000256,-0.15988162608734155
ACH-000257,-0.2272899700691907
ACH-000258,-0.20217669513204
ACH-000259,-0.2256043312662977
ACH-000260,-0.244346221002165
ACH-000261,-0.24390370958702184
ACH-000262,-0.2849765068770251
ACH-000263,-0.2709099577272455
ACH-000264,-0.1343165420767502
ACH-000265,-0.25677269824166005
ACH-000266,-0.17801904184736786
ACH-000272,-0.16012488632095506
ACH-000274,-0.16966940676586442
ACH-000277,-0.18760959371768332
ACH-000278,-0.36558128007657176
ACH-000279,-0.2372038190098361
ACH-000280,-0.3047599555882284
ACH-000281,-0.12525244379739736
ACH-000288,-0.10254430218519388
ACH-000291,-0.3531617721990681
ACH-000293,-0.2851790680284726
ACH-000294,-0.3490810877226897
ACH-000295,-0.13205308863062654
ACH-000296,-0.20398078790480245
ACH-000302,-0.31901549255407824
ACH-000304,-0.4318635090607693
ACH-000307,-0.17497449048573066
ACH-000308,-0.2764500813538045
ACH-000310,-0.1641413028649624
ACH-000311,-0.26644851239698725
ACH-000312,-0.07878231177014525
ACH-000315,-0.17809941766284826
ACH-000316,-0.21879489932554988
ACH-000317,-0.20512033318221648
ACH-000318,-0.17849788832530727
ACH-000319,-0.18919701749273227
ACH-000320,-0.2924875963199575
ACH-000322,-0.2158026219380122
ACH-000323,-0.35077421691604194
ACH-000324,-0.3286906266792437
ACH-000329,-0.07887184555557847
ACH-000330,-0.08267394302103398
ACH-000331,-0.12170982268095536
ACH-000332,-0.2936329075275806
ACH-000334,-0.24057929376091194
ACH-000335,-0.2156347427739514
ACH-000336,-0.11225419816062664
ACH-000337,-0.3646961510093675
ACH-000338,-0.7171144459436678
ACH-000339,-0.2641661316027573
ACH-000341,-0.26216592575394826
ACH-000348,-0.1576939820081356
ACH-000350,-0.235749487010164
ACH-000352,-0.20531974424719135
ACH-000356,-0.13864304904037747
ACH-000361,-0.2991088524263197
ACH-000362,-0.3201972340149053
ACH-000363,-0.20596111991600205
ACH-000364,-0.2956919608807567
ACH-000365,-0.2433967652095237
ACH-000366,-0.21997479901416248
ACH-000368,-0.1945799780417542
ACH-000374,-0.13561331574245564
ACH-000375,-0.4817374618232649
ACH-000376,-0.1929196424433502
ACH-000381,-0.17211446756072238
ACH-000383,-0.2510996993313018
ACH-000387,-0.16924478040795254
ACH-000389,-0.4379369585635645
ACH-000390,-0.18842345250369125
ACH-000393,-0.1962113467544027
ACH-000395,-0.31195721029184564
ACH-000396,-0.3624695185078769
ACH-000397,-0.3760903538261437
ACH-000401,-0.30659680470189443
ACH-000402,-0.27962509879890723
ACH-000403,-0.3148553877153914
ACH-000404,-0.09893407633044952
ACH-000406,-0.12101336769936755
ACH-000407,-0.16105662656700453
ACH-000408,-0.19269651975780894
ACH-000410,-0.2496748714555371
