,INHBE (83729)
ACH-000004,-0.05355641218141858
ACH-000005,0.0682910673153242
ACH-000007,-0.17346812277181395
ACH-000009,-0.18986954837514786
ACH-000011,-0.32088418316670003
ACH-000012,-0.12020598621043042
ACH-000013,-0.20111238579106527
ACH-000014,-0.3172447488477937
ACH-000015,-0.18350590895167854
ACH-000017,-0.12988993437953444
ACH-000018,-0.3132169960206932
ACH-000019,-0.10269162156077613
ACH-000021,-0.25596480977348085
ACH-000022,-0.08728970337057028
ACH-000025,-0.2660279638574234
ACH-000028,-0.1961280742438472
ACH-000030,-0.1517911863913811
ACH-000035,-0.17498524466110854
ACH-000036,-0.2428501155627999
ACH-000037,-0.4301830462444738
ACH-000039,-0.2452442102746646
ACH-000040,-0.3154533262380174
ACH-000041,-0.4751776927356223
ACH-000042,-0.1422479616798567
ACH-000045,-0.16223692377807813
ACH-000047,-0.19741273429189085
ACH-000052,-0.3625504540589286
ACH-000053,-0.18461863768439854
ACH-000054,-0.033182789593336
ACH-000055,-0.33585005276998914
ACH-000060,-0.21272816079124027
ACH-000067,-0.20978371131779167
ACH-000070,-0.1351618563415818
ACH-000075,-0.18555189070444655
ACH-000078,-0.05004973611869909
ACH-000082,-0.21687851379316336
ACH-000085,-0.2813995215856233
ACH-000086,-0.38811791484620334
ACH-000087,-0.5437157901734707
ACH-000092,-0.17152699310864147
ACH-000095,-0.0922068183083277
ACH-000097,-0.19674579374559387
ACH-000098,-0.06599195480251092
ACH-000099,-0.06324304538022117
ACH-000108,-0.052450296733372405
ACH-000113,-0.16857593188554287
ACH-000116,-0.06910398837469278
ACH-000118,-0.2799786402833502
ACH-000120,-0.12443361458168295
ACH-000123,-0.2318292227453331
ACH-000127,-0.14790523007172932
ACH-000128,-0.24341170726805084
ACH-000132,-0.025243324738410542
ACH-000133,-0.26874164642432
ACH-000137,-0.3799754902213777
ACH-000138,-0.2704465740567917
ACH-000142,-0.3148862225370861
ACH-000143,-0.17694084427251566
ACH-000146,0.043613009035957065
ACH-000148,-0.3821348976098932
ACH-000150,-0.4026014682460672
ACH-000152,-0.26801884751282706
ACH-000153,-0.12053336167097065
ACH-000159,-0.09491582723728392
ACH-000160,-0.22812455730345796
ACH-000163,-0.23621926618064645
ACH-000167,-0.3266278427788732
ACH-000168,-0.2566049047362821
ACH-000169,-0.21564729755888912
ACH-000178,-0.16635393513467145
ACH-000183,-0.13271571797304696
ACH-000188,-0.22309642315828485
ACH-000189,-0.4077136329220775
ACH-000190,0.06104771916309889
ACH-000198,-0.18470722558366412
ACH-000203,0.1497366372488739
ACH-000204,-0.25607567886804755
ACH-000206,0.07410279821780029
ACH-000207,-0.09622036215856283
ACH-000208,-0.13455742133286971
ACH-000210,-0.09838994355775377
ACH-000211,-0.1469474258950717
ACH-000215,-0.2264318938217605
ACH-000221,-0.2528273894826646
ACH-000222,-0.2726171567564785
ACH-000223,-0.1616435313182728
ACH-000226,-0.2503599944598868
ACH-000227,-0.1410539761780469
ACH-000228,-0.09581539602078637
ACH-000231,-0.1840405564596811
ACH-000232,-0.13367707374854154
ACH-000233,-0.11794960005951748
ACH-000234,-0.41807334939249424
ACH-000235,-0.2284535420501776
ACH-000237,-0.10304961821075236
ACH-000238,-0.3006255257299097
ACH-000242,-0.136945039127084
ACH-000243,-0.17005191151632215
ACH-000244,-0.20880111289207767
ACH-000246,-0.24601094091660644
ACH-000248,-0.3208234639040645
ACH-000250,-0.09867137732962232
ACH-000251,-0.2688397932844649
ACH-000252,-0.11450007774812195
ACH-000253,-0.18027264892050587
ACH-000255,-0.04443897537164025
ACH-000256,-0.21114116036431074
ACH-000257,-0.10652345455319427
ACH-000258,-0.1403119860205697
ACH-000259,-0.16409118073017032
ACH-000260,-0.2597486677514099
ACH-000261,-0.3039240069882994
ACH-000262,-0.006781732694108072
ACH-000263,-0.1464821639956181
ACH-000264,-0.15285298700606711
ACH-000265,-0.08203102389330194
ACH-000266,-0.2076392733832874
ACH-000272,0.07647580558061183
ACH-000274,-0.19534285127632253
ACH-000277,-0.2124562462114146
ACH-000278,-0.29510384261509937
ACH-000279,-0.3105105817982465
ACH-000280,-0.17730589201071562
ACH-000281,-0.19336236168630827
ACH-000288,-0.3050421273253822
ACH-000291,-0.1397337161391176
ACH-000293,-0.12779560709718865
ACH-000294,0.011411842360500406
ACH-000295,-0.056793166741975126
ACH-000296,-0.4505960571616125
ACH-000302,-0.07583266424794159
ACH-000304,-0.2480627599295345
ACH-000307,-0.18694852611691493
ACH-000308,-0.10979744218877656
ACH-000310,-0.07733391882975724
ACH-000311,-0.1113556570818012
ACH-000312,-0.0826093393966761
ACH-000315,-0.06610181084683964
ACH-000316,-0.09128465590822407
ACH-000317,-0.021435057572605384
ACH-000318,-0.3610593861485731
ACH-000319,-0.3466321141714569
ACH-000320,-0.13306768806417016
ACH-000322,-0.2742033147887432
ACH-000323,-0.014225009763388
ACH-000324,-0.11255986990153526
ACH-000329,-0.23407184574524875
ACH-000330,-0.1429121960465521
ACH-000331,-0.17346335983181901
ACH-000332,-0.06983393236149099
ACH-000334,-0.24115055380823774
ACH-000335,-0.2977918422388819
ACH-000336,-0.23822017292071745
ACH-000337,-0.2756656329349529
ACH-000338,-0.4577418865889036
ACH-000339,-0.28190875550879835
ACH-000341,-0.2466487039348584
ACH-000348,-0.32585055786132777
ACH-000350,-0.2098223036877715
ACH-000352,-0.3108362734264666
ACH-000356,-0.2936627296935535
ACH-000361,-0.2095862750471476
ACH-000362,-0.1044102942102901
ACH-000363,-0.049695581866243545
ACH-000364,-0.33310396212638776
ACH-000365,-0.3343566216526077
ACH-000366,-0.11983810455958585
ACH-000368,-0.23530425140946185
ACH-000374,-0.2253749507067489
ACH-000375,-0.07900327281422201
ACH-000376,-0.02857510619996645
ACH-000381,0.07764684869355926
ACH-000383,-0.06693177006930026
ACH-000387,-0.08471155347963583
ACH-000389,-0.03201411256770833
ACH-000390,-0.1362415518111301
ACH-000393,-0.034237739379931915
ACH-000395,-0.12253753296487135
ACH-000396,-0.3316069757035381
ACH-000397,-0.06275437332357535
ACH-000401,-0.184765485755174
ACH-000402,-0.11999060862036688
