,MTRF1L (54516)
ACH-000004,0.06835649625690651
ACH-000005,0.05988624719627995
ACH-000007,-0.12772653400852854
ACH-000009,-0.2924810983364303
ACH-000011,-0.11902195780307953
ACH-000012,-0.3610874744521488
ACH-000013,-0.5171170818973028
ACH-000014,-0.3143583914479745
ACH-000015,-0.20393279144258256
ACH-000017,-0.4037838793960368
ACH-000018,-0.5150414300279745
ACH-000019,-0.4653278251595359
ACH-000021,-0.4413786890896743
ACH-000022,-0.3213004210077316
ACH-000025,-0.2983299261065014
ACH-000028,-0.7161594460763588
ACH-000030,-0.3373146689673289
ACH-000035,-0.4906141391766301
ACH-000036,-0.024629903910172224
ACH-000037,-0.2956641974397829
ACH-000039,-0.23475041387225196
ACH-000040,-0.2342717559033584
ACH-000041,-0.35053711936613396
ACH-000042,-0.119122120517099
ACH-000045,-0.13288962412529434
ACH-000047,-0.4069985011909396
ACH-000052,-0.128575738413114
ACH-000053,-0.16711109365733678
ACH-000054,-0.2508965675917043
ACH-000055,-0.08364587662701953
ACH-000060,-0.3655181685997868
ACH-000067,-0.26028411703093496
ACH-000070,-0.16849792771272654
ACH-000075,-0.2726253486518448
ACH-000078,-0.39724297884084425
ACH-000082,-0.2464499162259259
ACH-000085,-0.1107786740960761
ACH-000086,-0.3523417312836839
ACH-000087,-0.4297081674243653
ACH-000092,-0.3391672531212795
ACH-000095,0.027337667125716145
ACH-000097,-0.2997947190856083
ACH-000098,-0.26596270839594605
ACH-000099,-0.19279902306241428
ACH-000108,-0.20889778689269836
ACH-000113,-0.3888249196456136
ACH-000116,-0.4355001291417725
ACH-000118,-0.7371294602112922
ACH-000120,-0.23432322552416845
ACH-000123,-0.2492161338053247
ACH-000127,-0.27269810185575943
ACH-000128,-0.4292180957817298
ACH-000132,-0.4586751631675714
ACH-000133,-0.17128564310003902
ACH-000137,-0.18984923535288567
ACH-000138,-0.4602486422402916
ACH-000142,-0.17063058583156848
ACH-000143,-0.2045767027063458
ACH-000146,-0.12941888227321255
ACH-000148,-0.3294553771905221
ACH-000150,-0.4127943440759753
ACH-000152,-0.08260475309754316
ACH-000153,-0.1090373868864204
ACH-000159,-0.2942266112713746
ACH-000160,-0.4941670444903188
ACH-000163,-0.3213466180794687
ACH-000167,-0.4085693547639056
ACH-000168,-0.12433544106870464
ACH-000169,-0.398386625292868
ACH-000178,-0.3223914540287757
ACH-000183,-0.314356318603503
ACH-000188,-0.1807571174770394
ACH-000189,-0.25958083878903665
ACH-000190,-0.500414077101634
ACH-000198,-0.11952783679992332
ACH-000203,-0.7125960753057369
ACH-000204,-0.3354534602715686
ACH-000206,0.15651441738541272
ACH-000207,-0.38083909919899134
ACH-000208,-0.4596332909077732
ACH-000210,-0.7192102286944683
ACH-000211,-0.2534417898288335
ACH-000215,-0.4170386034493547
ACH-000221,-0.5544178839736242
ACH-000222,-0.2228702355869116
ACH-000223,-0.5285322291479877
ACH-000226,-0.049064007530666934
ACH-000227,-0.29665453797490504
ACH-000228,-0.32886465911909496
ACH-000231,-0.12919393606617133
ACH-000232,-0.4230483186888398
ACH-000233,-0.4140041270558314
ACH-000234,-0.055536100275037935
ACH-000235,-0.18782187169924733
ACH-000237,-0.06817717264075124
ACH-000238,-0.2831214834951756
ACH-000242,-0.4144082615144771
ACH-000243,-0.23038678769057602
ACH-000244,-0.3601449952604409
ACH-000246,-0.3701423749234082
ACH-000248,-0.5997199780987778
ACH-000250,-0.15555149493640807
ACH-000251,-0.4673389017605161
ACH-000252,-0.2947474064576732
ACH-000253,-0.06662671113490777
ACH-000255,-0.39761213185550615
ACH-000256,-0.12161810265654685
ACH-000257,-0.4259854782211987
ACH-000258,-0.14788329515929932
ACH-000259,-0.5371366173809453
ACH-000260,-0.2673312251361098
ACH-000261,-0.1902797169275265
ACH-000262,-0.4100319762764759
ACH-000263,-0.4113439904471745
ACH-000264,-0.2123591135746563
ACH-000265,-0.4596728798671599
ACH-000266,-0.2188923654793156
ACH-000272,-0.2554027218282549
ACH-000274,-0.2638440362687445
ACH-000277,-0.17278460866762665
ACH-000278,-0.10460868813007143
ACH-000279,-0.2966291382702275
ACH-000280,-0.28242977348356524
ACH-000281,-0.4017272052003263
ACH-000288,-0.27396857908015304
ACH-000291,-0.3916969275763616
ACH-000293,-0.3094201527172676
ACH-000294,0.15301828037427526
ACH-000295,0.004328975855784491
ACH-000296,-0.04551154305617766
ACH-000302,-0.3880765168185603
ACH-000304,-0.3067142989634483
ACH-000307,-0.1557401267576935
ACH-000308,-0.27358244448375124
ACH-000310,-0.02145598075884336
ACH-000311,-0.33270932614219106
ACH-000312,-0.2145489904948494
ACH-000315,-0.08388875230523994
ACH-000316,-0.20368942717099808
ACH-000317,-0.5813714261690753
ACH-000318,-0.3778663735880977
ACH-000319,-0.12347434670545787
ACH-000320,-0.31982695879797635
ACH-000322,-0.4719003251908964
ACH-000323,-0.3992166623984657
ACH-000324,-0.1605186537219955
ACH-000329,-0.2774638965446525
ACH-000330,-0.2975091460371529
ACH-000331,-0.2195609756485052
ACH-000332,-0.09161666754860627
ACH-000334,-0.029900315288270744
ACH-000335,-0.32522294729456586
ACH-000336,-0.4801168504819201
ACH-000337,-0.03714957496930253
ACH-000338,-0.5947641033590009
ACH-000339,-0.13121002059812684
ACH-000341,-0.1063882593634556
ACH-000348,-0.2365561617052181
ACH-000350,-0.505529035971452
ACH-000352,-0.3431103289574201
ACH-000356,-0.23626812148578255
ACH-000361,-0.49178075470684707
ACH-000362,0.025349352163507456
ACH-000363,-0.2713667390868019
ACH-000364,-0.4083522852307907
ACH-000365,-0.2236102083809271
ACH-000366,-0.04462458538101915
ACH-000368,-0.5036733370539802
ACH-000374,-0.5826238680408082
ACH-000375,-0.25796434559376225
ACH-000376,-0.6524017122793137
ACH-000381,-0.07991347254976593
ACH-000383,-0.333985029340665
ACH-000387,-0.09480692023975934
ACH-000389,0.05745707563585462
ACH-000390,-0.4121248873741011
ACH-000393,-0.2701158981304082
ACH-000395,-0.2392350401198953
ACH-000396,-0.3120645963561253
ACH-000397,-0.04523480169858815
ACH-000401,-0.12543056784485085
ACH-000402,-0.017310350530528516
ACH-000403,-0.20181299249543572
ACH-000404,-0.5392673679279221
ACH-000406,-0.3117743267205648
ACH-000407,-0.32302863587862685
ACH-000408,-0.3154445352908856
ACH-000410,-0.3363331173938888
ACH-000411,-0.20477354667663036
ACH-000414,-0.29118061998485306
ACH-000415,-0.3334680302271681
ACH-000416,-0.21605340769832126
ACH-000420,-0.35281216184727865
ACH-000421,-0.1407060221335009
