,QPCT (25797)
ACH-000004,-0.13039934841034487
ACH-000005,-0.19295194908777333
ACH-000007,0.04026202973980343
ACH-000009,-0.13026569630887413
ACH-000011,-0.006786039992768966
ACH-000012,0.0062434557169226655
ACH-000013,0.02422532153157122
ACH-000014,-0.07307714717492432
ACH-000015,0.06747246906563674
ACH-000017,-0.17470024164398462
ACH-000018,-0.11935260482936155
ACH-000019,-0.21143220774884808
ACH-000021,-0.1248711994432956
ACH-000022,-0.09472008918429073
ACH-000025,-0.048691908528614776
ACH-000028,-0.09979546237109428
ACH-000030,-0.16583397439706574
ACH-000035,-0.13691907666099132
ACH-000036,-0.15476082650561554
ACH-000037,-0.284008453803861
ACH-000039,-0.10630820656300656
ACH-000040,-0.016229100420716496
ACH-000041,-0.1508081597994649
ACH-000042,-0.07476454683497051
ACH-000045,-0.10358094484045192
ACH-000047,-0.002582565968521947
ACH-000052,-0.18588105425460089
ACH-000053,-0.16386606993190173
ACH-000054,-0.1208122968563517
ACH-000055,-0.14624130429021007
ACH-000060,-0.010506505575279771
ACH-000067,-0.0352178040901674
ACH-000070,-0.07228187690793843
ACH-000075,-0.23874838011745156
ACH-000078,-0.2503440917179107
ACH-000082,-0.06231593021097664
ACH-000085,-0.3435893910029804
ACH-000086,-0.11582142650519033
ACH-000087,-0.3180529772884583
ACH-000092,-0.16820293524103822
ACH-000095,-0.06945841162750442
ACH-000097,-0.10216241272376383
ACH-000098,-0.054994556865886106
ACH-000099,-0.10229158946738187
ACH-000108,-0.11164596156070154
ACH-000113,-0.10471326300025573
ACH-000116,-0.1021244897805621
ACH-000118,-0.1094356936227057
ACH-000120,-0.19090106941020885
ACH-000123,-0.04619118532535242
ACH-000127,-0.1318694003359876
ACH-000128,-0.04013464821921597
ACH-000132,-0.01891002215075392
ACH-000133,-0.25130211674815395
ACH-000137,-0.015747072579482067
ACH-000138,0.002279580073926447
ACH-000142,-0.1553308869951777
ACH-000143,-0.215647002585548
ACH-000146,-0.055505985065226734
ACH-000148,-0.08171563500183038
ACH-000150,0.017427073348791795
ACH-000152,-0.10921324937631972
ACH-000153,0.07257575123865986
ACH-000159,2.1805552056191856e-05
ACH-000160,-0.04409955734315811
ACH-000163,-0.015460492975822925
ACH-000167,-0.21791071996666025
ACH-000168,-0.09428964070927233
ACH-000169,-0.06884036806465042
ACH-000178,-0.12519255072573174
ACH-000183,0.053978908034431936
ACH-000188,-0.06099481450459236
ACH-000189,0.03916921270407296
ACH-000190,0.07354415187565796
