,CHCHD4 (131474)
ACH-000004,-0.8244840923864608
ACH-000005,-0.5765840056145051
ACH-000007,-0.7496778010452534
ACH-000009,-0.9175000605504052
ACH-000011,-0.6305123958295538
ACH-000012,-0.9656933556090329
ACH-000013,-0.8913459753315538
ACH-000014,-0.8862340510063346
ACH-000015,-1.0517739524129341
ACH-000017,-0.5530766895075775
ACH-000018,-0.9033870730994632
ACH-000019,-0.6363307792821722
ACH-000021,-0.8806935556346357
ACH-000022,-0.9030839505303908
ACH-000025,-0.8502493859009038
ACH-000028,-0.8133383476363024
ACH-000030,-0.9221194562614452
ACH-000035,-0.7693237064148178
ACH-000036,-0.5914487665635585
ACH-000037,-0.4678909444990319
ACH-000039,-0.9054126951768598
ACH-000040,-0.8123841745168235
ACH-000041,-0.8893759015208611
ACH-000042,-0.8896388555524312
ACH-000045,-0.6999980660010925
ACH-000047,-0.7466544910982715
ACH-000052,-1.100812608581572
ACH-000053,-0.8300531609316748
ACH-000054,-0.7159306026822551
ACH-000055,-0.904283828163331
ACH-000060,-0.8693039500816605
ACH-000067,-0.9071208158832214
ACH-000070,-0.7241144480187786
ACH-000075,-0.7957986400565639
ACH-000078,-0.8099365825210407
ACH-000082,-0.4705635621323503
ACH-000085,-0.9449075259888824
ACH-000086,-0.8360422559347515
ACH-000087,-0.8140276552701566
ACH-000092,-0.846398917569922
ACH-000095,-0.7436410175992415
ACH-000097,-0.7714776619637828
ACH-000098,-1.0943216218852851
ACH-000099,-0.8630632614233882
ACH-000108,-0.8804365793717868
ACH-000113,-0.6978485320111701
ACH-000116,-0.8773020144097773
ACH-000118,-0.785244550813009
ACH-000120,-0.7356665857256659
ACH-000123,-0.7035452372493982
ACH-000127,-0.7963377728801072
ACH-000128,-1.064160037106919
ACH-000132,-0.8009228894392635
ACH-000133,-0.7748202160677192
ACH-000137,-0.8977267390824137
ACH-000138,-0.9439400034478737
ACH-000142,-1.158297238364334
ACH-000143,-0.6798235448133102
ACH-000146,-0.7346619409613226
ACH-000148,-0.8125210922012454
ACH-000150,-0.9287052672471912
ACH-000152,-0.9699671429204992
ACH-000153,-0.7906585976187708
ACH-000159,-0.9001127836157291
ACH-000160,-0.9339143181611343
ACH-000163,-0.7407876053073841
ACH-000167,-1.0225950313976837
ACH-000168,-0.8116013327268652
ACH-000169,-0.8497376801563952
ACH-000178,-0.817870223515621
ACH-000183,-0.8764410962886954
ACH-000188,-0.8585534225895443
ACH-000189,-0.9479969276941836
ACH-000190,-1.0295497722850733
ACH-000198,-0.7983936016140409
ACH-000203,-0.7588667411749929
ACH-000204,-0.7801931748554909
ACH-000206,-0.7347573842903542
ACH-000207,-0.8556695766966592
ACH-000208,-0.7522828208714999
ACH-000210,-0.7720925649272521
ACH-000211,-0.950923707353864
ACH-000215,-0.9163635323995472
ACH-000221,-1.0646164569261318
ACH-000222,-0.9123461325551137
ACH-000223,-0.6769984318039098
ACH-000226,-0.6168629204862166
ACH-000227,-0.5899896931328641
ACH-000228,-0.9609106035726764
ACH-000231,-0.8555529158343482
ACH-000232,-0.8998530480182297
ACH-000233,-0.7663501367917525
ACH-000234,-1.048484150924363
ACH-000235,-0.7318088247049529
ACH-000237,-0.9659052855525776
ACH-000238,-1.0705278058160437
ACH-000242,-1.0237938404718836
ACH-000243,-0.9460498234073976
ACH-000244,-0.7499853270489398
ACH-000246,-0.8005036856135314
ACH-000248,-0.8942381003840364
ACH-000250,-0.8444741354160998
ACH-000251,-0.9971185106106352
ACH-000252,-0.7335845374601633
