,IK (3550)
ACH-000004,-1.2995426092902505
ACH-000005,-1.3468305038848816
ACH-000007,-0.8922082558349425
ACH-000009,-1.1067498943936775
ACH-000011,-0.9709343491680016
ACH-000012,-1.0702166261596824
ACH-000013,-0.9319827698687568
ACH-000014,-1.067812744735549
ACH-000015,-0.9429984853969552
ACH-000017,-1.180792786903352
ACH-000018,-0.7261781644816985
ACH-000019,0.08467002583512799
ACH-000021,-0.8768455092320184
ACH-000022,-0.9578122971571638
ACH-000025,-0.8738224207615695
ACH-000028,-0.9513367827416372
ACH-000030,-1.0181725473879482
ACH-000035,-0.9736057364100712
ACH-000036,-0.7363191603265167
ACH-000037,-1.1739687385830715
ACH-000039,-1.0131750604354388
ACH-000040,-0.8796377200475921
ACH-000041,-1.0025116510172132
ACH-000042,-1.0004225055963063
ACH-000045,-0.9832067852671948
ACH-000047,-1.1105860645635277
ACH-000052,-0.7602041880483871
ACH-000053,-1.0037569910252797
ACH-000054,-0.6748822522171619
ACH-000055,-0.8964828343722219
ACH-000060,-0.8314788117306977
ACH-000067,-0.9854336145195144
ACH-000070,-0.9575481103168836
ACH-000075,-1.0553033551751252
ACH-000078,-0.9916842700187471
ACH-000082,-1.0516763411458254
ACH-000085,-0.8886952930848208
ACH-000086,-0.8557182695924468
ACH-000087,-1.022732019850627
ACH-000092,-0.7775417145374824
ACH-000095,-1.0022953215686838
ACH-000097,-1.123720912542642
ACH-000098,-0.689272040415952
ACH-000099,-0.8447184851057532
ACH-000108,-1.1357144904362164
ACH-000113,-0.8858320807280987
ACH-000116,-0.9879915652767703
ACH-000118,-0.9519033943552552
ACH-000120,-0.8977147723530788
ACH-000123,-1.0561653083668938
ACH-000127,-0.9340279364138931
ACH-000128,-0.9635480210220532
ACH-000132,-0.9300543453554201
ACH-000133,-0.9599881724024824
ACH-000137,-0.9384509416102746
ACH-000138,-0.9125323551304474
ACH-000142,-0.7681139629659919
ACH-000143,-1.1515802899370862
ACH-000146,-1.13836044688971
ACH-000148,-0.9795144384894154
ACH-000150,-0.7075922590418178
ACH-000152,-0.8549203913881537
ACH-000153,-1.0195313343844776
ACH-000159,-0.9326851282747248
ACH-000160,-1.0844637976688338
ACH-000163,-0.9908218151048408
ACH-000167,-1.5664849296140928
ACH-000168,-1.0703986556361853
ACH-000169,-0.8012953044737477
ACH-000178,-0.9809281947086148
ACH-000183,-1.0480291604747398
ACH-000188,-0.9805408181637194
ACH-000189,-0.6053603149812621
ACH-000190,-0.8985157810659998
ACH-000198,-1.180456450878267
ACH-000203,-1.107733086628461
ACH-000204,-1.0082573021581676
ACH-000206,-1.2116015428024276
ACH-000207,-1.2780397454484589
ACH-000208,-1.1502687189878134
ACH-000210,-0.9682056296389568
ACH-000211,-0.7716281381660673
ACH-000215,-1.026079400451006
ACH-000221,-1.087734956515145
ACH-000222,-0.9417864607220592
ACH-000223,-1.0974275783162382
ACH-000226,-0.7675172679086218
ACH-000227,-1.0588495807367555
ACH-000228,-1.264410665303349
ACH-000231,-0.675240670425826
ACH-000232,-0.8558291349931669
ACH-000233,-0.8511666938111859
ACH-000234,-0.9122595045880508
ACH-000235,-1.0824054467502706
ACH-000237,-1.0108466527233988
ACH-000238,-1.2303179699627689
ACH-000242,-1.0728784118137766
ACH-000243,-0.9865677946506228
ACH-000244,-0.981345843051582
ACH-000246,-0.9790663047403376
ACH-000248,-0.768372201127024
ACH-000250,-0.8483353065012196
ACH-000251,-0.8610892545767109
ACH-000252,-0.7338209541355167
ACH-000253,-0.9302637697530596
ACH-000255,-1.0648047442669506
ACH-000256,-0.952584816733782
ACH-000257,-0.8043912720532079
ACH-000258,-0.7900680351560877
ACH-000259,-0.9090834469324208
ACH-000260,-0.9806100687036312
ACH-000261,-0.8941386705944171
ACH-000262,-0.7659692621518084
ACH-000263,-1.1290077446362041
ACH-000264,-0.9277762310203176
ACH-000265,-0.7867555017714345
ACH-000266,-1.0305134765066988
ACH-000272,-0.8909396926744594
ACH-000274,-0.9202397401161888
ACH-000277,-1.052758711601986
ACH-000278,-0.956557874701751
ACH-000279,-0.9650697028893814
ACH-000280,-0.8952924248540722
ACH-000281,-0.890095741792377
ACH-000288,-0.6558328169632328
ACH-000291,-1.1188058266752563
ACH-000293,-0.9014235740178306
ACH-000294,-1.0695522124046208
ACH-000295,-1.086458984800831
ACH-000296,-0.9612325478730742
ACH-000302,-1.1578524607944007
ACH-000304,-1.0669024469417412
ACH-000307,-0.991925570944848
ACH-000308,-0.9583192063987568
ACH-000310,-1.0794767009836048
ACH-000311,-0.916947350533618
ACH-000312,-1.033128636650415
ACH-000315,-1.0864666578483453
ACH-000316,-0.8729732060241657
ACH-000317,-0.9673215731318168
ACH-000318,-0.9632319208002704
ACH-000319,-0.9354111113984741
ACH-000320,-1.0673297590697228
ACH-000322,-0.8741200206213797
ACH-000323,-0.8224817047291156
ACH-000324,-0.8701019733668589
ACH-000329,-1.05182930452067
ACH-000330,-1.3285123141479471
ACH-000331,-0.978150014552412
ACH-000332,-0.7868332983190769
