,MPV17 (4358)
ACH-000004,-0.03841503793668244
ACH-000005,-0.02513678692686309
ACH-000007,-0.09997293793626204
ACH-000009,-0.13240759893639115
ACH-000011,-0.1816513632209268
ACH-000012,-0.12864575744040913
ACH-000013,0.0013187671452229855
ACH-000014,-0.33585266854422563
ACH-000015,-0.1180255523532098
ACH-000017,0.04100495095500903
ACH-000018,-0.3403117059029577
ACH-000019,-0.2114778848758414
ACH-000021,-0.07418187488362359
ACH-000022,-0.2441871109550529
ACH-000025,-0.13505340351765793
ACH-000028,0.01839689015466318
ACH-000030,-0.11139660719825076
ACH-000035,-0.27353455025198514
ACH-000036,-0.14752135790168075
ACH-000037,-0.14243651031640225
ACH-000039,-0.3679891027783387
ACH-000040,-0.27687323570756545
ACH-000041,-0.2153962366296664
ACH-000042,-0.07056633650357362
ACH-000045,-0.3607277878440243
ACH-000047,-0.13100074303364864
ACH-000052,-0.034146622367421935
ACH-000053,-0.20011351992004425
ACH-000054,-0.1383497448218489
ACH-000055,-0.045281700321671364
ACH-000060,-0.020653615677000255
ACH-000067,-0.12834542793377118
ACH-000070,-0.17835884506248664
ACH-000075,0.007280920878102825
ACH-000078,-0.401624941503807
ACH-000082,-0.07664526684079448
ACH-000085,-0.23590212615753964
ACH-000086,-0.09875698549287458
ACH-000087,-0.2005449747997229
ACH-000092,-0.13632043241714434
ACH-000095,-0.15719322130125082
ACH-000097,0.010836806775536206
ACH-000098,-0.1118795062356847
ACH-000099,-0.056910411993717075
ACH-000108,-0.05745490593224844
ACH-000113,-0.16106655129259645
ACH-000116,-0.09865137286358093
ACH-000118,0.012852228206362884
ACH-000120,-0.04903949638759501
ACH-000123,-0.3768645929559453
ACH-000127,-0.104072208933379
ACH-000128,-0.0969674450232573
ACH-000132,-0.12946143042999095
ACH-000133,-0.21695035845981794
ACH-000137,-0.01566115495328365
ACH-000138,-0.2109155533667268
ACH-000142,-0.12970114630099516
ACH-000143,-0.14672460515352273
ACH-000146,-0.2345315139705043
ACH-000148,-0.09300303611799507
