,GART (2618)
ACH-000004,-0.3948230602680573
ACH-000005,-0.9179048325511768
ACH-000007,-0.5548276844546185
ACH-000009,-0.2393984889339745
ACH-000011,-0.189954475045
ACH-000012,-0.06262196701476358
ACH-000013,0.08423747869223465
ACH-000014,-0.2405121134931864
ACH-000015,-0.22330753023781316
ACH-000017,-0.414767780914717
ACH-000018,-0.19462732815543812
ACH-000019,-0.4507555355196014
ACH-000021,0.10586028982782672
ACH-000022,-0.133495677188021
ACH-000025,-0.3193981136594668
ACH-000028,-0.3023318528489887
ACH-000030,-0.6872870435107317
ACH-000035,-0.26399669321835423
ACH-000036,0.045591973643212484
ACH-000037,-0.18166558486613887
ACH-000039,0.04408273373970131
ACH-000040,-0.1430942951170286
ACH-000041,-0.19775682716792836
ACH-000042,-0.2893441769333964
ACH-000045,-0.256199796909929
ACH-000047,-0.3235559365272466
ACH-000052,0.04686760068271028
ACH-000053,-0.6348249694286243
ACH-000054,-0.16309718850128782
ACH-000055,0.08144023902509964
ACH-000060,-0.13693600654094096
ACH-000067,-0.07227416066821205
ACH-000070,-0.4209764121076432
ACH-000075,-0.11990388065230033
ACH-000078,-0.07329867740575043
ACH-000082,-0.1803731018693752
ACH-000085,0.23055981507000176
ACH-000086,0.059535851188755665
ACH-000087,-0.07383783046094497
ACH-000092,-0.16422383186916742
ACH-000095,0.1344394331524334
ACH-000097,-0.3375299058612975
ACH-000098,-0.07342395059878264
ACH-000099,-0.2952842808721755
ACH-000108,-0.6933999455017832
ACH-000113,0.2173629905095492
ACH-000116,-0.024793152833996038
ACH-000118,0.3115951252194521
ACH-000120,0.25990930948722696
ACH-000123,-0.09437301148221354
ACH-000127,-0.4244129084589031
ACH-000128,-0.3322641182618524
ACH-000132,-0.10498347550474488
ACH-000133,-0.03681396293893825
ACH-000137,-0.2255519321994747
ACH-000138,-0.3323135480698164
ACH-000142,-0.1922354857021148
ACH-000143,-0.18204132419626967
ACH-000146,-0.4905599551208406
ACH-000148,0.02357202659745384
ACH-000150,-0.13204855315195807
ACH-000152,-0.05407372060794432
ACH-000153,-0.06447571302737035
ACH-000159,-0.4283149976799551
ACH-000160,-0.06603331642289183
ACH-000163,-0.20037702839270655
ACH-000167,-0.2954029797634019
ACH-000168,-0.29702657802043425
ACH-000169,0.1379894974013462
ACH-000178,-0.28425917258282424
ACH-000183,-0.5989877778278531
ACH-000188,-0.12806475795574138
ACH-000189,-0.2883123278421104
ACH-000190,-0.03964695060498999
ACH-000198,-0.4251824498970372
ACH-000203,-0.11534383829870774
ACH-000204,-0.3181013037139479
