,SPECC1L (23384)
ACH-000004,-0.032200464080775766
ACH-000005,-0.09502472975607296
ACH-000007,-0.21153586688329187
ACH-000009,-0.11411981787518495
ACH-000011,0.009836079959741758
ACH-000012,-0.2346955235429596
ACH-000013,-0.03931377802716449
ACH-000014,-0.2397472333216619
ACH-000015,-0.1737923106475161
ACH-000017,-0.07553798861920984
ACH-000018,-0.047408639278513215
ACH-000019,-0.08721201672770397
ACH-000021,-0.23505834526789565
ACH-000022,-0.03779191655687664
ACH-000025,-0.2325854309783293
ACH-000028,-0.12894440878257998
ACH-000030,-0.1297883179785708
ACH-000035,-0.02833626835957082
ACH-000036,-0.22275897666680447
ACH-000037,-0.13523311682890574
ACH-000039,-0.1502135779906154
ACH-000040,0.13561803649284435
ACH-000041,-0.19834680044408626
ACH-000042,-0.13680310716988645
ACH-000045,0.04726490709026848
ACH-000047,-0.1301557248471793
ACH-000052,-0.053612270395931916
ACH-000053,-0.049514295650927256
ACH-000054,-0.26981825522148783
ACH-000055,-0.16612089152795226
ACH-000060,-0.13962535308599786
ACH-000067,-0.1930217285837444
ACH-000070,-0.10530400314465037
ACH-000075,-0.1135586639052242
ACH-000078,0.185920455464828
ACH-000082,0.02894556374671102
ACH-000085,-0.07077033538504969
ACH-000086,0.14444426697051274
ACH-000087,-0.06756850577051735
ACH-000092,-0.05393683689575346
ACH-000095,-0.013741247785404994
ACH-000097,-0.17802551290062985
ACH-000098,-0.09461595792257216
ACH-000099,-0.20208180474569748
ACH-000108,-0.14398536545434748
ACH-000113,-0.02849546440404305
ACH-000116,-0.13863896189527433
ACH-000118,-0.1018439971759736
ACH-000120,-0.384798619260021
ACH-000123,-0.09976240306571292
ACH-000127,-0.09097942777612307
ACH-000128,0.01900861417084876
ACH-000132,-0.13635364494563007
ACH-000133,-0.217524489710542
ACH-000137,-0.00944299003624315
ACH-000138,-0.09342753168372088
ACH-000142,-0.02130168048219262
ACH-000143,-0.06476145493703
ACH-000146,0.0196710079233828
ACH-000148,-0.0956143881160188
ACH-000150,0.0039012289005118366
ACH-000152,-0.2686973100114937
ACH-000153,0.04187739579057244
ACH-000159,0.13994703714016402
ACH-000160,-0.17772127099082766
ACH-000163,-0.21109121957832774
ACH-000167,-0.4712431586862408
ACH-000168,-0.06484088617216283
ACH-000169,-0.12810548416289874
ACH-000178,-0.2962541770549125
ACH-000183,-0.06588727057304382
ACH-000188,0.008405972010182255
ACH-000189,0.046449741589602564
ACH-000190,-0.07869269070714986
ACH-000198,0.037723635080028406
ACH-000203,-0.019530722073244702
ACH-000204,-0.19540227915798367
ACH-000206,0.14302267580581396
ACH-000207,-0.058234918965272685
ACH-000208,-0.31498203972387995
ACH-000210,0.0864439615259123
ACH-000211,-0.14710581330658867
ACH-000215,-0.1452617925416507
ACH-000221,-0.045047806734934505
ACH-000222,-0.06862803312619496
ACH-000223,-0.026497196789320374
ACH-000226,-0.010403974104918846
ACH-000227,-0.0710566924811964
ACH-000228,0.006903922561543909
ACH-000231,-0.11963330563632753
ACH-000232,-0.03642190672309086
ACH-000233,-0.04784277357697735
ACH-000234,0.006666182974333528
ACH-000235,-0.0260276595578467
ACH-000237,-0.04350616057444584
ACH-000238,-0.06547255134739212
ACH-000242,-0.1665247282189452
ACH-000243,-0.2798449539083394
ACH-000244,-0.3922706617003193
ACH-000246,-0.0058140693383310965
ACH-000248,-0.12414029734035985
ACH-000250,0.02722019385109245
ACH-000251,0.16000434849998305
ACH-000252,-0.02634268571941081
ACH-000253,-0.058583236415487475
ACH-000255,-0.14971122824141336
ACH-000256,-0.21686825507304436
ACH-000257,-0.11178349945517574
ACH-000258,0.004990262938281897
ACH-000259,-0.44007436884715373
ACH-000260,-0.062218788760357635
ACH-000261,-0.1748294023490943
ACH-000262,0.1194634446963037
ACH-000263,-0.004815116465904749
ACH-000264,-0.12763050862016231
ACH-000265,-0.08820856157393618
ACH-000266,-0.18933004195507114
ACH-000272,-0.13014163371868895
ACH-000274,-0.01061172340337622
ACH-000277,0.02579451153035513
ACH-000278,-0.03425601265269699
ACH-000279,-0.06335268476116203
ACH-000280,-0.02160853254751781
ACH-000281,0.05144782608599504
ACH-000288,-0.1080998099856735
ACH-000291,-0.2463178884933717
ACH-000293,-0.06435955567944728
ACH-000294,-0.027054058491118416
ACH-000295,-0.3925489859927708
ACH-000296,-0.0915611896530727
ACH-000302,-0.13394915141226918
ACH-000304,0.11539530795679274
ACH-000307,-0.01464964490405936
ACH-000308,-0.14748626581699587
ACH-000310,0.028960194707327268
ACH-000311,0.014339926866199657
ACH-000312,-0.09014425947373032
ACH-000315,0.02019326410498218
ACH-000316,-0.12221993257245076
ACH-000317,-0.034941383465842635
ACH-000318,-0.0017536190507098613
ACH-000319,-0.31704156743196243
ACH-000320,-0.09031860535808507
ACH-000322,-0.30692865999367264
ACH-000323,-0.3608158175936987
ACH-000324,-0.004618624012534947
ACH-000329,-0.2458229203673701
ACH-000330,-0.2778407826605063
ACH-000331,0.08210095100766866
ACH-000332,-0.2431492061897996
ACH-000334,-0.11912714184689345
ACH-000335,-0.15648987285685664
ACH-000336,0.21565469032887047
ACH-000337,0.20385770267871897
ACH-000338,-0.36186598706723466
ACH-000339,-0.11702001078016898
ACH-000341,-0.13937581087076842
ACH-000348,-0.04720063017253662
ACH-000350,-0.1413436983723357
ACH-000352,-0.019929693601957538
ACH-000356,0.07386749745445734
ACH-000361,-0.14345935637796114
ACH-000362,-0.07604289836698838
ACH-000363,-0.04009256486574606
ACH-000364,-0.03803107221146219
ACH-000365,-0.029982884941962794
ACH-000366,-0.030456480921436112
ACH-000368,-0.04482966559135792
ACH-000374,0.03332052466049576
ACH-000375,-0.14855269818394515
ACH-000376,-0.07259048584958935
ACH-000381,-0.18849058373621466
ACH-000383,-0.035479261217682814
ACH-000387,-0.14659299906069925
