,SECISBP2L (9728)
ACH-000004,-0.17796396580061194
ACH-000005,-0.16621263363860955
ACH-000007,-0.17401866597659016
ACH-000009,-0.09025744799427604
ACH-000011,-0.08371649242593397
ACH-000012,-0.2980663035185957
ACH-000013,-0.19676987595263465
ACH-000014,-0.20795070210139588
ACH-000015,-0.14337489373642426
ACH-000017,-0.26384972259209866
ACH-000018,-0.3064143726340027
ACH-000019,-0.04007195531535744
ACH-000021,-0.07714951531932839
ACH-000022,-0.0979551771634667
ACH-000025,-0.3152047728637696
ACH-000028,-0.1379285141885803
ACH-000030,-0.06702684128186477
ACH-000035,-0.23446897257057725
ACH-000036,-0.182649882817024
ACH-000037,-0.07116165063829508
ACH-000039,-0.141729545817566
ACH-000040,-0.22412878330722194
ACH-000041,-0.13472206297068948
ACH-000042,-0.12417461418324023
ACH-000045,-0.2560913273883573
ACH-000047,-0.21276136990244127
ACH-000052,-0.19068075805325232
ACH-000053,-0.20551866041240374
ACH-000054,-0.1559694598497255
ACH-000055,-0.33380057333270685
ACH-000060,0.10537301277783874
ACH-000067,-0.2271929211559219
ACH-000070,-0.08942878307816758
ACH-000075,-0.19019863826329164
ACH-000078,-0.2340928505436456
ACH-000082,-0.10454863397086156
ACH-000085,0.02358891776049581
ACH-000086,-0.2210165105396739
ACH-000087,-0.2840686996103473
ACH-000092,-0.4555239612537908
ACH-000095,-0.10179427267718112
ACH-000097,-0.14844317348290803
ACH-000098,-0.21470255162630744
ACH-000099,-0.2826237701828145
ACH-000108,-0.2377300536392388
ACH-000113,-0.10649566112827846
ACH-000116,-0.3087382363488547
ACH-000118,-0.12364369856558367
ACH-000120,-0.4002714723643826
ACH-000123,-0.1859743760180507
ACH-000127,-0.15601404940940874
ACH-000128,-0.19858249666198866
ACH-000132,-0.3497519201094824
ACH-000133,-0.052591712993020366
ACH-000137,-0.16486325023453285
ACH-000138,0.052652906567078064
ACH-000142,-0.09540833061587604
ACH-000143,-0.020233129709066763
ACH-000146,-0.21557851692094296
ACH-000148,-0.2482937653958535
ACH-000150,-0.15174129939623235
ACH-000152,-0.29993098954224345
ACH-000153,-0.07749360155437439
ACH-000159,-0.09460146875980226
ACH-000160,-0.24908786335465186
ACH-000163,-0.18417746213816
ACH-000167,-0.3458980882441641
ACH-000168,-0.07094646243730446
ACH-000169,-0.025292718139462985
ACH-000178,-0.10535991962354503
ACH-000183,-0.11407448308648485
ACH-000188,-0.1432165988714218
ACH-000189,-0.3150064279891893
ACH-000190,-0.31536203406861685
ACH-000198,-0.2008623138877961
ACH-000203,-0.16565969820828674
ACH-000204,-0.17563588489916576
ACH-000206,-0.23938641996246726
ACH-000207,-0.1544899564256818
ACH-000208,-0.4452229953923098
ACH-000210,-0.18492941983604735
ACH-000211,-0.08381957999964143
ACH-000215,-0.14838398291525434
ACH-000221,-0.23668984679789076
ACH-000222,-0.12395553078008645
ACH-000223,-0.2175375098903968
ACH-000226,-0.24528185206043795
ACH-000227,-0.4033270386324436
ACH-000228,-0.10816442870549432
ACH-000231,-0.3394590087902142
ACH-000232,-0.24022585658888404
