,SEC61G (23480)
ACH-000004,-0.8182754176085228
ACH-000005,-0.7496625215908597
ACH-000007,-0.6891616528737886
ACH-000009,-0.8092890689521819
ACH-000011,-0.6612240772304109
ACH-000012,-0.5318562303034694
ACH-000013,-0.7057890744832921
ACH-000014,-0.7162712466074692
ACH-000015,-0.6697317611717578
ACH-000017,-0.6180214164592015
ACH-000018,-0.6882453017437845
ACH-000019,-0.812120509377492
ACH-000021,-0.7539184526168157
ACH-000022,-0.6552540893120139
ACH-000025,-0.7214969739763077
ACH-000028,-0.576530108271423
ACH-000030,-0.6609220703145126
ACH-000035,-0.5762050470429518
ACH-000036,-0.6166192385639052
ACH-000037,-0.913167300962487
ACH-000039,-0.6534639381432729
ACH-000040,-0.6807784195763324
ACH-000041,-0.5775071505838792
ACH-000042,-0.670599182932727
ACH-000045,-0.6588570369570946
ACH-000047,-0.6770331558258089
ACH-000052,-0.7003816681770941
ACH-000053,-0.7747814555819933
ACH-000054,-0.8318385787124101
ACH-000055,-0.7437551488651261
ACH-000060,-0.7353079310458609
ACH-000067,-0.7970778553311407
ACH-000070,-0.7018114121750182
ACH-000075,-0.9284771118563422
ACH-000078,-0.8493939955743935
ACH-000082,-0.8837950999946181
ACH-000085,-0.8641988670688344
ACH-000086,-0.7514731023126919
ACH-000087,-0.7047417127944849
ACH-000092,-0.9540005159575284
ACH-000095,-0.7527689439200018
ACH-000097,-0.6949849311631475
ACH-000098,-0.8231098476390754
ACH-000099,-0.8292266395277118
ACH-000108,-0.6410518435111398
ACH-000113,-0.556816178700994
ACH-000116,-0.8363211155965445
ACH-000118,-0.7002997700818292
ACH-000120,-0.6905676219540016
ACH-000123,-0.7602274448765741
ACH-000127,-0.7886328179130078
ACH-000128,-0.7715325920442908
ACH-000132,-0.5938805994083679
ACH-000133,-0.9174712058395412
ACH-000137,-0.7451227007609768
ACH-000138,-0.5728889465720154
ACH-000142,-0.6616668009928502
ACH-000143,-0.7086753407033278
ACH-000146,-0.6014539090079509
ACH-000148,-0.7860105947049307
ACH-000150,-0.8864873017636861
ACH-000152,-0.8121775546816711
ACH-000153,-0.7774602189608253
ACH-000159,-0.8236206028272707
ACH-000160,-0.9540329801979652
ACH-000163,-0.6308063856660857
ACH-000167,-1.2040058835477288
ACH-000168,-0.608374083281095
ACH-000169,-0.6077720023423486
ACH-000178,-0.7238640169777131
ACH-000183,-0.5461425059490821
ACH-000188,-0.8786943311500226
ACH-000189,-0.8497445866543284
ACH-000190,-0.9207840055754104
ACH-000198,-0.6087371718677932
ACH-000203,-0.2619433706424351
ACH-000204,-0.8037892230010167
ACH-000206,-0.7823059693938533
ACH-000207,-0.5902568524249239
ACH-000208,-0.799299067584227
ACH-000210,-0.8623580182998337
ACH-000211,-0.49213314165251204
ACH-000215,-0.6872795748736927
ACH-000221,-0.6409245095244002
ACH-000222,-0.5361920676663304
ACH-000223,-0.739205862866728
ACH-000226,-0.5817178172584991
ACH-000227,-0.7333590864128668
ACH-000228,-0.8062655199964086
ACH-000231,-0.8619913619966453
ACH-000232,-0.885908917101614
ACH-000233,-0.563671517870349
ACH-000234,-0.865562859528366
ACH-000235,-0.5908977194502392
ACH-000237,-0.6970995635008239
ACH-000238,-0.5964950518471102
ACH-000242,-0.7939011519750343
ACH-000243,-0.8143100659904747
ACH-000244,-0.9041127028452042
ACH-000246,-0.6890183084581791
ACH-000248,-0.5370496763406812
ACH-000250,-0.6595914505560373
ACH-000251,-0.7255023658193245
ACH-000252,-0.7778811620967434
ACH-000253,-0.8331821949803158
ACH-000255,-0.8077539646973386
ACH-000256,-0.6358008467290943
ACH-000257,-0.7003248701399409
ACH-000258,-0.8146066874302889
ACH-000259,-0.6219944456867205
ACH-000260,-0.7188763279116073
ACH-000261,-0.5794174470693998
ACH-000262,-0.8418127702453888
ACH-000263,-0.6086442518624117
ACH-000264,-0.8467916198571941
ACH-000265,-0.6215966927507948
ACH-000266,-0.7191242365626621
ACH-000272,-1.0442923552615304
ACH-000274,-0.4643657663552254
ACH-000277,-0.7802191303540658
ACH-000278,-0.5265180422873041
ACH-000279,-0.6800527694576172
ACH-000280,-0.6449091248678842
ACH-000281,-0.6002345655922364
ACH-000288,-0.6173054799816334
ACH-000291,-0.7115141946184971
ACH-000293,-0.858586135590161
ACH-000294,-0.7846040610210682
