,FXN (2395)
ACH-000004,-0.7273582003890612
ACH-000005,-0.2699640090021546
ACH-000007,-0.4468691992812331
ACH-000009,-1.0136427549400118
ACH-000011,-0.7406796827007812
ACH-000012,-0.5769388908003339
ACH-000013,-0.8895109653241015
ACH-000014,-0.5625716942659884
ACH-000015,-0.6573149730616389
ACH-000017,-0.7645752773707309
ACH-000018,-0.6606501706791968
ACH-000019,-0.2965095926440767
ACH-000021,-0.7647911149990589
ACH-000022,-0.7502916170869968
ACH-000025,-0.7854250248887951
ACH-000028,-0.7950476968779057
ACH-000030,-0.4218586465132386
ACH-000035,-0.8269724685931138
ACH-000036,-0.4696730662310149
ACH-000037,-0.9489912882387729
ACH-000039,-0.7288684482381782
ACH-000040,-0.7080036180954261
ACH-000041,-0.7720244211805971
ACH-000042,-0.4190795896516128
ACH-000045,-0.3680387779396177
ACH-000047,-0.5430549145069103
ACH-000052,-0.5341475011207589
ACH-000053,-0.4006241491256083
ACH-000054,-0.5943258074971383
ACH-000055,-0.4627990732352886
ACH-000060,-0.4936975248674532
ACH-000067,-0.4899438764829405
ACH-000070,-0.5891467251548679
ACH-000075,-0.5737333017633469
ACH-000078,-0.7552130829968665
ACH-000082,-0.6071233023794916
ACH-000085,-0.3671223642150572
ACH-000086,-0.4574697180097263
ACH-000087,-0.6563174100816006
ACH-000092,-0.518816458266236
ACH-000095,-0.5826179798920931
ACH-000097,-0.642588927573834
ACH-000098,-0.4924538168115214
ACH-000099,-0.6231902056661474
ACH-000108,-0.4105143090527051
ACH-000113,-0.4646465882957592
ACH-000116,-0.6416290407275841
ACH-000118,-0.3714937112900292
ACH-000120,-0.671371758023657
ACH-000123,-0.7951303412299584
ACH-000127,-0.6412330389170989
ACH-000128,-0.801836534125471
ACH-000132,-0.4955797264342397
ACH-000133,-0.7664149107853336
ACH-000137,-0.4772762624051383
ACH-000138,-0.8457440140631564
ACH-000142,-0.3889440623383426
ACH-000143,-0.6504134999597557
ACH-000146,-0.03834691365697205
ACH-000148,-1.0054188039949232
ACH-000150,-0.7194801039574039
ACH-000152,-0.8371071406553152
ACH-000153,-0.7140509048870037
ACH-000159,-0.5731001022623944
ACH-000160,-0.6169534057184387
ACH-000163,-0.8671739505654095
ACH-000167,-0.7971164263393551
ACH-000168,-0.3167881276717754
ACH-000169,-0.6068836642553708
ACH-000178,-0.507825648516272
ACH-000183,-0.3796594085896066
ACH-000188,-0.5762594216366599
ACH-000189,-0.9743487735235918
ACH-000190,-0.9004716525525941
ACH-000198,-0.5621448847360445
ACH-000203,-0.9609164784017132
ACH-000204,-0.3279038890862758
ACH-000206,-1.167834343721666
ACH-000207,-0.20204595375098766
ACH-000208,-0.7243863097234149
ACH-000210,-0.3608282761883596
ACH-000211,-0.7166773350813023
ACH-000215,-0.5868675790148323
ACH-000221,-0.9454778441742216
ACH-000222,-0.026756177065601315
ACH-000223,-0.5835663542432504
ACH-000226,-0.6032434377294918
ACH-000227,-0.9760072994594504
ACH-000228,-0.7456943280235772
ACH-000231,-0.4871158387309195
ACH-000232,-0.6654311433711454
ACH-000233,-0.6403189093652207
ACH-000234,-0.4649812064015063
ACH-000235,-0.5474751789108868
ACH-000237,-0.9493193096959022
ACH-000238,-0.40973038821835056
ACH-000242,-0.3861772696884404
ACH-000243,-0.7934116334414453
ACH-000244,-0.5237928464778682
ACH-000246,-0.7600966248460357
ACH-000248,-0.7496132921255142
ACH-000250,-0.5892788179924574
ACH-000251,-0.8176677738133126
ACH-000252,-0.2439851806965127
ACH-000253,-0.5027644602471221
ACH-000255,-0.8257892422468786
ACH-000256,-0.9045058650759616
ACH-000257,-0.7865132413270235
ACH-000258,0.10242379474047424
ACH-000259,-0.917961404292978
ACH-000260,-0.5752959417186921
ACH-000261,-0.6522321038487827
ACH-000262,-0.7376102733479236
ACH-000263,-0.016794826021866553
ACH-000264,-0.4048760842638535
ACH-000265,-0.8360266960558403
ACH-000266,-0.28421520680251106
ACH-000272,-0.6816603952978473
ACH-000274,-0.4388573551873037
ACH-000277,-0.5236451334279616
ACH-000278,-0.8647008327790113
ACH-000279,-0.6169831347697814
ACH-000280,-0.7402545032604914
ACH-000281,-0.2990872122002193
ACH-000288,-0.7503407882139179
ACH-000291,-0.6898194177568642
ACH-000293,-0.8579876021316126
ACH-000294,-0.8090930026717403
ACH-000295,-0.14146901113122007
ACH-000296,-0.7004093792629404
ACH-000302,-1.0478604395948492
ACH-000304,-1.2656948944004134
ACH-000307,-0.8673201727804192
ACH-000308,-0.309887233620735
ACH-000310,-0.3344377023911967
ACH-000311,-0.4070671686562276
ACH-000312,-0.5274515344898963
ACH-000315,-0.5666514046091289
ACH-000316,-0.982939682060302
ACH-000317,-0.6655840118314768
ACH-000318,-0.8769116835649508
ACH-000319,-0.7853983185501848
ACH-000320,-0.5189747814573914
ACH-000322,-0.4078900831261335
ACH-000323,-0.5793110113737967
ACH-000324,-0.476098768328847
ACH-000329,-0.7784705931530278
ACH-000330,-0.8365711975444213
ACH-000331,-0.6280756152120649
ACH-000332,-0.4604086269372531
ACH-000334,-0.25998408739649315
ACH-000335,-0.5729966060300016
ACH-000336,-0.6138326921647285
ACH-000337,-0.5152834387105523
ACH-000338,0.4460596645441333
ACH-000339,-0.7929023887774739
ACH-000341,-0.8687960728210049
ACH-000348,-1.0107999854927534
ACH-000350,-0.39118522869384975
ACH-000352,-0.9383761425665612
ACH-000356,-1.08940279899447
ACH-000361,-0.3803621742693942
ACH-000362,-0.2574991686871869
ACH-000363,-0.3133773499647016
ACH-000364,-0.6533707884751223
ACH-000365,-0.7192717394314543
ACH-000366,-0.8275304946917682
ACH-000368,-0.8908766227642846
ACH-000374,-0.5733801476461262
ACH-000375,-0.4474600673037901
ACH-000376,-0.705964117290093
ACH-000381,-0.12153941176839328
ACH-000383,-0.3559325602879257
ACH-000387,-0.4207855507216917
ACH-000389,-0.7943715475873031
ACH-000390,-0.4928010269064198
ACH-000393,-0.8788137513897873
ACH-000395,-0.6506257648829902
ACH-000396,-0.4759736146402261
ACH-000397,-0.3863051914513478
ACH-000401,-0.9117075085704496
ACH-000402,-0.8409110315516337
ACH-000403,-0.2976798777095344
ACH-000404,-0.7494134848898252
ACH-000406,-0.6018330918384885
ACH-000407,-0.7320965198533286
ACH-000408,-1.1002389694970958
ACH-000410,-0.6634084925385156
ACH-000411,-0.4587905188236578
ACH-000414,-0.20904000851975588
ACH-000415,-0.8067275023353052
ACH-000416,-0.6258851875333562
ACH-000420,-0.3652985599444684
ACH-000421,-0.6602991065363547
ACH-000424,-0.7104638882908499
ACH-000425,-0.5094891215095159
ACH-000426,-0.2448971474383784
ACH-000427,-0.048955569558989866
ACH-000433,-0.6408508113948758
ACH-000435,-0.009274891669760702
ACH-000436,-0.2572490754546232
ACH-000444,-0.7693653471095954
ACH-000445,-0.9991446147496268
ACH-000448,-0.5867472175313255
ACH-000450,-0.7077509644012916
ACH-000452,-0.829155612478317
ACH-000454,-0.9151475373472976
ACH-000458,-0.8791710146638902
ACH-000459,-1.037043283204501
ACH-000460,-0.6994186972819857
ACH-000461,-0.2824406389620465
ACH-000463,-0.8184043353144348
ACH-000464,-0.8029726524295451
ACH-000466,-0.8050168757199001
ACH-000467,-0.4118267951730008
ACH-000468,-0.559988659691981
ACH-000469,-0.6931279536383322
ACH-000470,-0.7597774050275921
ACH-000471,-0.5062733039316998
ACH-000472,-0.4530547388087312
ACH-000473,-0.6423588242346078
ACH-000475,-0.23984905903900286
ACH-000476,-0.5258344867891495
ACH-000477,-0.6829438546760938
ACH-000479,-0.3930130239199776
ACH-000480,-0.6545658832269811
ACH-000481,-0.6061101399340042
ACH-000483,-1.095620488339623
ACH-000484,-0.339661114401953
ACH-000485,-0.4632837502290157
ACH-000486,-0.6981307906652703
ACH-000487,-0.5638026718250551
ACH-000488,-0.6191020726216464
ACH-000490,-0.5684266608698417
ACH-000491,-0.4197593613229033
ACH-000495,-0.8294128684535207
ACH-000496,-0.708023710337821
ACH-000499,-0.6647249276854369
ACH-000500,-0.4417129308355767
ACH-000502,-0.8477297521174332
ACH-000503,-0.9432551505654562
ACH-000505,-0.7057330600792716
ACH-000507,-0.6102799006040581
ACH-000510,-0.4722593570869166
ACH-000511,-0.6915290995173409
ACH-000512,-0.6287957171668559
ACH-000516,-0.6346004800276853
ACH-000517,-0.4437253438748397
ACH-000518,-0.8571976433317159
ACH-000520,-0.6146299647671937
ACH-000521,-0.9648782722009888
ACH-000522,-0.7490584987014595
ACH-000524,-0.4911764288766293
ACH-000527,-0.4000349491708043
ACH-000528,-0.7365328823906442
ACH-000537,-0.6555044805929272
ACH-000541,-0.4914284924267541
ACH-000542,-0.6593370797430541
ACH-000544,-0.5119835458090595
ACH-000545,-0.6845010279091241
ACH-000547,-0.7390346423006685
ACH-000548,-0.8545197300902483
ACH-000549,-0.7301350919812158
ACH-000550,-0.6223216686141483
ACH-000552,-0.6784086676033513
ACH-000556,-0.4530564431655637
ACH-000557,-0.409633437272441
ACH-000569,-0.7428095238244735
ACH-000570,-0.5492043280854026
ACH-000571,-0.3556090993614271
ACH-000573,-0.6084218807599492
ACH-000576,-0.7303477685673704
ACH-000579,-0.9790833810652478
ACH-000580,-0.5505587278451812
ACH-000584,-0.9413925839802132
ACH-000585,-0.6968893549427511
ACH-000588,-0.6657118959566743
ACH-000589,-0.7773244726772786
ACH-000591,-0.7861121138004366
ACH-000593,-0.5733452643906335
ACH-000600,-0.4054789007338787
