,IGLON5 (402665)
ACH-000004,0.02223934635937161
ACH-000005,-0.02072989564877221
ACH-000007,0.02200751677200042
ACH-000009,-0.12084087987760367
ACH-000011,-0.032606831533164835
ACH-000012,-0.057047745871107176
ACH-000013,-0.15780858404247375
ACH-000014,-0.04224028543052938
ACH-000015,-0.10339967891892687
ACH-000017,-0.11011356867180444
ACH-000018,-0.006384951782867591
ACH-000019,0.1145543999863655
ACH-000021,-0.2050165636242044
ACH-000022,-0.2589626892344724
ACH-000025,-0.0974824852893808
ACH-000028,-0.25815679512486395
ACH-000030,-0.2399386950545828
ACH-000035,-0.3811777873104632
ACH-000036,-0.10372772522307318
ACH-000037,-0.08822948059524559
ACH-000039,-0.21003646055002975
ACH-000040,0.01599380528547423
ACH-000041,0.06367947723941604
ACH-000042,-0.17034446692166216
ACH-000045,-0.20115809541570426
ACH-000047,-0.12890059051786196
ACH-000052,-0.14260751564405974
ACH-000053,-0.18023318092257026
ACH-000054,-0.00029325874696581734
ACH-000055,-0.055174305240781485
ACH-000060,-0.1808260888145417
ACH-000067,-0.3052771164647283
ACH-000070,0.030072093191828606
ACH-000075,-0.2559919936568136
ACH-000078,0.05888935784692585
ACH-000082,-0.11941937323448365
ACH-000085,-0.07234927183955155
ACH-000086,-0.05820693776503474
ACH-000087,-0.24497788119804995
ACH-000092,-0.2185864522893504
ACH-000095,-0.056350557376485075
ACH-000097,-0.12529180115403138
ACH-000098,-0.08499146495000166
ACH-000099,-0.09413905521957247
ACH-000108,-0.2548376192151225
ACH-000113,-0.13054587596260506
ACH-000116,0.0006941272759828192
ACH-000118,-0.2544837724538073
ACH-000120,0.028294306102403542
ACH-000123,-0.12735828137791294
ACH-000127,-0.12351832196135873
ACH-000128,-0.09612582455001263
ACH-000132,-0.08367291168014884
ACH-000133,-0.19030778575585766
ACH-000137,-0.4098591173515537
ACH-000138,-0.29973493400666995
ACH-000142,-0.10124682214840224
ACH-000143,0.19753601281782845
ACH-000146,-0.13167013774852862
ACH-000148,-0.27512036617614505
ACH-000150,0.04890931646231983
ACH-000152,-0.1607900093664356
ACH-000153,-0.17075214310523307
ACH-000159,-0.14488699723732765
ACH-000160,-0.028234093319187838
ACH-000163,-0.2905018053139909
ACH-000167,-0.19253537763766546
ACH-000168,0.11002152587380792
ACH-000169,-0.0786302933739562
ACH-000178,-0.10227676097283547
ACH-000183,-0.11874211653989493
ACH-000188,-0.26686224026921873
ACH-000189,-0.04272015988345655
