,MT1F (4494)
ACH-000004,-0.18267265619980164
ACH-000005,-0.13990972438393054
ACH-000007,0.13333120998251866
ACH-000009,0.0351529776174485
ACH-000011,-0.17996298061959995
ACH-000012,-0.11715526611413694
ACH-000013,-0.05984459830836592
ACH-000014,0.06466090461717552
ACH-000015,-0.032096337982791844
ACH-000017,-0.03754683455142988
ACH-000018,-0.03171115550068334
ACH-000019,-0.02352677709528646
ACH-000021,-0.1560558654414318
ACH-000022,-0.12252527667868605
ACH-000025,-0.09260584577790723
ACH-000028,-0.070385044017134
ACH-000030,-0.06415077665808742
ACH-000035,-0.20481400389046275
ACH-000036,-0.14819492353983654
ACH-000037,-0.10838158556204132
ACH-000039,-0.06281039155867026
ACH-000040,-0.1526882730579712
ACH-000041,0.034844275125267235
ACH-000042,-0.049581462297892745
ACH-000045,-0.0587590261632613
ACH-000047,-0.06656320683960452
ACH-000052,0.023911265888149846
ACH-000053,-0.08353499865590877
ACH-000054,-0.04980655841145816
ACH-000055,-0.1888907292745471
ACH-000060,-0.04889659673869485
ACH-000067,-0.17549134280139686
ACH-000070,0.1377306797965578
ACH-000075,-0.035561850586270684
ACH-000078,0.06413266768850526
ACH-000082,-0.2165009760897156
ACH-000085,0.0188645487727299
ACH-000086,-0.1848028999268112
ACH-000087,-0.08374700117883456
ACH-000092,-0.13636790617129024
ACH-000095,-0.028334678624061794
ACH-000097,-0.22026054864852052
ACH-000098,-0.0945276142058207
ACH-000099,0.0457879428799554
ACH-000108,-0.04267324171406128
ACH-000113,0.042382395611651184
ACH-000116,-0.1639558071116568
ACH-000118,-0.2112475979493441
ACH-000120,-0.1705585369062326
ACH-000123,-0.09044171775186999
ACH-000127,-0.2170127665684065
ACH-000128,-0.02704552885734468
ACH-000132,-0.12982019342738996
ACH-000133,-0.09927987040884846
ACH-000137,-0.1748412606096359
ACH-000138,-0.015660003637505398
ACH-000142,-0.09602154288144682
ACH-000143,-0.17731184009747386
ACH-000146,-0.11748084929393983
ACH-000148,-0.04511402927840909
ACH-000150,-0.29053267052410003
ACH-000152,-0.12810012063239026
ACH-000153,-0.07903628121841029
ACH-000159,-0.14494890419242307
ACH-000160,-0.1111641902451528
ACH-000163,-0.091523899866229
ACH-000167,-0.05406460013859956
ACH-000168,0.017268890586396395
ACH-000169,-0.03905049857619797
ACH-000178,-0.06374192738749844
ACH-000183,-0.2438414988796571
ACH-000188,-0.10971798443192976
ACH-000189,-0.20330253158924588
ACH-000190,0.13656754656322745
ACH-000198,-0.07738134593235245
ACH-000203,-0.18972645778139524
ACH-000204,-0.396615468252504
ACH-000206,-0.009303871872221871
ACH-000207,-0.11895836991855405
ACH-000208,-0.2579700523897337
ACH-000210,0.02820271230820745
ACH-000211,-0.1577932929674899
ACH-000215,-0.07770058211980499
ACH-000221,0.02522140907769308
ACH-000222,-0.1656615263028238
ACH-000223,-0.21283453319893386
ACH-000226,-0.13812569948813838
ACH-000227,-0.1725275881645676
ACH-000228,-0.11762133052331708
ACH-000231,0.02548936495729197
ACH-000232,-0.03006236812275845
ACH-000233,-0.1755288275262602
ACH-000234,0.005720148767942721
ACH-000235,-0.08842722004350308
ACH-000237,-0.030357317641763925
ACH-000238,-0.1173699020169724
ACH-000242,-0.04262342215604652
ACH-000243,-0.11095374363163596
ACH-000244,-0.1418810876604099
ACH-000246,-0.12476021193181512
ACH-000248,-0.05891988159356015
ACH-000250,-0.06656192037055744
ACH-000251,-0.1283108958064162
ACH-000252,0.02629632139856249
ACH-000253,-0.05102888812867454
ACH-000255,0.02375680265085409
ACH-000256,0.05317910438941935
ACH-000257,0.019010038029591062
ACH-000258,-0.1361586850571676
ACH-000259,0.04465515912349675
ACH-000260,-0.06301431181644257
ACH-000261,-0.1186720223634767
ACH-000262,-0.11971304471167996
ACH-000263,0.06674352017486165
ACH-000264,-0.15044889230103106
ACH-000265,0.004054955306864519
ACH-000266,-0.1636708497478785
ACH-000272,-0.11523682136050405
ACH-000274,-0.0031621190373416637
ACH-000277,-0.050740851709780835
ACH-000278,-0.06115277307765915
ACH-000279,0.14159144600123494
ACH-000280,-0.05636599053253132
ACH-000281,-0.24410171995876095
ACH-000288,-0.12403191649667103
ACH-000291,0.03477357085026364
ACH-000293,-0.26103103370163194
ACH-000294,-0.016077553457892142
ACH-000295,-0.21182773395926915
ACH-000296,-0.1389738623946266
ACH-000302,-0.09758727142478953
ACH-000304,-0.09063082397056722
