,GUCY2D (3000)
ACH-000004,-0.1248166554720635
ACH-000005,-0.16297922113378027
ACH-000007,-0.3210004361237513
ACH-000009,-0.3791512775207884
ACH-000011,-0.2829807317678995
ACH-000012,-0.12647522928616378
ACH-000013,-0.17449770691369434
ACH-000014,-0.02495809428094797
ACH-000015,-0.20304431532128872
ACH-000017,-0.0693611125522841
ACH-000018,-0.2310231197093191
ACH-000019,-0.3397387306516772
ACH-000021,-0.08959989737815124
ACH-000022,-0.09997930183625547
ACH-000025,-0.25582703978104393
ACH-000028,-0.036944440626767376
ACH-000030,-0.1803196581990047
ACH-000035,-0.230381962600975
ACH-000036,-0.2914385758797132
ACH-000037,-0.10204087020862196
ACH-000039,-0.30983860889988296
ACH-000040,-0.24241720558123026
ACH-000041,-0.0973986807003622
ACH-000042,-0.20837760106847872
ACH-000045,-0.013566993504866951
ACH-000047,-0.2336153937224472
ACH-000052,-0.28308082945070884
ACH-000053,-0.13385192328810255
ACH-000054,-0.07118643219913451
ACH-000055,-0.2395965210521602
ACH-000060,-0.2379841037233885
ACH-000067,-0.04494896600477361
ACH-000070,-0.1097425440730605
ACH-000075,-0.09129065652475893
ACH-000078,-0.13776232924648546
ACH-000082,-0.252632026611388
ACH-000085,0.07499195009476524
ACH-000086,-0.14558022622106054
ACH-000087,-0.17966400122600834
ACH-000092,-0.10296755657205134
ACH-000095,-0.30903772683795394
ACH-000097,-0.29147712372678386
ACH-000098,-0.17503291785648473
ACH-000099,-0.18214285732410984
ACH-000108,-0.21498623907736888
ACH-000113,-0.15422752167005208
ACH-000116,-0.08816744180788443
ACH-000118,-0.14353086085853056
ACH-000120,-0.3152381619919927
ACH-000123,-0.04568877831724731
ACH-000127,-0.22810586889713305
ACH-000128,-0.13707134699597806
ACH-000132,-0.09194171632500248
ACH-000133,-0.27105520937858685
ACH-000137,-0.1489970056690582
ACH-000138,-0.22362850024643405
ACH-000142,-0.3663348314459827
ACH-000143,-0.06389666962268672
ACH-000146,-0.1698957453422478
ACH-000148,-0.1445746814985461
ACH-000150,-0.2570653104929468
ACH-000152,-0.20109134315197727
ACH-000153,-0.009109484519072748
ACH-000159,-0.03226587848883291
ACH-000160,0.030997491819588118
ACH-000163,-0.2332162385461476
ACH-000167,-0.4971504962622372
ACH-000168,-0.3316533162379667
ACH-000169,-0.14566945954265909
ACH-000178,-0.1295950673309282
ACH-000183,-0.03703319894194545
ACH-000188,-0.08615661222029981
ACH-000189,0.14484764191143013
ACH-000190,-0.099622155086014
ACH-000198,-0.28202620922647403
ACH-000203,-0.3097174888009792
ACH-000204,-0.06759198448240479
ACH-000206,-0.11231817451370428
ACH-000207,-0.3825379239139435
ACH-000208,0.06539019573704974
ACH-000210,-0.18909352641903526
ACH-000211,-0.09567367507618464
ACH-000215,-0.1424686097089439
ACH-000221,-0.1327767689298492
ACH-000222,-0.06351566743020477
ACH-000223,-0.05107895202742965
ACH-000226,-0.253608192517406
ACH-000227,-0.04019511880608522
ACH-000228,-0.1150813007774848
ACH-000231,-0.22070340904608604
ACH-000232,-0.057662035038866924
ACH-000233,-0.2397983939149004
ACH-000234,-0.14723495263374042
ACH-000235,-0.2314938016013849
ACH-000237,-0.1825949262078172
ACH-000238,-0.1176703787089816
ACH-000242,-0.38790278268784906
ACH-000243,-0.10788920451805266
ACH-000244,-0.18144476590842867
ACH-000246,-0.13551535861274813
ACH-000248,-0.1434150300720304
ACH-000250,-0.15438210672190247
ACH-000251,0.007947387773737508
ACH-000252,0.030512757255061976
ACH-000253,-0.09218483463416824
ACH-000255,-0.1750720175513856
ACH-000256,0.014013377845597528
ACH-000257,-0.3223986822118388
ACH-000258,-0.3022287124941954
ACH-000259,-0.15947413815801828
ACH-000260,-0.1685572957854859
ACH-000261,-0.17378820925232932
ACH-000262,-0.33544852100348216
ACH-000263,-0.27237656234900604
ACH-000264,-0.1907837414891642
ACH-000265,-0.10508227687680026
ACH-000266,-0.18852921275123208
