,EPCAM (4072)
ACH-000004,-0.13285176378780372
ACH-000005,0.2988252634372328
ACH-000007,-0.13499693376585198
ACH-000009,-0.03627698502268537
ACH-000011,-0.12056275073827595
ACH-000012,-0.0846102868859481
ACH-000013,0.01850991436129864
ACH-000014,-0.13908361193836022
ACH-000015,-0.0931638545699382
ACH-000017,-0.1470705409258407
ACH-000018,-0.05332035673426694
ACH-000019,-0.05571213442261149
ACH-000021,-0.049218170886801534
ACH-000022,-0.149610722536597
ACH-000025,-0.17184672343802895
ACH-000028,-0.2392515478032627
ACH-000030,-0.1842698765319576
ACH-000035,-0.2298903469147304
ACH-000036,-0.05403601175174485
ACH-000037,-0.2216701687116014
ACH-000039,-0.10353343520298217
ACH-000040,-0.23185362818652294
ACH-000041,-0.14488931926809887
ACH-000042,-0.1133809324017966
ACH-000045,-0.07408854371657428
ACH-000047,0.009372445385972802
ACH-000052,-0.013855478317284538
ACH-000053,-0.09631825968139597
ACH-000054,-0.03092501440814008
ACH-000055,-0.033752388608361945
ACH-000060,0.05475417000867287
ACH-000067,-0.0631511788490141
ACH-000070,-0.12390109675725128
ACH-000075,-0.23438914003019345
ACH-000078,-0.12081533890323785
ACH-000082,-0.023342279738387036
ACH-000085,0.0670069020344457
ACH-000086,-0.15388550519475966
ACH-000087,-0.06173960933370989
ACH-000092,-0.23259121710355
ACH-000095,-0.11924116906121293
ACH-000097,-0.1170351173442428
ACH-000098,-0.09154882217468348
ACH-000099,-0.03639149303430418
ACH-000108,-0.15628298804928764
ACH-000113,-0.15395412445825246
ACH-000116,-0.19117420109248293
ACH-000118,-0.01621924870915528
ACH-000120,0.06378470978525531
ACH-000123,-0.11785005465243675
ACH-000127,-0.06726404467829059
ACH-000128,-0.03619411653384343
ACH-000132,-0.33583426066128536
ACH-000133,-0.2274972587843044
ACH-000137,-0.2727436569866386
ACH-000138,-0.000985639430310241
ACH-000142,-0.18509437454199174
ACH-000143,-0.019564822365254027
ACH-000146,-0.1518880169530887
ACH-000148,-0.1173610801133325
ACH-000150,-0.08475646992233747
ACH-000152,-0.13806286334415616
ACH-000153,0.0939328787217746
ACH-000159,-0.2303956918912635
ACH-000160,-0.16171669651097478
ACH-000163,-0.27788184734409616
ACH-000167,-0.4267305966308731
ACH-000168,-0.01330075981028475
ACH-000169,-0.015218483694267568
ACH-000178,-0.18100502227262494
ACH-000183,-0.13637690545761647
ACH-000188,-0.12259295103774917
ACH-000189,-0.05149420110688295
ACH-000190,-0.03189210032052952
ACH-000198,-0.046470839441396065
ACH-000203,-0.35042507325392797
ACH-000204,0.35522244102036105
ACH-000206,0.06037219044029087
ACH-000207,-0.3624502220444671
ACH-000208,-0.14612206932416394
ACH-000210,-0.2168064525201729
ACH-000211,-0.10628823071445864
ACH-000215,-0.1341944689473573
