,SLC9A3R1 (9368)
ACH-000004,-0.08005148599320183
ACH-000005,-0.3787217230953528
ACH-000007,0.1360218897850977
ACH-000009,-0.3245611495096392
ACH-000011,-0.06061766223931438
ACH-000012,-0.10394664105295763
ACH-000013,-0.037613413085046614
ACH-000014,-0.1376566752795669
ACH-000015,-0.07661398888983166
ACH-000017,-0.15844944730924515
ACH-000018,-0.19829791376598166
ACH-000019,-0.2338391574469896
ACH-000021,-0.08061779956899133
ACH-000022,-0.13858995584119868
ACH-000025,0.015604204026564103
ACH-000028,-0.04075621569067913
ACH-000030,-0.08559908288514685
ACH-000035,-0.1218007690415207
ACH-000036,-0.1587418539626356
ACH-000037,-0.1158437680948418
ACH-000039,-0.07367160204034087
ACH-000040,-0.09467280765314708
ACH-000041,-0.0469418179613631
ACH-000042,-0.15032250400148614
ACH-000045,-0.04173160444444266
ACH-000047,-0.059262016014672875
ACH-000052,-0.11946443184950838
ACH-000053,-0.16030532195989206
ACH-000054,-0.07838659819267273
ACH-000055,0.016561497750118767
ACH-000060,-0.091079414110363
ACH-000067,-0.10675937422069352
ACH-000070,-0.02857153255829444
ACH-000075,-0.2762652568788462
ACH-000078,-0.10641190025950002
ACH-000082,-0.14368387483636544
ACH-000085,-0.13349746798382978
ACH-000086,-0.05287113944530967
ACH-000087,0.06842461693930134
ACH-000092,0.004758878564873406
ACH-000095,-0.19239581247020054
ACH-000097,-0.20762473527278608
ACH-000098,-0.08049197272465428
ACH-000099,-0.12888162119571978
ACH-000108,-0.21940939628410414
ACH-000113,0.008911131962344577
ACH-000116,-0.028016018837746237
ACH-000118,-0.06631932732720228
ACH-000120,-0.17257195962742305
ACH-000123,0.003962106375025335
ACH-000127,-0.17150453673031404
ACH-000128,-0.1644555155304918
ACH-000132,-0.15476686840389434
ACH-000133,-0.009665181132086828
ACH-000137,-0.3037136742114526
ACH-000138,-0.17925920683839378
ACH-000142,-0.11687887037848067
ACH-000143,-0.035114161413240065
ACH-000146,-0.13149289366957154
ACH-000148,0.024723619950523214
ACH-000150,-0.008217003711708333
ACH-000152,-0.0624401624447072
ACH-000153,-0.06798730735149452
ACH-000159,-0.175495440160302
ACH-000160,-0.0212805883843951
ACH-000163,-0.05230323191738746
ACH-000167,-0.4691367496790606
ACH-000168,-0.08665023893468217
ACH-000169,-0.014050927600314385
ACH-000178,-0.09008285744758172
ACH-000183,-0.20597096077867644
ACH-000188,-0.02470333861426024
ACH-000189,0.09889820007609107
ACH-000190,-0.024594444126257192
ACH-000198,-0.16799663353880076
ACH-000203,-0.12911443563743755
ACH-000204,-0.1315565456454699
ACH-000206,0.04926194718191839
ACH-000207,-0.06909272188786897
ACH-000208,0.06046101112281236
ACH-000210,-0.1639632275772553
ACH-000211,-0.09417274995111698
ACH-000215,-0.03948232647938586
ACH-000221,0.02597999109013693
ACH-000222,-0.09377998296007917
ACH-000223,-0.1624859183531948
ACH-000226,-0.01568736761169696
ACH-000227,-0.02651117848416441
ACH-000228,-0.017914064287661416
ACH-000231,-0.1238048042257124
ACH-000232,-0.0158877986441617
ACH-000233,0.036413677152993214
ACH-000234,-0.2601626496567005
ACH-000235,-0.1206183888156749
ACH-000237,-0.03858212023114491
ACH-000238,-0.27754938319357403
ACH-000242,-0.3839249338094352
ACH-000243,-0.19941142052636932
ACH-000244,-0.3036591320882713
ACH-000246,-0.02457978648334343
ACH-000248,-0.06380948184010714
ACH-000250,-0.11032981611009532
ACH-000251,-0.5450432435511213
ACH-000252,-0.07158905201303346
ACH-000253,-0.1821621729366495
ACH-000255,-0.2598797631160008
ACH-000256,-0.1368033328960994
ACH-000257,-0.06395909444616303
ACH-000258,0.1125272980632728
ACH-000259,-0.21655770245247888
ACH-000260,-0.11675760240303065
ACH-000261,-0.20946391157345765
ACH-000262,-0.13598798186005812
ACH-000263,-0.15706481584104692
ACH-000264,-0.051807676435053095
ACH-000265,-0.1483195082882556
ACH-000266,-0.21980712481708475
ACH-000272,-0.2808657352395996
ACH-000274,-0.15656210212138327
ACH-000277,-0.0499706367572228
ACH-000278,-0.0057200504290443035
ACH-000279,-0.12653058287926047
ACH-000280,-0.1366273704729403
ACH-000281,-0.1083074124938352
ACH-000288,-0.09166237248438568
ACH-000291,-0.14051933527775906
ACH-000293,-0.2317040700503667
ACH-000294,0.016533289903613357
ACH-000295,-0.14301648260774996
ACH-000296,-0.16596366816744273
ACH-000302,-0.10475129236659683
ACH-000304,-0.2403373957794626
ACH-000307,-0.2270133137948957
ACH-000308,-0.062050223272525684
ACH-000310,-0.29499391610458364
ACH-000311,-0.1879368659933437
ACH-000312,-0.2601340893213757
ACH-000315,0.1367673509560395
ACH-000316,-0.1386432319400922
ACH-000317,0.12574367654024454
ACH-000318,-0.21349801131065327
ACH-000319,0.037302557876237576
ACH-000320,-0.0049371340382575145
ACH-000322,-0.10550134317757807
ACH-000323,-0.100792212636659
ACH-000324,-0.1893958362022572
ACH-000329,-0.14625471596702438
ACH-000330,-0.02846778537897489
ACH-000331,-0.026543245451344673
ACH-000332,-0.11902844559638046
ACH-000334,0.2823192106484649
ACH-000335,0.018639971193363514
ACH-000336,-0.10212004792197614
ACH-000337,-0.4072043782306287
ACH-000338,-0.16475929733769173
ACH-000339,-0.049822113057502095
