,CIRH1A (84916)
ACH-000004,-1.7164980468804605
ACH-000005,-1.358578088729257
ACH-000007,-1.3176263503575611
ACH-000009,-1.319566675662898
ACH-000011,-1.539317713410385
ACH-000012,-1.2444108996030858
ACH-000013,-1.6313146661430369
ACH-000014,-1.4665621559977782
ACH-000015,-1.4686146871512464
ACH-000017,-1.5616544878670895
ACH-000018,-1.5066935775453336
ACH-000019,-1.2773247731212443
ACH-000021,-1.492577111484357
ACH-000022,-1.5469624630554075
ACH-000025,-1.2819529296938583
ACH-000028,-1.1420980316953566
ACH-000030,-1.546513913789053
ACH-000035,-1.5462274506722102
ACH-000036,-1.223883611971602
ACH-000037,-0.8672548997263478
ACH-000039,-1.4643577348927233
ACH-000040,-1.2960958405538618
ACH-000041,-1.5325399031202782
ACH-000042,-1.368752503986918
ACH-000045,-1.4856624312682738
ACH-000047,-1.4082428316329991
ACH-000052,-1.5824392148494366
ACH-000053,-1.3296520659237432
ACH-000054,-1.4174369312951227
ACH-000055,-1.388584660341681
ACH-000060,-1.356911112372654
ACH-000067,-1.3912985525651216
ACH-000070,-1.3072515086451375
ACH-000075,-1.4831062772919712
ACH-000078,-1.42782923131026
ACH-000082,-1.5082502680562888
ACH-000085,-1.490870143310295
ACH-000086,-1.3597472138420674
ACH-000087,-1.4737170235204695
ACH-000092,-1.31832873724782
ACH-000095,-1.4557650200382242
ACH-000097,-1.2894183986122143
ACH-000098,-1.7476862505178776
ACH-000099,-1.311292624622638
ACH-000108,-1.4528109042944757
ACH-000113,-1.151342371290318
ACH-000116,-1.4480897422925467
ACH-000118,-1.2893460838749968
ACH-000120,-1.3176744814430148
ACH-000123,-1.2816004491175397
ACH-000127,-1.3661880564284288
ACH-000128,-1.5553678840992395
ACH-000132,-1.3015683750605143
ACH-000133,-1.3599700182455503
ACH-000137,-1.5480723282371305
ACH-000138,-1.4865624770884167
ACH-000142,-1.3334279424432371
ACH-000143,-1.5423304872558783
ACH-000146,-1.457201082852949
ACH-000148,-1.4837694669643746
ACH-000150,-1.658763449417155
ACH-000152,-1.5121975009454798
ACH-000153,-1.284585417574376
