,KHDRBS1 (10657)
ACH-000004,-0.2288124146438403
ACH-000005,-0.1040975294744502
ACH-000007,0.03684606160209408
ACH-000009,-0.33611117931980394
ACH-000011,-0.4147961825725691
ACH-000012,-0.2421046510121873
ACH-000013,-0.2190440498977944
ACH-000014,-0.2513542246383717
ACH-000015,-0.1497433933181675
ACH-000017,-0.3619150266197872
ACH-000018,-0.3244480494265041
ACH-000019,-0.18065403266562108
ACH-000021,-0.2672322630738629
ACH-000022,-0.2368295082839899
ACH-000025,-0.34629078928851664
ACH-000028,-0.4424912354453052
ACH-000030,-0.2866788289244961
ACH-000035,-0.23398843032293065
ACH-000036,-0.4449277092801556
ACH-000037,-0.3270781370277233
ACH-000039,-0.11574052523953665
ACH-000040,-0.3319668333702025
ACH-000041,-0.01507439995766611
ACH-000042,-0.2451254357112392
ACH-000045,-0.2602757311255539
ACH-000047,-0.22319611781190316
ACH-000052,-0.039418195913665854
ACH-000053,0.035559692645362725
ACH-000054,-0.0659822072534938
ACH-000055,-0.1843020644151936
ACH-000060,-0.5055392188028635
ACH-000067,-0.13477127452860624
ACH-000070,-0.16488301030498795
ACH-000075,-0.23513566574363884
ACH-000078,-0.1726692197857995
ACH-000082,-0.30840262911556465
ACH-000085,-0.09176031448003537
ACH-000086,-0.3811672668611089
ACH-000087,0.003932977715918153
ACH-000092,-0.5151099699629675
ACH-000095,-0.052227320162649464
ACH-000097,-0.4554663446021341
ACH-000098,-0.39590138580519296
ACH-000099,-0.0036715594680121954
ACH-000108,-0.2140986269748432
ACH-000113,-0.2925839287464017
ACH-000116,-0.28563677587341096
ACH-000118,-0.15308654831179816
ACH-000120,-0.231011520535316
ACH-000123,-0.2305544870667467
ACH-000127,-0.12315212854917545
ACH-000128,-0.31635652321009394
ACH-000132,-0.22709447901788304
ACH-000133,-0.2874037826106397
ACH-000137,-0.2850334887129597
ACH-000138,-0.3747457420640962
ACH-000142,-0.21626637700208068
ACH-000143,-0.3418216484791843
ACH-000146,-0.2216075349813792
