,SSBP1 (6742)
ACH-000004,-0.3636435805673943
ACH-000005,-0.28088800320863705
ACH-000007,-0.21181997448827292
ACH-000009,-0.4903605791732838
ACH-000011,-0.2319567577675352
ACH-000012,-0.7322117799354554
ACH-000013,-0.4027560556331221
ACH-000014,-0.2456722950461488
ACH-000015,-0.5618428845113859
ACH-000017,-0.3496903170956279
ACH-000018,-0.38342475644668506
ACH-000019,-0.29008690833892964
ACH-000021,-0.4990430497370454
ACH-000022,-0.39971726351033815
ACH-000025,-0.3871677345980372
ACH-000028,-0.639086947019033
ACH-000030,-0.2873312977873377
ACH-000035,-0.5853482981959122
ACH-000036,-0.03750690414278166
ACH-000037,-0.4934602758506881
ACH-000039,-0.22147120517253766
ACH-000040,-0.3058361488888038
ACH-000041,-0.21496061686783413
ACH-000042,-0.31042495458165353
ACH-000045,-0.5551608927436801
ACH-000047,-0.4661883875055897
ACH-000052,-0.18940537475991112
ACH-000053,-0.2991069231010731
ACH-000054,-0.2675006030059196
ACH-000055,-0.3477863982383845
ACH-000060,-0.3095129432915861
ACH-000067,-0.14433971612138885
ACH-000070,-0.5836815939694605
ACH-000075,-0.3271673471216225
ACH-000078,-0.2584931740276959
ACH-000082,-0.2932724421422424
ACH-000085,-0.3991054625658907
ACH-000086,-0.8200275883820033
ACH-000087,-0.30227262899362795
ACH-000092,-0.22077690930369773
ACH-000095,-0.07944069585559695
ACH-000097,-0.28498700830540324
ACH-000098,-0.3848740721634845
ACH-000099,-0.5984934726913035
ACH-000108,-0.36611006143647706
ACH-000113,-0.5573955393798485
ACH-000116,-0.4812450038088202
ACH-000118,-0.7322753138226529
ACH-000120,-0.3415179830333468
ACH-000123,-0.4181225000805047
ACH-000127,-0.6425744729316175
ACH-000128,-0.6129633861133739
ACH-000132,-0.4257651956098594
ACH-000133,-0.3641414020256428
ACH-000137,-0.2991329803523815
ACH-000138,-0.4234403185788035
ACH-000142,-0.2984917183412837
ACH-000143,-0.3816568006179709
ACH-000146,-0.3612104612212536
ACH-000148,-0.580454819249292
ACH-000150,-0.6713350408431608
ACH-000152,-0.33867122533515304
ACH-000153,-0.5547101419841385
ACH-000159,-0.36007982144808964
ACH-000160,-0.4925603126624028
ACH-000163,-0.4552682343940575
ACH-000167,-0.5491655533579811
ACH-000168,-0.2649176305494996
ACH-000169,-0.4059211917273475
ACH-000178,-0.4413948871174626
ACH-000183,-0.22710446353525576
ACH-000188,-0.4556983179479866
ACH-000189,-0.64385715450935
ACH-000190,-0.5024847695325044
ACH-000198,-0.496547785479358
ACH-000203,-0.4687357587730223
ACH-000204,-0.4856336419436381
ACH-000206,-0.2819015606034228
ACH-000207,-0.4613752189802148
ACH-000208,-0.4469986800378603
ACH-000210,-0.5259101206357693
ACH-000211,-0.25538488684122873
ACH-000215,-0.4081771529330213
ACH-000221,-0.7543975517613329
ACH-000222,-0.17543604765229184
ACH-000223,-0.5114694906808029
ACH-000226,-0.4054063572339368
ACH-000227,-0.5356668904559372
ACH-000228,-0.44223524930443264
ACH-000231,-0.4618853999823387
ACH-000232,-0.7208082486280071
ACH-000233,-0.3855926515660212
ACH-000234,-0.5606444606412244
ACH-000235,-0.409407057636341
ACH-000237,-0.26400476171521997
ACH-000238,-0.5266933578998322
ACH-000242,-0.6747383030128496
ACH-000243,-0.38293310071506986
ACH-000244,-0.3668001092916796
ACH-000246,-0.4133173470365016
ACH-000248,-0.2552542339086425
ACH-000250,-0.26060501319411405
ACH-000251,-0.5416730519774849
ACH-000252,-0.4337078713472498
ACH-000253,-0.3258429258257407
ACH-000255,-0.3911661217605836
ACH-000256,-0.22290445314369514
ACH-000257,-0.33003096641342683
ACH-000258,-0.5603869568803004
ACH-000259,-0.6291131632989541
ACH-000260,-0.3047618199174427
ACH-000261,-0.2411458293733689
ACH-000262,-0.4700113274514446
ACH-000263,-0.5078616129639374
ACH-000264,-0.36113791335520096
ACH-000265,-0.6510893033724202
ACH-000266,-0.22266983531249146
ACH-000272,-0.4554900415531585
ACH-000274,-0.389986079119762
ACH-000277,-0.4467097403254936
ACH-000278,-0.3149141835740009
ACH-000279,-0.42984986217010096
