,SDR39U1 (56948)
ACH-000004,-0.03527632412616871
ACH-000005,0.14949672793806282
ACH-000007,-0.3934908657461485
ACH-000009,-0.17113754968006434
ACH-000011,-0.1770813581330317
ACH-000012,-0.08426093195496978
ACH-000013,-0.0712894189177546
ACH-000014,-0.15389005803506456
ACH-000015,-0.0549832513991892
ACH-000017,-0.13482959671932268
ACH-000018,-0.2117836075724133
ACH-000019,-0.07122016801005572
ACH-000021,-0.038372893532325744
ACH-000022,0.03431000482485323
ACH-000025,-0.1097721430917783
ACH-000028,-0.06769206432687233
ACH-000030,-0.09903503314569484
ACH-000035,-0.04990575599434882
ACH-000036,-0.10597986389116318
ACH-000037,-0.009012389426791568
ACH-000039,-0.17135585198576395
ACH-000040,-0.12316532005919972
ACH-000041,-0.05786692025396869
ACH-000042,-0.10729458421251246
ACH-000045,0.017624160797490098
ACH-000047,-0.205383087573022
ACH-000052,-0.2307774470962963
ACH-000053,-0.16533093141872868
ACH-000054,-0.15306786220880014
ACH-000055,-0.015555827120174457
ACH-000060,-0.2879919151444069
ACH-000067,-0.2594695360159408
ACH-000070,-0.1109174317162049
ACH-000075,-0.19873376927906206
ACH-000078,0.03974503084019263
ACH-000082,-0.12204911011888253
ACH-000085,-0.21972391630584312
ACH-000086,-0.08751111643025787
ACH-000087,-0.006209182392280514
ACH-000092,-0.12593118746767326
ACH-000095,-0.2574737660878152
ACH-000097,-0.2542547572244141
ACH-000098,-0.033896208256745865
ACH-000099,-0.06644481176407781
ACH-000108,-0.053358664374367634
ACH-000113,-0.039428431116089284
ACH-000116,-0.036358303536524375
ACH-000118,-0.2077472405332389
ACH-000120,-0.05514474947101622
ACH-000123,-0.02668382124777317
ACH-000127,-0.10310864023072916
ACH-000128,0.01831026798439065
ACH-000132,-0.15741503218225827
ACH-000133,-0.21831578879631808
ACH-000137,-0.13935131257283914
ACH-000138,-0.02746053216938852
ACH-000142,-0.08329101915244641
ACH-000143,-0.04669659783389776
ACH-000146,-0.11762620759529747
ACH-000148,-0.14457223757253934
ACH-000150,0.07355786414318788
ACH-000152,-0.1940572746552653
ACH-000153,0.03609118170337936
ACH-000159,-0.20897253307001776
ACH-000160,-0.2292503023304097
ACH-000163,-0.20330073254135053
ACH-000167,-0.2463650528710743
ACH-000168,-0.13034374983006616
ACH-000169,0.02050702151112168
ACH-000178,-0.1444592582220009
ACH-000183,-0.06380269454922638
ACH-000188,-0.10161839196183113
ACH-000189,-0.19553365319325733
ACH-000190,-0.0560140097964704
ACH-000198,-0.03218335707079895
ACH-000203,-0.015802804808966574
ACH-000204,0.11154139444784968
ACH-000206,0.0904709037724898
ACH-000207,-0.004725656041659268
ACH-000208,-0.021855918025861967
ACH-000210,-0.14600466860317254
ACH-000211,-0.0983605380290898
ACH-000215,-0.11403041082115126
ACH-000221,-0.06678290046156879
ACH-000222,0.1851985514160954
ACH-000223,-0.1872348016141909
ACH-000226,-0.1433378683279686
ACH-000227,-0.11475349091012955
ACH-000228,0.0004010346158813584
ACH-000231,-0.10068345497624824
ACH-000232,-0.09430305556551227
ACH-000233,-0.1000282804500367
ACH-000234,-0.04436177635550051
ACH-000235,-0.11405689746609925
ACH-000237,0.008457879976183727
ACH-000238,-0.0012547070706064095
ACH-000242,-0.2769064861552917
ACH-000243,-0.16433127766771424
ACH-000244,0.0552435899061767
ACH-000246,-0.18664163736970485
ACH-000248,-0.27286732046554824
ACH-000250,-0.16377645895314158
ACH-000251,0.32331835062614595
ACH-000252,-0.2621334979359958
ACH-000253,0.018118689241222515
ACH-000255,-0.024110020480926527
ACH-000256,-0.09937167144984667
ACH-000257,0.026526321686917605
ACH-000258,0.13274168380896595
ACH-000259,-0.0453953743843624
ACH-000260,-0.005693009805055889
ACH-000261,-0.17931046709536916
ACH-000262,-0.02711217743370344
ACH-000263,-0.05056615139235576
ACH-000264,-0.06273307812057764
ACH-000265,-0.012238369435164072
ACH-000266,-0.07224369968447028
ACH-000272,-0.1836960111585396
ACH-000274,-0.08094660266975072
ACH-000277,-0.08488901649108896
ACH-000278,-0.14359483270598128
ACH-000279,-0.049501799883274265
ACH-000280,-0.04242892256572265
ACH-000281,0.0037450350758869897
ACH-000288,-0.15311992617863027
ACH-000291,-0.025213632342078414
ACH-000293,0.050261059565510066
ACH-000294,0.1265848803362894
ACH-000295,-0.11504492453842355
ACH-000296,-0.05346483412725
ACH-000302,-0.0789351610315628
ACH-000304,-0.027295208873818828
ACH-000307,-0.020384219400166957
ACH-000308,-0.08217048731153664
ACH-000310,-0.015144808472787432
ACH-000311,-0.01774560726129145
ACH-000312,0.12669004780960452
ACH-000315,-0.09850680653038492
ACH-000316,0.053395642966314515
ACH-000317,-0.3087332606094785
ACH-000318,-0.12202393248614372
ACH-000319,-0.0720710325180309
ACH-000320,0.10885981421110852
ACH-000322,-0.21477854642564348
ACH-000323,-0.2488730182358336
ACH-000324,-0.17888897823739758
ACH-000329,-0.012740292220044743
ACH-000330,0.05089828494937075
ACH-000331,-0.03869377033966159
ACH-000332,-0.09759366602344206
ACH-000334,-0.17734481824261933
ACH-000335,-0.19619579559469152
ACH-000336,-0.10505400544135614
ACH-000337,-0.13968678231015486
ACH-000338,0.386284797104197
ACH-000339,-0.037092218113814315
ACH-000341,-0.21152613683113405
ACH-000348,-0.07772925681431059
ACH-000350,-0.093000255188603
ACH-000352,-0.10548469138487376
ACH-000356,-0.2290651142168829
ACH-000361,-0.017284398876531132
ACH-000362,-0.013423874648929095
ACH-000363,-0.05344283029981282
ACH-000364,-0.11859913639979675
ACH-000365,0.06830385560971405
ACH-000366,-0.1837759310375568
ACH-000368,-0.1622622465687236
ACH-000374,-0.050635530131900974
ACH-000375,-0.30910139824363164
ACH-000376,-0.14098239134584412
ACH-000381,0.023702369817013645
ACH-000383,-0.17941552097046834
ACH-000387,-0.057437903852071086
ACH-000389,-0.2300838102235711
ACH-000390,-0.21417967299281548
ACH-000393,-0.16929794040075338
ACH-000395,-0.1412728070028446
ACH-000396,-0.3961378089221502
ACH-000397,-0.12047110469413208
ACH-000401,-0.07978769108268023
ACH-000402,0.3623738556751364
ACH-000403,-0.10449482739931312
ACH-000404,-0.17342171562293102
ACH-000406,-0.11612221612780105
ACH-000407,-0.15862767334855982
ACH-000408,0.04253140355592909
ACH-000410,-0.024812123291372726
ACH-000411,-0.0750973781235718
ACH-000414,-0.09139159888332217
ACH-000415,-0.1864100896596212
