,MLKL (197259)
ACH-000004,-0.0013414992581657849
ACH-000005,-0.06872376794392401
ACH-000007,0.15750507075199371
ACH-000009,0.04907101264120746
ACH-000011,-0.0010761526213778523
ACH-000012,-0.05127211083135101
ACH-000013,-0.0825480655445062
ACH-000014,-0.1749036587801932
ACH-000015,-0.01958159780226528
ACH-000017,-0.08504107313469635
ACH-000018,-0.15239978546463953
ACH-000019,-0.05903083140668298
ACH-000021,-0.0602619173997174
ACH-000022,-0.02734224595566199
ACH-000025,0.034412073910570794
ACH-000028,0.06262747181164288
ACH-000030,0.015607678734584915
ACH-000035,-0.15322246881138266
ACH-000036,-0.009334989960857572
ACH-000037,-0.1753498750388047
ACH-000039,-0.04663448079748557
ACH-000040,-0.019693107538772257
ACH-000041,0.14112219456966546
ACH-000042,-0.09986464548176292
ACH-000045,0.010210368630332978
ACH-000047,-0.00405328617509567
ACH-000052,-0.07687819321029389
ACH-000053,-0.012253349252541635
ACH-000054,-0.07743354382583828
ACH-000055,-0.027490396027191288
ACH-000060,-0.05639030632188392
ACH-000067,-0.011013852184980528
ACH-000070,0.17518482198647176
ACH-000075,-0.1342051486427128
ACH-000078,-0.06771340144361754
ACH-000082,-0.09158663310899663
ACH-000085,-0.13506791083744776
ACH-000086,-0.05898923784160864
ACH-000087,-0.007019979774271167
ACH-000092,-0.07446210274269832
ACH-000095,-0.051063571683875576
ACH-000097,-0.02963166194163984
ACH-000098,-0.22191227163850413
ACH-000099,-0.05987370834629634
ACH-000108,-0.15859664702075474
ACH-000113,-0.001955788268403014
ACH-000116,0.06619116094937
ACH-000118,-0.07854719025271106
ACH-000120,-0.2051141200512228
ACH-000123,0.01462233341861498
ACH-000127,-0.003808687711359013
ACH-000128,0.10149389888477403
ACH-000132,-0.2248713860859563
ACH-000133,-0.13585217889478593
ACH-000137,-0.034528064357962795
ACH-000138,-0.07147083978341627
ACH-000142,-0.13001897646906324
ACH-000143,-0.10269964440896732
ACH-000146,-0.07912481758460277
ACH-000148,-0.11960363123503395
ACH-000150,0.053463896132402544
ACH-000152,-0.020523267530619636
ACH-000153,-0.0388637990227108
ACH-000159,0.004001235527003396
ACH-000160,0.07421681740547964
ACH-000163,-0.0986025653993352
ACH-000167,0.026134366794812486
ACH-000168,-0.010637062717176762
ACH-000169,-0.033298278701969934
ACH-000178,-0.11179269917942533
ACH-000183,0.055462953258686776
ACH-000188,-0.026518830929814108
ACH-000189,0.030953087972876776
ACH-000190,-0.1080342333812827
ACH-000198,-0.07512746888601543
ACH-000203,-0.0778827662625263
ACH-000204,0.15503190701083802
ACH-000206,0.03459737228439503
ACH-000207,0.109701402431416
ACH-000208,-0.18239438430775198
ACH-000210,-0.16197039919491182
ACH-000211,-0.11321424126897515
ACH-000215,0.0031066305100737965
ACH-000221,-0.056429585871650964
ACH-000222,-0.08677771291118755
ACH-000223,0.02763630912943853
ACH-000226,-0.0959918859327372
ACH-000227,-0.026095391400910058
ACH-000228,-0.049109572185522636
ACH-000231,-0.010847740115075388
ACH-000232,0.033545332711653365
ACH-000233,-0.034607774365131426
ACH-000234,0.04544924349281938
ACH-000235,0.009174124818159744
ACH-000237,-0.018686480282941183
ACH-000238,-0.04592696542813118
ACH-000242,-0.11612095357412393
ACH-000243,-0.004342635195440132
ACH-000244,0.062201213053974476
ACH-000246,0.047161443505250734
ACH-000248,-0.1733496225436253
ACH-000250,0.00022017696822613912
ACH-000251,-0.09461583376204863
ACH-000252,0.12749216380193734
ACH-000253,0.010728082515797441
ACH-000255,-0.08328456038021331
ACH-000256,-0.18557784966959853
ACH-000257,-0.003760171038158846
ACH-000258,0.07608824658565598
ACH-000259,0.050568142957192364
ACH-000260,-0.04735094732704107
ACH-000261,-0.09973272027175356
ACH-000262,-0.08918346537952944
