,DENND2A (27147)
ACH-000004,-0.20051204920284765
ACH-000005,0.03134286793102256
ACH-000007,-0.007163507347552867
ACH-000009,-0.01802331133418997
ACH-000011,-0.053034103854482983
ACH-000012,-0.06941603091073208
ACH-000013,-0.07341139617222163
ACH-000014,-0.6238898378949261
ACH-000015,-0.06783741972103276
ACH-000017,-0.1195975333962184
ACH-000018,0.06609088827260325
ACH-000019,-0.10055634475932328
ACH-000021,-0.29351191405491506
ACH-000022,-0.16457352125610908
ACH-000025,-0.07255611454632735
ACH-000028,-0.030232688396367013
ACH-000030,-0.09753630366172697
ACH-000035,-0.15320558451666294
ACH-000036,-0.21636880175376605
ACH-000037,-0.3346764052937445
ACH-000039,-0.2314818895181554
ACH-000040,-0.0019742059326940827
ACH-000041,-0.2613184619897707
ACH-000042,-0.16369528603452846
ACH-000045,-0.17079351032534407
ACH-000047,-0.08864010258541521
ACH-000052,-0.19802412767477545
ACH-000053,-0.08941236718262707
ACH-000054,-0.21153160705178928
ACH-000055,-0.21803388715447494
ACH-000060,-0.2618010919294618
ACH-000067,-0.19298189560776974
ACH-000070,-0.3024343245339725
ACH-000075,-0.16957324669485566
ACH-000078,-0.14991679092753504
ACH-000082,-0.17363367323151413
ACH-000085,0.1125279785821036
ACH-000086,0.12398419681521375
ACH-000087,-0.15234107626035065
ACH-000092,-0.09923597711256348
ACH-000095,-0.1629614911508952
ACH-000097,-0.11782353491781428
ACH-000098,-0.2209768110288296
ACH-000099,-0.22892410412042224
ACH-000108,-0.12657675486596034
ACH-000113,-0.1879534959435545
ACH-000116,-0.20315031839760994
ACH-000118,-0.03969250811786811
ACH-000120,-0.10136244740792302
ACH-000123,-0.08559042203749362
ACH-000127,-0.1825496404106164
ACH-000128,-0.17708712044087802
ACH-000132,-0.1383824009009058
ACH-000133,-0.13995126787315562
ACH-000137,-0.19737155356318176
ACH-000138,-0.18177798852639745
ACH-000142,-0.11337766173153185
ACH-000143,0.02352528952807539
ACH-000146,-0.1886159257131593
ACH-000148,-0.105610081376383
ACH-000150,0.038459635850449335
ACH-000152,-0.1986613803129574
ACH-000153,-0.14267697451978778
ACH-000159,-0.03313278662746178
ACH-000160,0.005306624110011936
ACH-000163,-0.0037858537772870334
ACH-000167,0.27538443396376017
ACH-000168,-0.07262368255026852
ACH-000169,-0.0879620932270359
ACH-000178,-0.1561661947860819
ACH-000183,-0.34970168202162705
ACH-000188,-0.0994222924496294
ACH-000189,-0.4952403581620364
ACH-000190,-0.2609893327881696
ACH-000198,-0.22912974007038645
ACH-000203,-0.35233602720442786
ACH-000204,-0.24572616810853756
ACH-000206,-0.0799938155100505
ACH-000207,-0.21638678740997264
ACH-000208,-0.06398997659183159
ACH-000210,-0.2267218522105324
ACH-000211,-0.12393762592770573
ACH-000215,-0.07958148538483538
ACH-000221,-0.19024021350550704
ACH-000222,-0.4170208772012364
ACH-000223,-0.010600922823934864
