,MAD2L1BP (9587)
ACH-000004,-0.2327275550660817
ACH-000005,-0.5392334580135859
ACH-000007,-0.30429054567035196
ACH-000009,-0.7366885510698418
ACH-000011,-0.23184739433378754
ACH-000012,-0.5656770553172166
ACH-000013,-0.2622205611878735
ACH-000014,-0.4579243642680999
ACH-000015,-0.3367254138929609
ACH-000017,-0.14480393925637378
ACH-000018,-0.3167214720742316
ACH-000019,-0.3500417747698203
ACH-000021,-0.12942124830929086
ACH-000022,-0.9275819451074074
ACH-000025,-0.4567858969494791
ACH-000028,-0.6574424182241273
ACH-000030,-0.3637348393408157
ACH-000035,-0.04984886253160849
ACH-000036,-0.38745707121520895
ACH-000037,-0.3188157358238316
ACH-000039,-0.3111458766724759
ACH-000040,-0.5299111541287035
ACH-000041,-0.29250247543256497
ACH-000042,-0.08715234948136866
ACH-000045,-0.1355320537914586
ACH-000047,-0.337742060145078
ACH-000052,-0.2335685282666924
ACH-000053,-0.2951473626963994
ACH-000054,-0.2636030823246938
ACH-000055,-0.32013833735720776
ACH-000060,-0.19390342914566694
ACH-000067,-0.5532773103864552
ACH-000070,-0.5423463222465548
ACH-000075,-0.339520113363304
ACH-000078,-0.4272109087678924
ACH-000082,-0.5705358273763207
ACH-000085,-0.4817415260227781
ACH-000086,-0.4698483206357008
ACH-000087,-0.030867865442769395
ACH-000092,-0.4087174433630968
ACH-000095,-0.2908486564802287
ACH-000097,-0.4317719219645693
ACH-000098,-0.4549364969114997
ACH-000099,-0.3182123144928335
ACH-000108,-0.36256483847947385
ACH-000113,-0.4116734494588342
ACH-000116,-0.622188732401663
ACH-000118,-0.3341540035709929
ACH-000120,-0.5922646720140672
ACH-000123,-0.4955161050582527
ACH-000127,-0.3052156313213445
ACH-000128,-0.3030718395936239
ACH-000132,-0.1819011329093569
ACH-000133,-0.2516511646252563
ACH-000137,-0.26100156796377016
ACH-000138,-0.17916672987347862
ACH-000142,-0.6230154493047592
ACH-000143,-0.2384928607401139
ACH-000146,-0.3633253296281676
ACH-000148,-0.3712635160691941
ACH-000150,-0.1122655770071041
ACH-000152,-0.3015949034775345
ACH-000153,-0.4072863923253496
ACH-000159,-0.26411745433628986
ACH-000160,-0.2786338372131148
ACH-000163,-0.3250625808135165
ACH-000167,-0.3461178679649751
ACH-000168,-0.2006603990695688
ACH-000169,-0.3030961268435363
ACH-000178,-0.27047028066448725
ACH-000183,-0.026760963539786648
ACH-000188,-0.2857043542840749
ACH-000189,-0.21572215812555487
ACH-000190,-0.3247136598468631
ACH-000198,-0.4835010112130199
ACH-000203,-0.5615922348238411
ACH-000204,-0.21034469158231509
ACH-000206,-0.22422441534133727
ACH-000207,-0.6665359889467906
ACH-000208,-0.5349507230168402
ACH-000210,-0.4349693112475966
ACH-000211,-0.3620459796796746
ACH-000215,-0.3187499938558033
ACH-000221,-0.21355229436760048
ACH-000222,-0.30834590656746746
