,NACA (4666)
ACH-000004,-0.9994366105523941
ACH-000005,-0.959430319373854
ACH-000007,-1.0343664860786534
ACH-000009,-1.2160753752504487
ACH-000011,-1.2585151750435637
ACH-000012,-1.2513182808211043
ACH-000013,-1.1375360729300985
ACH-000014,-0.9892299275569122
ACH-000015,-1.120117646293233
ACH-000017,-0.8068623427756823
ACH-000018,-1.1548889567559069
ACH-000019,-1.1567376800378737
ACH-000021,-0.936542862637686
ACH-000022,-1.157322204866988
ACH-000025,-1.0907327975427894
ACH-000028,-1.177220195323642
ACH-000030,-0.9986433156305784
ACH-000035,-1.0458815579103724
ACH-000036,-1.272179784553766
ACH-000037,-1.2755478573603136
ACH-000039,-1.0677523825401949
ACH-000040,-1.0271041944819577
ACH-000041,-0.917753287662746
ACH-000042,-1.241753439761197
ACH-000045,-1.1317440516799422
ACH-000047,-0.7646444176233467
ACH-000052,-0.9957401662637912
ACH-000053,-0.9342243680761788
ACH-000054,-1.1278348701359884
ACH-000055,-0.8758092070456645
ACH-000060,-1.0161901104494269
ACH-000067,-1.0119926787341362
ACH-000070,-1.1013466042888682
ACH-000075,-1.1798065217459115
ACH-000078,-0.919485327323618
ACH-000082,-0.7722139370998471
ACH-000085,-0.9106997889490503
ACH-000086,-1.105249086267922
ACH-000087,-1.074276842826306
ACH-000092,-1.0976863378113584
ACH-000095,-1.1610930476983483
ACH-000097,-1.2412679854981306
ACH-000098,-1.162638741892854
ACH-000099,-1.012001970094913
ACH-000108,-1.1398432635179985
ACH-000113,-0.8742947832910274
ACH-000116,-1.047366662949187
ACH-000118,-1.0558080483255174
ACH-000120,-0.9446532401206748
ACH-000123,-0.9304624801807468
ACH-000127,-1.1443802149144755
ACH-000128,-1.050596751447192
ACH-000132,-1.050363746757
ACH-000133,-1.2156932581498778
ACH-000137,-0.9246755277497416
ACH-000138,-1.2344154951912771
ACH-000142,-1.0574942466629584
ACH-000143,-0.9618480189009809
ACH-000146,-0.909890945572266
ACH-000148,-1.1999068465070157
ACH-000150,-1.2160738771904345
ACH-000152,-1.0432509625395003
ACH-000153,-1.137194766438444
ACH-000159,-0.9568534758854816
ACH-000160,-0.7779341211102293
ACH-000163,-1.1156891011818553
ACH-000167,-1.1943085077378124
ACH-000168,-0.8296576169675137
ACH-000169,-0.9233650371008164
ACH-000178,-1.1571826408843615
ACH-000183,-0.9826554287911592
ACH-000188,-1.0723476205768971
ACH-000189,-0.7753786982585947
ACH-000190,-0.9286288351978584
ACH-000198,-0.9889748643679768
ACH-000203,-1.179339860234011
ACH-000204,-0.9784384431273968
ACH-000206,-0.9554850315884382
ACH-000207,-0.9021093997825682
ACH-000208,-1.2320046541150893
ACH-000210,-1.1608960597980793
ACH-000211,-1.0692322301746084
ACH-000215,-1.1524972505340685
ACH-000221,-1.0706347229504285
ACH-000222,-1.33315201844395
ACH-000223,-1.1317841235388992
ACH-000226,-1.228471316713072
ACH-000227,-0.8153870420542513
ACH-000228,-1.1884407965368309
ACH-000231,-1.027616388180828
