,RFK (55312)
ACH-000004,-0.7444014841477421
ACH-000005,-0.5704964795557915
ACH-000007,-0.11426293666665845
ACH-000009,-0.6905677443403708
ACH-000011,-0.20383902623317632
ACH-000012,-0.27940207160790803
ACH-000013,-0.2768847315285152
ACH-000014,-0.31506848330237786
ACH-000015,-0.3929571117624624
ACH-000017,-0.4812059290424965
ACH-000018,-0.33954626765433155
ACH-000019,-0.5620857042169702
ACH-000021,-0.5170756303731011
ACH-000022,-0.456724956171242
ACH-000025,-0.27563404875399355
ACH-000028,-0.7491177671944977
ACH-000030,-0.7782211933526556
ACH-000035,-0.1344090208074638
ACH-000036,-0.2303806938826532
ACH-000037,-0.4948443257325134
ACH-000039,-0.15695702047907498
ACH-000040,-0.3696822745303732
ACH-000041,-0.09460712108227784
ACH-000042,-0.30209095653736473
ACH-000045,-0.5757077571611726
ACH-000047,-0.7652835506946076
ACH-000052,-0.36016462402781624
ACH-000053,-0.8813015827242421
ACH-000054,-0.167830008293337
ACH-000055,-0.3211974296582097
ACH-000060,-0.1666037721740137
ACH-000067,-0.12247010789583072
ACH-000070,-0.932563219420933
ACH-000075,-0.5164854463080096
ACH-000078,-0.2799421141367039
ACH-000082,-0.18080175107647314
ACH-000085,0.1043226362486944
ACH-000086,-0.29728933425152204
ACH-000087,-0.4178474201217853
ACH-000092,-0.2733721823297339
ACH-000095,-0.1493155000286645
ACH-000097,-0.1896304546760441
ACH-000098,-0.3253338083020935
ACH-000099,-0.2893407699607521
ACH-000108,-0.4526615841502192
ACH-000113,-0.6761620002607579
ACH-000116,-0.26517211132450524
ACH-000118,-0.5464302893415112
ACH-000120,-0.12818615145844614
ACH-000123,-0.12065594787669845
ACH-000127,-0.5695950472576812
ACH-000128,-0.2927318741343969
ACH-000132,-0.32459527452093745
ACH-000133,-0.3417991357309889
ACH-000137,-0.4250279651280994
ACH-000138,-0.7565152861335511
ACH-000142,-0.05600867600514235
ACH-000143,-0.09333642145819757
ACH-000146,-0.3290726535929109
ACH-000148,-0.521054396647041
ACH-000150,0.008982583794023846
ACH-000152,-0.19924470729358768
ACH-000153,-0.4929335819177901
ACH-000159,-1.0281908203050485
ACH-000160,-0.3017820789989669
ACH-000163,-0.3669878634752374
ACH-000167,-0.3414765306495173
ACH-000168,-0.8325069967810691
ACH-000169,-0.06370016588945243
ACH-000178,-0.4059771255068276
ACH-000183,-0.8209776500829504
ACH-000188,-0.3203250942784497
ACH-000189,-0.6512810366163752
ACH-000190,-0.50484920747398
ACH-000198,-0.9410892675964022
ACH-000203,-0.4546745194145666
ACH-000204,-0.532947180786677
ACH-000206,-0.4073672195095547
ACH-000207,-0.4813432424238425
ACH-000208,-0.4738018263280634
ACH-000210,-0.2626605750948183
ACH-000211,-0.24760564104284355
ACH-000215,-0.20884793940082316
ACH-000221,-0.13801902790407372
ACH-000222,-0.4271703521710611
ACH-000223,-0.4419451703692504
ACH-000226,-0.8009910337670356
ACH-000227,-0.3388188947360678
ACH-000228,-0.4259213304078153
ACH-000231,-0.2517776811501518
ACH-000232,-0.0741833749561118
ACH-000233,-0.6978502918115944
ACH-000234,-0.7574875078817654
ACH-000235,-0.7735124838933062
ACH-000237,-0.4227140164664157
ACH-000238,-0.39184126253375057
ACH-000242,-0.07788544678977967
ACH-000243,-0.06791784297565312
ACH-000244,-0.36022937829205226
ACH-000246,-0.3756927555213789
ACH-000248,-0.3781783820827956
ACH-000250,-0.7518366492695133
ACH-000251,-0.5409668109203571
