,MAP2K2 (5605)
ACH-000004,-0.1306338796235832
ACH-000005,-0.05702363210958365
ACH-000007,-0.16505048064204406
ACH-000009,-0.1901627679581538
ACH-000011,-0.3432892321450427
ACH-000012,-0.1585260839814907
ACH-000013,-0.12507844088798126
ACH-000014,-0.5739425043255394
ACH-000015,-0.10961214310620733
ACH-000017,-0.2577208713301929
ACH-000018,-0.28064921995750663
ACH-000019,-0.24503690815184795
ACH-000021,-0.4326795105470446
ACH-000022,-0.09350661896488548
ACH-000025,-0.27400801893774634
ACH-000028,-0.12425182717153675
ACH-000030,-0.14286608136967685
ACH-000035,-0.20632791215506072
ACH-000036,-0.32011715353783066
ACH-000037,-0.22974756408626146
ACH-000039,-0.3770628545817619
ACH-000040,-0.23480326545559196
ACH-000041,-0.21872544176634934
ACH-000042,-0.21223384500108508
ACH-000045,-0.3814070095727173
ACH-000047,-0.2559712921505808
ACH-000052,-0.18049090198547565
ACH-000053,-0.1582023380888117
ACH-000054,-0.13684615739691927
ACH-000055,-0.21821562620262255
ACH-000060,-0.1213082639673239
ACH-000067,-0.2468125344528807
ACH-000070,-0.14145761761149514
ACH-000075,-0.2308633452410372
ACH-000078,-0.2738446436520555
ACH-000082,-0.3046366624305447
ACH-000085,-0.3851355855324869
ACH-000086,-0.159566193408726
ACH-000087,-0.1994780590505976
ACH-000092,-0.3260587897034135
ACH-000095,-0.34419647946043913
ACH-000097,-0.025425983359961612
ACH-000098,-0.2368760508718652
ACH-000099,-0.2831285631557732
ACH-000108,-0.19642101791344585
ACH-000113,-1.052614391100268
ACH-000116,-0.11008135684254056
ACH-000118,-0.07536638726995001
ACH-000120,-0.2342558942229259
ACH-000123,-0.17811996158470314
ACH-000127,-0.30605089327125584
ACH-000128,-0.2494645283987587
ACH-000132,-0.3367152308918594
ACH-000133,-0.3448047055599459
ACH-000137,-0.17733702915845648
ACH-000138,-0.0687418393381075
ACH-000142,-0.3602455646207294
ACH-000143,-0.2981125640275004
ACH-000146,-0.2337316042660591
ACH-000148,-0.18480592181971786
ACH-000150,-0.19248883306204206
ACH-000152,-0.18818429260697755
ACH-000153,0.10164041499185572
ACH-000159,-0.2539944541557035
ACH-000160,-0.005673274308085278
ACH-000163,-0.09577008899755572
ACH-000167,-0.4498694875727005
ACH-000168,-0.2104646593852502
ACH-000169,-0.15522987137137265
ACH-000178,-0.2649384964527127
ACH-000183,-0.2196409253698037
ACH-000188,-0.312275069023172
ACH-000189,-0.16300672137010655
ACH-000190,-0.058174408737407715
ACH-000198,-0.2944804887825051
ACH-000203,-0.0683617125171647
ACH-000204,-0.1945878142374173
ACH-000206,-0.19455049790633053
ACH-000207,-0.022841305146106643
ACH-000208,-0.3664420254991225
ACH-000210,-0.09177725077360027
ACH-000211,-0.12895462417911718
ACH-000215,-0.19071354125955872
ACH-000221,-0.01593138701367018
ACH-000222,-0.12348396569699545
ACH-000223,-0.12624790431276298
ACH-000226,-0.17158741216282833
ACH-000227,-0.32010386659244955
ACH-000228,-0.13504122971630395
ACH-000231,-0.13275705176627892
ACH-000232,-0.11338620079848842
ACH-000233,-0.1803940396403216
ACH-000234,-0.19696809377385693
ACH-000235,-0.1307958045358587
ACH-000237,-0.26418215473815576
ACH-000238,-0.06076925959863338
ACH-000242,-0.0034427579168083556
ACH-000243,-0.22561984066623594
ACH-000244,-0.20921440313184012
ACH-000246,-0.21734783933265475
ACH-000248,-0.08498735556931251
ACH-000250,-0.17141059831560204
ACH-000251,-0.3525315133967657
ACH-000252,-0.004154140188658323
ACH-000253,-0.3707197182083069
ACH-000255,-0.2213651520483493
ACH-000256,0.0012997956564847226
ACH-000257,-0.14619157783431894
ACH-000258,-0.2371710847269785
ACH-000259,-0.220390541687818
ACH-000260,-0.2808700136023285
ACH-000261,-0.20960170867290392
