,TPH2 (121278)
ACH-000004,-0.2013027961558168
ACH-000005,-0.3923762782533888
ACH-000007,-0.22087531119853088
ACH-000009,-0.26235543322135635
ACH-000011,-0.12465820708944733
ACH-000012,-0.16735405934318767
ACH-000013,-0.2522125980244553
ACH-000014,-0.07539547605171222
ACH-000015,-0.2309489626884065
ACH-000017,-0.22058600510763315
ACH-000018,-0.09709608260314123
ACH-000019,-0.3687295837176485
ACH-000021,-0.2959865381196697
ACH-000022,-0.2572281160380319
ACH-000025,-0.3908405133593218
ACH-000028,-0.28173159446429513
ACH-000030,-0.2623226922038358
ACH-000035,-0.15492582009706185
ACH-000036,-0.3878527757391678
ACH-000037,-0.38851603726636585
ACH-000039,-0.20118954568980105
ACH-000040,-0.3570857659793345
ACH-000041,-0.33202785356362796
ACH-000042,-0.28593405101623665
ACH-000045,-0.3085081211344578
ACH-000047,-0.27535929647730256
ACH-000052,-0.18553491600379496
ACH-000053,-0.1665208444449945
ACH-000054,-0.1699506189691201
ACH-000055,-0.20822219569737155
ACH-000060,-0.12677399135497433
ACH-000067,-0.2375286685080448
ACH-000070,-0.3045115368471318
ACH-000075,-0.052493532443902084
ACH-000078,-0.14912651049171713
ACH-000082,-0.4250257086730583
ACH-000085,-0.06800373402876655
ACH-000086,-0.4309691654426272
ACH-000087,-0.4606241823680493
ACH-000092,-0.25455095095965113
ACH-000095,-0.16260570713709338
ACH-000097,-0.28107698401415976
ACH-000098,-0.3133303592317427
ACH-000099,-0.3124452398644826
ACH-000108,-0.16161508676644767
ACH-000113,-0.1679914733684024
ACH-000116,-0.29723259470487484
ACH-000118,-0.2621592060573584
ACH-000120,-0.2320621361104472
ACH-000123,-0.22126351541631675
ACH-000127,-0.2635975974788071
ACH-000128,-0.27028191512448296
ACH-000132,-0.28939833460883113
ACH-000133,-0.16865000746737538
ACH-000137,-0.2898847056153052
ACH-000138,-0.3746522140164123
ACH-000142,-0.4042275350922113
ACH-000143,-0.2575772833890486
ACH-000146,-0.18540154061574374
ACH-000148,-0.2303912641411773
ACH-000150,-0.3145987867163642
ACH-000152,-0.33021281057553675
ACH-000153,-0.13111631287419934
ACH-000159,-0.23090326382035184
ACH-000160,-0.3481245450436988
ACH-000163,-0.43786186793766657
ACH-000167,-0.2549950683641666
ACH-000168,-0.2390618284397193
ACH-000169,-0.26751010895166544
ACH-000178,-0.3015194355787864
ACH-000183,-0.2721679345927051
ACH-000188,-0.12774560200496066
ACH-000189,-0.3334879443351507
ACH-000190,-0.26744028247182955
ACH-000198,-0.1916009557997096
ACH-000203,-0.5077817248463152
ACH-000204,-0.32950511791242404
ACH-000206,-0.2338983625968149
ACH-000207,-0.0734872781759114
ACH-000208,-0.4457193626526375
ACH-000210,-0.2553446312223601
ACH-000211,-0.33773859391859457
ACH-000215,-0.2840699275523625
ACH-000221,-0.20814901554708565
ACH-000222,-0.12418412377140264
ACH-000223,-0.2569594885323125
ACH-000226,-0.3030855454880594
ACH-000227,-0.4141017067074845
ACH-000228,-0.20934216695516386
ACH-000231,-0.2541837115143589
ACH-000232,-0.3231662072685123
ACH-000233,-0.24053811965256655
ACH-000234,-0.2963817301740901
ACH-000235,-0.28315169911261545
ACH-000237,-0.37098281438305947
ACH-000238,-0.2982069668434458
ACH-000242,-0.4273214644451597
ACH-000243,-0.256409593806559
ACH-000244,-0.3812845225619266
ACH-000246,-0.33225321651218115
ACH-000248,-0.4303083175349863
ACH-000250,-0.2937264129188624
ACH-000251,-0.31739128585719617
ACH-000252,-0.23193186207705566
ACH-000253,-0.3688122577873563
ACH-000255,-0.17284620738097414
ACH-000256,-0.261890903216328
ACH-000257,-0.021222128237721467
ACH-000258,-0.3989367870826182
ACH-000259,-0.25677680579665363
ACH-000260,-0.3571092821184783
ACH-000261,-0.2707622285981541
ACH-000262,-0.17489558743604686
ACH-000263,-0.08489663082752948
ACH-000264,-0.2773456874586744
ACH-000265,-0.2547204831978101
ACH-000266,-0.26073040779557544
ACH-000272,-0.05245305068023672
ACH-000274,-0.1809106377017025
ACH-000277,-0.2915067663805899
ACH-000278,-0.4657080715879581
ACH-000279,-0.2610442907399361
ACH-000280,-0.2055055020620511
ACH-000281,-0.3454527576484602
ACH-000288,-0.2174003782643489
ACH-000291,-0.34995519734129416
ACH-000293,-0.21663897174390556
ACH-000294,0.034289446611468995
ACH-000295,-0.2619129594229861
ACH-000296,-0.2940848998268801
ACH-000302,-0.23823341813104235
ACH-000304,-0.4160548556045496
ACH-000307,-0.34271884765358074
ACH-000308,-0.35871250627761114
ACH-000310,-0.26694837045097125
ACH-000311,-0.32325156774599945
ACH-000312,-0.2619613393296833
ACH-000315,0.1570023395105815
ACH-000316,-0.3250902957553782
ACH-000317,-0.23550029656583216
ACH-000318,-0.3301865156738918
ACH-000319,-0.4022930084971161
ACH-000320,-0.2937043310171962
ACH-000322,-0.2817338123444811
ACH-000323,-0.18398137838490936
ACH-000324,-0.1321328241737261
ACH-000329,-0.21504389476165134
ACH-000330,-0.3644306948206749
ACH-000331,-0.382369516736212
ACH-000332,-0.26041310508107024
ACH-000334,-0.29133489886836383
ACH-000335,-0.4752612458254752
ACH-000336,-0.07083742158910304
ACH-000337,-0.1368640939170697
ACH-000338,0.13259379601706928
ACH-000339,-0.2478504893059783
ACH-000341,-0.2639303855056943
ACH-000348,-0.3341935600497514
ACH-000350,-0.16149504758190095
ACH-000352,-0.27138067825950296
ACH-000356,-0.2775680013293442
ACH-000361,-0.26612066650967664
ACH-000362,-0.14017160850111773
ACH-000363,-0.19405553357858085
ACH-000364,-0.24105372826332624
ACH-000365,-0.3568862813905133
ACH-000366,-0.24952197698862594
ACH-000368,-0.28994830887849793
ACH-000374,-0.3686231995270202
ACH-000375,-0.2967846795510985
ACH-000376,-0.2074462225747399
ACH-000381,-0.2123244146194584
ACH-000383,-0.24231045261890705
ACH-000387,-0.2483144116333321
ACH-000389,-0.2053846680819704
ACH-000390,-0.22369804573295893
ACH-000393,-0.4025429211010508
ACH-000395,-0.2602409371605815
ACH-000396,-0.31855127784723464
ACH-000397,-0.23427077000487706
ACH-000401,0.02295892122550443
ACH-000402,-0.6473260260417996
ACH-000403,-0.2781949792857803
ACH-000404,-0.8394362668064905
ACH-000406,-0.16831495899268306
ACH-000407,-0.16835241826556185
ACH-000408,-0.2700850271231701
ACH-000410,-0.32832341734668163
ACH-000411,-0.3274919568254259
ACH-000414,-0.4353321289394916
ACH-000415,-0.23241648612840285
ACH-000416,-0.2641961856831733
ACH-000420,-0.312687882886944
ACH-000421,-0.2699154263587914
ACH-000424,-0.44194618227953053
ACH-000425,-0.19235352450091364
ACH-000426,-0.14415313496683152
ACH-000427,-0.27817007678922223
ACH-000433,-0.1680326617261132
ACH-000435,-0.2627729708111178
ACH-000436,-0.22038871683290184
ACH-000444,-0.4112026076596131
ACH-000445,-0.516548894066695
ACH-000448,-0.2297272103856252
ACH-000450,-0.389555976111476
ACH-000452,-0.3288092898825905
ACH-000454,-0.3844586524398945
ACH-000458,-0.17739962754242347
ACH-000459,-0.17843741998483234
ACH-000460,-0.3599165060701264
ACH-000461,-0.14811074987271375
ACH-000463,-0.2935556938474964
ACH-000464,-0.2587844005909378
ACH-000466,-0.1524376151109222
ACH-000467,-0.3270229466236494
ACH-000468,-0.3870555234229582
ACH-000469,-0.25950102647678525
ACH-000470,-0.2900642530744705
ACH-000471,-0.27689129635172377
ACH-000472,-0.317011384870223
ACH-000473,-0.2624552205165726
ACH-000475,-0.17108478819434347
ACH-000476,-0.3210305328550068
ACH-000477,-0.11970358666020182
ACH-000479,-0.12119971646116992
ACH-000480,-0.3635273692996844
ACH-000481,-0.2432387152062165
ACH-000483,-0.2996282237927849
ACH-000484,-0.2377658549599755
ACH-000485,-0.3233786234407145
ACH-000486,-0.3173912452254594
ACH-000487,-0.118591349300124
ACH-000488,-0.3547744783415319
ACH-000490,-0.29842850972469503
ACH-000491,-0.06990689184101971
ACH-000495,-0.012513244534498778
ACH-000496,-0.6459601119184404
ACH-000499,-0.5599499316874412
ACH-000500,-0.07404429578345398
ACH-000502,-0.33898129365635
ACH-000503,-0.20848130074853652
ACH-000505,-0.2976894797809597
ACH-000507,-0.19941416825671696
ACH-000510,-0.3007361381289214
ACH-000511,-0.3711260403531163
ACH-000512,-0.15904060844706666
ACH-000516,-0.33290535150676115
ACH-000517,-0.20624349134676676
ACH-000518,-0.2452254619582045
ACH-000520,-0.16030957920988
ACH-000521,-0.17429485866192654
ACH-000522,-0.2284438178976756
ACH-000524,-0.16845627361757112
ACH-000527,-0.3037077911624593
ACH-000528,-0.268477494846117
ACH-000537,-0.3217954359676647
ACH-000541,-0.6281855563629039
ACH-000542,-0.338375404557586
ACH-000544,-0.13000022629998514
ACH-000545,-0.3025364083340645
ACH-000547,0.0035760323587599656
ACH-000548,-0.11917336143817515
ACH-000549,-0.26357951049382505
ACH-000550,-0.32403718897515776
ACH-000552,-0.2245124164343405
ACH-000556,-0.23784826501315864
ACH-000557,-0.24383041861578905
ACH-000569,-0.3939181788648408
ACH-000570,-0.20886858822003024
ACH-000571,-0.2688098016309774
ACH-000573,-0.3650468754868403
ACH-000576,0.0739945033502195
ACH-000579,-0.3878437852288636
ACH-000580,-0.056209324251609134
ACH-000584,-0.2992795579534666
ACH-000585,-0.21215718887534527
ACH-000588,-0.25495145927266805
ACH-000589,-0.2995138800570683
ACH-000591,-0.3208701261022305
ACH-000593,-0.25905844815331736
ACH-000600,-0.3286669678537041
ACH-000601,-0.3040620375784672
ACH-000605,-0.376963155818968
ACH-000606,-0.4222989346420398
ACH-000608,-0.22130029469367588
ACH-000614,-0.5355332713499611
ACH-000616,-0.272441817166547
ACH-000618,-0.3147794171272804
