,OLFML1 (283298)
ACH-000004,-0.07710476889702772
ACH-000005,-0.0810177990045778
ACH-000007,-0.004080189734191172
ACH-000009,0.009706454943042484
ACH-000011,-0.1315768237458794
ACH-000012,-0.1311459132027538
ACH-000013,-0.05370856724611285
ACH-000014,0.04727668059878492
ACH-000015,-0.01638735644917105
ACH-000017,0.01893765857039332
ACH-000018,-0.10481500313479283
ACH-000019,-0.4387763610064026
ACH-000021,-0.11507253497852638
ACH-000022,-0.06734478071981169
ACH-000025,-0.024005484894890298
ACH-000028,-0.18106963955891972
ACH-000030,-0.07763810992736876
ACH-000035,-0.12086984070054813
ACH-000036,-0.04522674207409071
ACH-000037,-0.05907375682290015
ACH-000039,-0.15399078805464014
ACH-000040,-0.11793227252726635
ACH-000041,0.04091890105617396
ACH-000042,-0.2071477257960656
ACH-000045,-0.09745076623995036
ACH-000047,0.0433144466934007
ACH-000052,0.08005660536537708
ACH-000053,-0.1125680958667948
ACH-000054,-0.1269273494756307
ACH-000055,0.013991301557267972
ACH-000060,-0.0825665332826284
ACH-000067,-0.12308330120941854
ACH-000070,-0.0065599156738481434
ACH-000075,-0.09800273066922212
ACH-000078,-0.08419057873197405
ACH-000082,-0.1415308659505333
ACH-000085,-0.14447777466316286
ACH-000086,-0.11435001499718342
ACH-000087,0.02641201981453668
ACH-000092,-0.017496394929082046
ACH-000095,-0.10354820258667294
ACH-000097,-0.07574216004658052
ACH-000098,-0.09504579311885042
ACH-000099,-0.0848757770930664
ACH-000108,-0.04277972807439753
ACH-000113,-0.1315931218727402
ACH-000116,-0.11580669918806248
ACH-000118,-0.08241778754600511
ACH-000120,-0.11135433659598101
ACH-000123,-0.1827320591106418
ACH-000127,-0.1132277080765413
ACH-000128,-0.10516805514027593
ACH-000132,-0.049923921895767234
ACH-000133,-0.055793131588427934
ACH-000137,-0.06493400373812387
ACH-000138,-0.1647026070854945
ACH-000142,-0.0812876259446555
ACH-000143,-0.11638081512664045
ACH-000146,-0.10863210505205688
ACH-000148,-0.008043581307300934
ACH-000150,-0.05427802465892162
ACH-000152,-0.13135887339257385
ACH-000153,-0.3287038628332307
ACH-000159,-0.20447732418273526
ACH-000160,-0.037885394694480976
ACH-000163,-0.01729292276756839
ACH-000167,-0.06386244469840376
ACH-000168,-0.1619844966478722
ACH-000169,-0.10554384073029224
ACH-000178,-0.12527895702432948
ACH-000183,-0.08451401713993
ACH-000188,-0.12595141967972126
ACH-000189,0.01706020387159473
ACH-000190,-0.07836339707770311
ACH-000198,-0.09923395774609917
ACH-000203,0.06959316082564254
ACH-000204,-0.20498844016026374
ACH-000206,-0.019185909927070643
ACH-000207,-0.02901173415782085
ACH-000208,0.12771063347677272
ACH-000210,-0.20366152392945805
ACH-000211,-0.1099905065234797
ACH-000215,-0.13966190336225834
ACH-000221,0.014555401364346863
ACH-000222,-0.004937637176903972
ACH-000223,-0.12977170221725895
ACH-000226,-0.0955138563968377
ACH-000227,-0.16174739085093534
ACH-000228,0.0054362849042101005
ACH-000231,-0.05721275351458625
ACH-000232,-0.19320074179149055
ACH-000233,-0.0935459303100692
ACH-000234,-0.07707281862430504
ACH-000235,-0.07701277402815608
ACH-000237,-0.08113750602256108
ACH-000238,-0.12783622396703764
ACH-000242,-0.2480747008110663
ACH-000243,-0.03936865020211313
ACH-000244,0.049715181072722166
ACH-000246,-0.06595817225741847
ACH-000248,-0.032069274489821185
ACH-000250,-0.07790517267289256
ACH-000251,0.07082280745206816
ACH-000252,0.06916531361970367
ACH-000253,-0.02527608852239976
ACH-000255,-0.177940409370839
ACH-000256,-0.29145956431464426
ACH-000257,0.04321604450734588
ACH-000258,-0.09647225705112056
ACH-000259,-0.16697183351196804
ACH-000260,-0.029333302054891895
ACH-000261,-0.14228239252385688
