,GPX4 (2879)
ACH-000004,-0.3843393953412225
ACH-000005,-0.9923282576307734
ACH-000007,-0.16383062628800632
ACH-000009,0.028151682902157995
ACH-000011,-0.7400667261475762
ACH-000012,-0.7264045206825098
ACH-000013,-0.8437531770534091
ACH-000014,-0.2654483486749365
ACH-000015,-0.3994648356029061
ACH-000017,-0.38498753509767053
ACH-000018,-0.7538294349360216
ACH-000019,0.032559075229975074
ACH-000021,-0.9337022261044392
ACH-000022,-0.1074819099369801
ACH-000025,-0.7774638109164894
ACH-000028,-0.09573357990745178
ACH-000030,-0.3661396907821001
ACH-000035,-0.8996670261705518
ACH-000036,-0.677355805021549
ACH-000037,-0.7389694794102135
ACH-000039,-0.6465344382300233
ACH-000040,-0.3023128361534145
ACH-000041,-0.902181417785576
ACH-000042,-0.3849759126629573
ACH-000045,-0.7569684545635481
ACH-000047,-0.6142260722308941
ACH-000052,-0.8075874627268251
ACH-000053,-0.8526992563963192
ACH-000054,-0.7030153400452114
ACH-000055,-0.6473930360032395
ACH-000060,-0.30884865728597005
ACH-000067,-0.5312897237375603
ACH-000070,-0.669764088604308
ACH-000075,-0.2417668815434868
ACH-000078,-0.2640741865446816
ACH-000082,-0.8132774475328338
ACH-000085,-0.8410967821699878
ACH-000086,-0.0493028176873531
ACH-000087,-0.4581411101425282
ACH-000092,0.02690868001603264
ACH-000095,-0.6439625026601404
ACH-000097,-0.11355599015722027
ACH-000098,-0.4257553765486204
ACH-000099,-0.1783219529874578
ACH-000108,-0.3845098491609537
ACH-000113,-0.7768885049366286
ACH-000116,-0.9674600284982992
ACH-000118,-0.10949587626257344
ACH-000120,-0.7897718016807694
ACH-000123,-0.35241950546809336
ACH-000127,-0.13311640459553672
ACH-000128,-0.9750747576834732
ACH-000132,-0.6935528812193892
ACH-000133,-0.6464191925222564
ACH-000137,-0.7085109414718745
ACH-000138,-0.4332325992201124
ACH-000142,-0.5918238625137704
ACH-000143,-0.9436892866445568
ACH-000146,-0.8023660294193162
ACH-000148,-0.9213542734553092
ACH-000150,-0.7751918881542109
ACH-000152,-0.6488851785226913
ACH-000153,-0.4296177313138005
ACH-000159,-0.6733059964536781
ACH-000160,0.08853753685132901
ACH-000163,-0.6226658490483941
ACH-000167,-0.8022758305416616
ACH-000168,-0.7922361804259022
ACH-000169,-0.198574030273006
ACH-000178,-0.4516824022859793
ACH-000183,-0.6537331355606207
ACH-000188,-0.5079774295473206
ACH-000189,-0.5271946591969671
ACH-000190,-0.3420658493864258
ACH-000198,-0.6811159987005234
ACH-000203,-0.6425412934262461
ACH-000204,-0.8229300917873967
ACH-000206,-0.9308345242861644
ACH-000207,-0.025489655720234147
ACH-000208,-0.672478851057334
ACH-000210,-0.5007593678954823
ACH-000211,-0.8585904636986489
ACH-000215,-0.7472886098408558
ACH-000221,-0.7769347798540567
ACH-000222,-0.2844065815252634
ACH-000223,-0.6240198238465107
ACH-000226,-0.6385399492354733
ACH-000227,-0.9902979619903612
ACH-000228,-0.5319091309393398
ACH-000231,-0.3833126835506439
ACH-000232,-0.2008493881365548
ACH-000233,-0.9790110860332584
