,RAB11FIP2 (22841)
ACH-000004,0.1873122726932339
ACH-000005,0.06656446712952722
ACH-000007,0.06893792688565667
ACH-000009,0.032585693597343576
ACH-000011,-0.04141932756559747
ACH-000012,0.0008701269390821512
ACH-000013,-0.05189047890316149
ACH-000014,-0.06398011621331404
ACH-000015,-0.010328885645439392
ACH-000017,0.14044343992794414
ACH-000018,-0.1719383572548967
ACH-000019,0.11904829174328938
ACH-000021,0.06212770925780293
ACH-000022,0.121283794991668
ACH-000025,-0.013453901443840378
ACH-000028,0.08416784035020188
ACH-000030,-0.03133526786437365
ACH-000035,0.04409857770253419
ACH-000036,-0.035659014653995236
ACH-000037,0.033381228959214415
ACH-000039,-0.0305807599601757
ACH-000040,-0.04251999686972073
ACH-000041,-0.0051735040334636466
ACH-000042,-0.02081731571015085
ACH-000045,-0.04949963119654308
ACH-000047,-0.022782079110106598
ACH-000052,-0.017302642408375313
ACH-000053,-0.02230233977409729
ACH-000054,-0.013947156390478485
ACH-000055,-0.011781670841723369
ACH-000060,-0.009491432547370731
ACH-000067,-0.1212363081540907
ACH-000070,-0.011556662020358087
ACH-000075,0.16939736409816694
ACH-000078,0.03553619701374884
ACH-000082,-0.01947048074197253
ACH-000085,0.05684444726011609
ACH-000086,0.01314920910064443
ACH-000087,0.1322893433610626
ACH-000092,0.009687059556446286
ACH-000095,-0.040953556475007695
ACH-000097,0.0756916842079895
ACH-000098,0.04797154964733922
ACH-000099,0.017157243351618664
ACH-000108,0.02568567646272852
ACH-000113,-0.014897371511144737
ACH-000116,-0.07013766260620365
ACH-000118,0.05693902971532685
ACH-000120,-0.0756669787029958
ACH-000123,-0.020087855079362442
ACH-000127,-0.03878661404712632
ACH-000128,-0.10868350314819533
ACH-000132,-0.0810236521597795
ACH-000133,-0.07605970599694135
ACH-000137,-0.011428730278102707
ACH-000138,0.052373629038012605
ACH-000142,-0.09578189203924167
ACH-000143,-0.13206700530181414
ACH-000146,0.06761706789609097
ACH-000148,-0.033357492599423645
ACH-000150,0.006274027477358377
ACH-000152,-0.1835706326424736
ACH-000153,0.2461683269236249
ACH-000159,-0.05984166189703899
ACH-000160,-0.07253058258176744
ACH-000163,-0.08436936514522424
ACH-000167,-0.4384647706166708
ACH-000168,0.06745929659373713
ACH-000169,-0.10997111516227727
ACH-000178,0.01812026764714588
ACH-000183,0.002384322818104635
ACH-000188,-0.00985482447950302
ACH-000189,0.10595904970417756
ACH-000190,0.033615697535679036
ACH-000198,0.12272066119070732
ACH-000203,-0.4290519536731812
ACH-000204,0.13153367752326656
ACH-000206,-0.19766489351703392
ACH-000207,-0.14885451367442845
ACH-000208,0.14895606091715205
ACH-000210,-0.2560566781457377
ACH-000211,0.09078990508178217
ACH-000215,0.01297822360017953
ACH-000221,0.07774123439965461
ACH-000222,-0.06855474329215065
ACH-000223,-0.0958984577609638
ACH-000226,0.030298675044477176
ACH-000227,-0.04430344016188261
ACH-000228,-0.10600051673732426
ACH-000231,0.05129793306191932
ACH-000232,-0.02012545365135181
ACH-000233,0.07982704648797327
ACH-000234,-0.09340729473755237
ACH-000235,0.022106981756135968
ACH-000237,0.03283728575734066
ACH-000238,-0.008367478906870023
ACH-000242,-0.21924372457105426
ACH-000243,0.023117895783972112
ACH-000244,0.05233638529373545
ACH-000246,0.06368504850739612
ACH-000248,0.11289089348474254
ACH-000250,-0.009518363903236016
ACH-000251,0.1981049907295668
ACH-000252,0.030461519108367818
ACH-000253,-0.021965597723219557
ACH-000255,-0.06466937359968132
ACH-000256,0.05524566294595227
ACH-000257,0.037556429403847104
ACH-000258,-0.02103187407499433
ACH-000259,-0.019894380068445003
ACH-000260,0.03337264959478575
ACH-000261,-0.037297892734304616
ACH-000262,-0.07096069557807104
ACH-000263,0.06494994147961924
ACH-000264,0.12840438256929934
ACH-000265,0.059203387293752185
ACH-000266,0.021107330496807557
ACH-000272,0.04306315805713165
ACH-000274,-0.08918981141970396
