,ARPC1A (10552)
ACH-000004,0.061830265902011274
ACH-000005,0.19532745009725386
ACH-000007,0.07484168947229078
ACH-000009,0.011311328964287087
ACH-000011,0.02530680269321217
ACH-000012,0.036630497187303726
ACH-000013,0.10602812418260232
ACH-000014,-0.11010472171303623
ACH-000015,0.059280201449917275
ACH-000017,-0.040935628484994095
ACH-000018,0.11805467753531
ACH-000019,0.03660098805766394
ACH-000021,-0.007781019419032694
ACH-000022,0.03617442439643436
ACH-000025,-0.053602197386281115
ACH-000028,0.05122107294195215
ACH-000030,0.03189143990696985
ACH-000035,-0.08427475610973557
ACH-000036,-0.15805947896254674
ACH-000037,-0.027051303707843442
ACH-000039,0.10486797794595486
ACH-000040,-0.036928519668408336
ACH-000041,-0.1165242714104331
ACH-000042,-0.08085895266207181
ACH-000045,-0.1295248165007321
ACH-000047,0.008053662953527227
ACH-000052,-0.16644109352207226
ACH-000053,-0.013306569866190318
ACH-000054,0.025560476369363497
ACH-000055,0.1277038362155008
ACH-000060,-0.08939939126136379
ACH-000067,-0.03445941417134536
ACH-000070,0.02402456301619939
ACH-000075,0.09351357440075588
ACH-000078,-0.05101955661834205
ACH-000082,-0.027549360371496776
ACH-000085,-0.02383697255738265
ACH-000086,0.12808456966524334
ACH-000087,-0.052002286958844866
ACH-000092,0.0774993202376408
ACH-000095,-0.20798752341858245
ACH-000097,-0.008676848440131628
ACH-000098,-0.11556226242341147
ACH-000099,-0.10934524316529567
ACH-000108,-0.03031454490701202
ACH-000113,0.057101470676528265
ACH-000116,0.0613209600962169
ACH-000118,0.0012217579769930962
ACH-000120,-0.051407151866380715
ACH-000123,-0.04856994321537403
ACH-000127,0.014579550503663259
ACH-000128,-0.11887695955310575
ACH-000132,-0.11159400779828528
ACH-000133,-0.13872674523227238
ACH-000137,0.046418003226206636
ACH-000138,0.02337727734792661
ACH-000142,-0.09396502190752534
ACH-000143,-0.02502553947663749
ACH-000146,-0.01700254433755867
ACH-000148,0.0958205566669174
ACH-000150,0.1870717087685613
ACH-000152,-0.08855044774929201
ACH-000153,-0.09888282316570708
