,CCNJ (54619)
ACH-000004,-0.09774157118113402
ACH-000005,0.14829786608065915
ACH-000007,-0.3328784253754457
ACH-000009,-0.11781941259013964
ACH-000011,-0.15976574369133525
ACH-000012,-0.2589359615837099
ACH-000013,-0.07415848209085496
ACH-000014,-0.17610599722089354
ACH-000015,-0.15886520493109235
ACH-000017,-0.16183711835818348
ACH-000018,-0.22416342742969567
ACH-000019,-0.08660022331789037
ACH-000021,-0.09693098808470847
ACH-000022,-0.02742808943001123
ACH-000025,-0.22155695724585447
ACH-000028,-0.043057381395339815
ACH-000030,-0.19117474190847406
ACH-000035,-0.1648452948502432
ACH-000036,-0.1888788682930272
ACH-000037,-0.1607264104021048
ACH-000039,-0.1900078858316386
ACH-000040,-0.11216181765004613
ACH-000041,-0.14854141438125762
ACH-000042,-0.16635020100457976
ACH-000045,-0.036564315800437744
ACH-000047,0.002669099886011429
ACH-000052,-0.2156661111589583
ACH-000053,-0.15598105345824953
ACH-000054,-0.25647125287491834
ACH-000055,-0.11620669083621993
ACH-000060,-0.3197486676035304
ACH-000067,-0.2698753536704059
ACH-000070,-0.17473134284286185
ACH-000075,-0.10013390227745153
ACH-000078,-0.17500345841948084
ACH-000082,-0.0945573364207071
ACH-000085,-0.1682509431273596
ACH-000086,-0.2407597360587157
ACH-000087,-0.2950438815223768
ACH-000092,-0.13419130109110075
ACH-000095,-0.2265235357493438
ACH-000097,-0.1829067015502389
ACH-000098,-0.18509700075285035
ACH-000099,-0.21910913067381632
ACH-000108,-0.1881211960802172
ACH-000113,-0.12969353753836987
ACH-000116,-0.16775525995236515
ACH-000118,-0.07577498509045498
ACH-000120,-0.2231659757575516
ACH-000123,-0.31037511237208865
ACH-000127,-0.2457263115225363
ACH-000128,-0.1252642455136072
ACH-000132,-0.2629217603268623
ACH-000133,-0.1987412839649001
ACH-000137,-0.14099071097984098
ACH-000138,-0.08393403267507467
ACH-000142,-0.06342288669372613
ACH-000143,-0.06957378243554664
ACH-000146,-0.13823781915857786
ACH-000148,-0.28520895361036713
ACH-000150,0.01678237472137131
ACH-000152,-0.1641842677816349
ACH-000153,-0.1592587080229546
ACH-000159,-0.1838206975376556
ACH-000160,-0.19174372337681625
ACH-000163,-0.2706011004814429
ACH-000167,-0.1461586257981367
ACH-000168,-0.3413308285033997
ACH-000169,-0.2623418957591848
ACH-000178,-0.1805786085062442
ACH-000183,-0.12688763889155527
ACH-000188,-0.1155689311571037
ACH-000189,-0.22315635274115034
ACH-000190,-0.14765192974114744
ACH-000198,-0.26098926220512625
ACH-000203,-0.1928173528643912
ACH-000204,-0.15913589498112127
ACH-000206,-0.07811314764693149
ACH-000207,-0.1904594501176523
ACH-000208,-0.04676393004229645
ACH-000210,0.05798680446954886
ACH-000211,-0.15797185187847373
ACH-000215,-0.18292463569503944
ACH-000221,-0.051880522193957536
ACH-000222,-0.0204814418538469
ACH-000223,-0.20374524798991106
ACH-000226,-0.16772555813238565
ACH-000227,-0.2824016689634035
ACH-000228,-0.24348484199957846
ACH-000231,-0.09721389800206054
ACH-000232,-0.1992043967342048
ACH-000233,-0.082099133872972
ACH-000234,-0.29393125025944866
ACH-000235,-0.15798535603734126
ACH-000237,-0.32236282932764865
ACH-000238,-0.16138967832480408
ACH-000242,-0.17213688027022273
ACH-000243,-0.1600339363213866
ACH-000244,-0.13369575187716862
ACH-000246,-0.1838002342678532
ACH-000248,-0.0730225077393467
ACH-000250,-0.21824524817009755
ACH-000251,-0.16268420356955202
ACH-000252,-0.06771999984841487
ACH-000253,-0.19624721315370594
ACH-000255,-0.14799880212677247
ACH-000256,-0.11280117961058875
ACH-000257,-0.05364626950060423
ACH-000258,-0.2596473976847991
ACH-000259,0.019340330514590682
ACH-000260,-0.20643726581476754
ACH-000261,-0.1994903046540409
ACH-000262,-0.27789480909998
ACH-000263,0.03248055824013782
ACH-000264,-0.1704609847041657
ACH-000265,-0.2241937230339276
ACH-000266,-0.1174810906965713
ACH-000272,-0.16047850953535606
ACH-000274,-0.052365367806052686
ACH-000277,-0.20442920475185594
ACH-000278,-0.2137518555517904
ACH-000279,-0.220600688759392
ACH-000280,-0.17019643518274347
ACH-000281,-0.2357355963239808
ACH-000288,-0.18671233832294126
ACH-000291,-0.14179923221736154
ACH-000293,-0.05756414278045354
ACH-000294,-0.364292502428398
ACH-000295,-0.3012117971285962
ACH-000296,0.21196531694321666
ACH-000302,-0.08565518252401225
ACH-000304,-0.3065776013167165
ACH-000307,-0.11452956126858338
ACH-000308,-0.2403837025567804
ACH-000310,-0.2736554612147448
ACH-000311,-0.17749377030802074
ACH-000312,-0.18135836546711626
ACH-000315,-0.13759389876105055
ACH-000316,-0.1477216989652662
ACH-000317,-0.11428014304435898
ACH-000318,-0.18345908405425368
ACH-000319,-0.11037517890827314
ACH-000320,-0.16336822534222062
ACH-000322,-0.07537411457309973
ACH-000323,-0.20117167066504388
ACH-000324,-0.22420165830442249
ACH-000329,-0.2009152330926948
ACH-000330,-0.22032793310563145
ACH-000331,-0.2525036456832219
ACH-000332,-0.225441453881084
ACH-000334,-0.1475802609875394
ACH-000335,-0.08690805418651197
ACH-000336,-0.2663832968897781
ACH-000337,-0.3327415162710035
ACH-000338,-0.5439031294342883
ACH-000339,-0.176217202999258
ACH-000341,-0.18892216178161406
ACH-000348,-0.16171990693974386
ACH-000350,-0.22124906012982676
ACH-000352,-0.040330625380861136
ACH-000356,-0.2257385129092961
ACH-000361,-0.1096850770289009
ACH-000362,-0.17069242432225146
ACH-000363,-0.1555440649605672
ACH-000364,-0.15893175891195271
ACH-000365,-0.2005839967001848
ACH-000366,-0.2426821014273763
ACH-000368,-0.3299412142238959
ACH-000374,-0.2108903019695176
ACH-000375,-0.2867494499411049
ACH-000376,-0.14354636392607767
ACH-000381,-0.3128604840883456
ACH-000383,-0.2003666633298146
ACH-000387,-0.25114225882829977
ACH-000389,-0.12160101336418347
ACH-000390,-0.27799108440732617
ACH-000393,-0.13538961592213505
ACH-000395,-0.3004687569216022
ACH-000396,-0.09192437404612934
ACH-000397,-0.12072789666846605
ACH-000401,-0.022556963143355053
ACH-000402,-0.5213469561072755
ACH-000403,-0.16763184742886675
ACH-000404,-0.18557054917226445
ACH-000406,-0.2115910379289816
ACH-000407,-0.11859992082219653
ACH-000408,-0.10090328663006944
ACH-000410,-0.16687486256554698
ACH-000411,-0.2661402505386562
ACH-000414,-0.0962373488737152
ACH-000415,-0.1988336325810524
ACH-000416,-0.17867588205541726
ACH-000420,-0.09857209173656103
ACH-000421,-0.12757009598976887
ACH-000424,-0.1841852268819223
ACH-000425,-0.22864442224126466
ACH-000426,-0.07715427034927408
ACH-000427,-0.09804525946656208
ACH-000433,-0.15201412228271247
ACH-000435,-0.6887812009517447
ACH-000436,-0.09612089371986457
ACH-000444,-0.1530574612036209
ACH-000445,-0.04652494291268572
ACH-000448,-0.18483830779391214
ACH-000450,-0.003425225485106404
ACH-000452,-0.2298120043817419
ACH-000454,-0.2595774806828457
ACH-000458,-0.1443465174552209
ACH-000459,-0.1722285593655903
ACH-000460,-0.1888272576471252
ACH-000461,-0.05048688763897218
ACH-000463,-0.2307994726490485
ACH-000464,-0.29046218715803296
ACH-000466,-0.11951121201379045
ACH-000467,-0.2239093250252253
ACH-000468,-0.12853272057614182
ACH-000469,-0.12045035901583286
