,ANKH (56172)
ACH-000004,-0.13572075468392866
ACH-000005,-0.12199839285258528
ACH-000007,0.09593674979820356
ACH-000009,-0.2526028646153685
ACH-000011,-0.06813638974764108
ACH-000012,-0.25940910550343016
ACH-000013,-0.12603890088928213
ACH-000014,-0.16687417644728186
ACH-000015,-0.06387247885738281
ACH-000017,-0.05891090922606373
ACH-000018,-0.05217728843075303
ACH-000019,-0.031778048769183824
ACH-000021,-0.06538537831051051
ACH-000022,-0.2616748332081699
ACH-000025,-0.0605905904518886
ACH-000028,-0.359066158015038
ACH-000030,-6.58303890400204e-05
ACH-000035,-0.15671738430215015
ACH-000036,-0.08727326184119406
ACH-000037,-0.18052867455023056
ACH-000039,-0.12395921758208475
ACH-000040,-0.013122538831521832
ACH-000041,-0.04083671200688894
ACH-000042,-0.2540667160594899
ACH-000045,-0.2039087383831994
ACH-000047,0.09982425768924516
ACH-000052,-0.03525464073433756
ACH-000053,-0.07761813439408681
ACH-000054,-0.0287875085875144
ACH-000055,0.2658361435691985
ACH-000060,-0.17809503614675207
ACH-000067,-0.2232478754378789
ACH-000070,-0.5256355826995335
ACH-000075,-0.029793656302202175
ACH-000078,-0.21599973626326124
ACH-000082,-0.010057771905061704
ACH-000085,0.009950738678178478
ACH-000086,0.026604013938356638
ACH-000087,0.16156353450266925
ACH-000092,-0.18184499537035176
ACH-000095,-0.029104313698716407
ACH-000097,-0.04745934370393165
ACH-000098,-0.051417483033893534
ACH-000099,0.041614540778518505
ACH-000108,-0.10092994270221986
ACH-000113,-0.16103520611095232
ACH-000116,-0.034924125978001215
ACH-000118,-0.0910043870088459
ACH-000120,-0.1553681437507034
ACH-000123,-0.07543944329702973
ACH-000127,-0.3018799374608911
ACH-000128,0.02414290818827087
ACH-000132,0.04357427550176377
ACH-000133,-0.16029741425879815
ACH-000137,-0.06684875080871583
ACH-000138,-0.10676197501681756
ACH-000142,-0.3000250664502727
ACH-000143,-0.2293335633630488
ACH-000146,-0.14839900515923785
ACH-000148,-0.07894166981774965
ACH-000150,-0.14945018745993496
ACH-000152,-0.14383115476807135
ACH-000153,-0.07192466945033148
ACH-000159,-0.15053299846977006
ACH-000160,-0.11759602159544695
ACH-000163,-0.1655298058856426
ACH-000167,-0.5126564592293971
ACH-000168,-0.28927720315496913
ACH-000169,0.015657091115319932
ACH-000178,0.1015387628059481
ACH-000183,-0.07247423144991726
ACH-000188,-0.2562280716355045
ACH-000189,-0.1771817387611338
ACH-000190,-0.061440686673426226
ACH-000198,-0.17694701295930376
ACH-000203,-0.22268205399712032
ACH-000204,-0.09704769052365646
ACH-000206,-0.20538509360491647
ACH-000207,-0.10770728961057488
ACH-000208,0.01727617013420179
ACH-000210,0.033490101249690866
ACH-000211,-0.07537387784210389
ACH-000215,-0.06435662379588401
ACH-000221,0.037195279364720835
ACH-000222,0.01661932315726409
ACH-000223,-0.11398227619223925
ACH-000226,-0.002917022560730185
ACH-000227,-0.1349223122236021
ACH-000228,-0.15628462278935856
ACH-000231,-0.04222293670284572
ACH-000232,-0.12257691287751485
ACH-000233,-0.04595573360702805
ACH-000234,-0.17223825568250778
ACH-000235,-0.09218504038582293
ACH-000237,-0.20073667002204287
ACH-000238,-0.12859636156596038
ACH-000242,-0.21869218957112407
ACH-000243,0.0553152398282309
ACH-000244,-0.3143850183906789
ACH-000246,-0.10367474045577983
ACH-000248,-0.14201009527620884
ACH-000250,-0.10459058811535367
ACH-000251,-0.053171961688471533
ACH-000252,0.11933138767538085
ACH-000253,0.05467135529461732
ACH-000255,0.06384095625631109
ACH-000256,-0.20725810949534912
ACH-000257,-0.07372577046016238
ACH-000258,0.11400292321692546
ACH-000259,0.032496518802178784
ACH-000260,-0.1923711034823659
ACH-000261,-0.04601080234225203
ACH-000262,-0.4611215953056624
ACH-000263,0.0023059659555759123
ACH-000264,-0.14831317835762914
ACH-000265,0.03734074947045868
ACH-000266,-0.042514936530561175
ACH-000272,-0.15893483924495755
ACH-000274,-0.05054495975216386
ACH-000277,-0.043369704932356985
ACH-000278,-0.43770465956295695
ACH-000279,-0.2667748968978416
ACH-000280,-0.036552672005220416
ACH-000281,-0.4039811077488988
ACH-000288,-0.24653895963776096
ACH-000291,0.02183170234026369
ACH-000293,-0.1627096717340473
ACH-000294,-0.5950698714557783
ACH-000295,-0.3813342113598488
ACH-000296,-0.19237961740297013
ACH-000302,-0.035147714216087166
ACH-000304,0.047063762558336934
ACH-000307,-0.16611335357157722
ACH-000308,-0.0093531642417755
ACH-000310,-0.1444394780485896
ACH-000311,-0.053634578694215784
ACH-000312,-0.002498662469577506
ACH-000315,-0.10424493617421213
ACH-000316,-0.09142872937465668
ACH-000317,-0.15971772995041464
ACH-000318,-0.08187269647287235
ACH-000319,-0.2874139109119953
ACH-000320,-0.10519984069446628
ACH-000322,-0.01278534416714138
ACH-000323,-0.014381482470080025
