,DDA1 (79016)
ACH-000004,-0.3945993471530706
ACH-000005,-0.6312360721993959
ACH-000007,-0.29247793715891945
ACH-000009,-0.3080672685123257
ACH-000011,-0.3208086030172292
ACH-000012,-0.583654232252693
ACH-000013,-0.3079390790953583
ACH-000014,-0.17981136569689352
ACH-000015,-0.3973063254179223
ACH-000017,-0.2688342188677912
ACH-000018,-0.5299688899178555
ACH-000019,-0.4888453613460578
ACH-000021,-0.40046849817034536
ACH-000022,-0.230482779765487
ACH-000025,-0.3606679318256159
ACH-000028,-0.423586404665647
ACH-000030,-0.4829956644333303
ACH-000035,-0.1472045375322745
ACH-000036,-0.029116017564037963
ACH-000037,-0.24799861966268036
ACH-000039,-0.3628203116658113
ACH-000040,-0.21294264882882172
ACH-000041,-0.2920989434137157
ACH-000042,-0.4142923631578184
ACH-000045,-0.09102232462072704
ACH-000047,-0.36380373398284704
ACH-000052,-0.2793497719085389
ACH-000053,-0.14156582482086824
ACH-000054,-0.096736926456337
ACH-000055,-0.4128568645551847
ACH-000060,-0.2551081954445233
ACH-000067,-0.4229640689721053
ACH-000070,-0.3944564210540659
ACH-000075,-0.33381408058308665
ACH-000078,-0.1206429714393781
ACH-000082,-0.5155220385865222
ACH-000085,-0.33997094324344035
ACH-000086,-0.2306087944550795
ACH-000087,-0.20281552122459895
ACH-000092,-0.4124763816396852
ACH-000095,-0.21891084020197032
ACH-000097,-0.4151118499713797
ACH-000098,-0.3515221403359817
ACH-000099,-0.07042597349909929
ACH-000108,-0.2986668181896217
ACH-000113,-0.3042869101150976
ACH-000116,-0.2666318999041244
ACH-000118,-0.3175429503952821
ACH-000120,-0.016251101803077324
ACH-000123,-0.2666905397279607
ACH-000127,-0.1710638932821158
ACH-000128,-0.5202770732400827
ACH-000132,-0.2359721140149336
ACH-000133,-0.4478898990414149
ACH-000137,-0.06155519457994815
ACH-000138,-0.41346311167520894
ACH-000142,-0.3753756571050476
ACH-000143,-0.443195030658788
ACH-000146,-0.2347352746802984
ACH-000148,-0.18015511773783147
ACH-000150,-0.11872061203440425
ACH-000152,-0.3449697768948169
ACH-000153,-0.3971969907252471
ACH-000159,-0.4392462528568807
ACH-000160,-0.15763480969633234
ACH-000163,-0.5225253613726628
ACH-000167,0.01790658325383923
ACH-000168,-0.3749806812840265
ACH-000169,-0.05591887938162588
ACH-000178,-0.3310534180393505
ACH-000183,-0.5037094608943727
ACH-000188,-0.5684618121367981
ACH-000189,-0.4323503584149347
ACH-000190,-0.4314798099404595
ACH-000198,-0.06861418563391433
ACH-000203,-0.3786081426231893
ACH-000204,-0.3199492609927567
ACH-000206,-0.3841520375797816
ACH-000207,-0.277235606397185
ACH-000208,-0.3033776032858012
