,KISS1R (84634)
ACH-000004,-0.0780755601286043
ACH-000005,0.1188321195752653
ACH-000007,-0.13094041446566745
ACH-000009,0.02407994187081669
ACH-000011,0.11398171968242865
ACH-000012,-0.08776623248183586
ACH-000013,-0.13694635897342955
ACH-000014,-0.15202554113183944
ACH-000015,0.004778572427070651
ACH-000017,-0.19231455242160272
ACH-000018,-0.2370094630202186
ACH-000019,-0.0865029958543065
ACH-000021,-0.0971104764333986
ACH-000022,-0.2501335482724656
ACH-000025,-0.2005861725879773
ACH-000028,-0.1014230084289463
ACH-000030,-0.192525607029944
ACH-000035,-0.17402448924770278
ACH-000036,-0.1169839028708731
ACH-000037,-0.08479278407663278
ACH-000039,-0.1564122341356211
ACH-000040,-0.07394601999824309
ACH-000041,-0.02815838609714695
ACH-000042,-0.08147584079916446
ACH-000045,-0.15289538521698268
ACH-000047,-0.05371804641618028
ACH-000052,-0.1320620702175677
ACH-000053,-0.16548840484688784
ACH-000054,-0.2403226876610467
ACH-000055,-0.13786979364622978
ACH-000060,-0.10570887405115698
ACH-000067,-0.13294363633421066
ACH-000070,-0.08623531120459389
ACH-000075,0.018641176588277658
ACH-000078,-0.17593433868759603
ACH-000082,-0.06728660546331387
ACH-000085,-0.1438741440945079
ACH-000086,-0.12394222062105435
ACH-000087,-0.06055230789654133
ACH-000092,-0.08173881164335715
ACH-000095,-0.1650473121934323
ACH-000097,-0.08278960109765574
ACH-000098,-0.1382065890402472
ACH-000099,-0.2402596772066792
ACH-000108,-0.0491268810413192
ACH-000113,0.041221933266214365
ACH-000116,-0.21283554038852245
ACH-000118,0.01936206249724388
ACH-000120,0.033637964328853236
ACH-000123,-0.0406240602763812
ACH-000127,-0.191046814410332
ACH-000128,-0.039887163316932164
ACH-000132,-0.054435335048168255
ACH-000133,-0.021853832720674076
ACH-000137,-0.08741218052020931
ACH-000138,-0.14215938520011787
ACH-000142,-0.10435457082275017
ACH-000143,-0.034217745341045595
ACH-000146,-0.09416169057523087
ACH-000148,-0.08244243164645296
ACH-000150,-0.1405025511393223
ACH-000152,0.016868050540907783
ACH-000153,-0.1785144017409912
ACH-000159,-0.15698144165175176
ACH-000160,-0.14644448066575227
ACH-000163,0.03833869154020817
ACH-000167,-0.2035352975099272
ACH-000168,-0.2536550029434629
ACH-000169,-0.1794764274953439
ACH-000178,-0.16646577440027593
ACH-000183,0.048909718437680584
ACH-000188,-0.10434331162436067
ACH-000189,-0.13257760226700455
ACH-000190,-0.1122994560634339
ACH-000198,-0.14640851219113266
ACH-000203,0.22063968354736624
ACH-000204,-0.17974214434666105
ACH-000206,-0.18052875743404276
ACH-000207,-0.0004115545778771393
ACH-000208,0.0777926884039427
ACH-000210,0.02586649234138156
ACH-000211,-0.11629093309836876
ACH-000215,-0.0311960133796104
ACH-000221,-0.14961364981290173
ACH-000222,-0.11265143727617707
ACH-000223,-0.01712710599848575
ACH-000226,0.06483279729440879
ACH-000227,-0.08670022221711017
ACH-000228,-0.0617883362604984
ACH-000231,-0.0526816718927433
ACH-000232,-0.033711496910819434
ACH-000233,-0.26643369083074153
ACH-000234,-0.2721903852752971
ACH-000235,-0.13204011968705973
ACH-000237,-0.15759838124525336
ACH-000238,-0.035454675453451226
ACH-000242,-0.16125579778906424
ACH-000243,-0.12830842044817914
ACH-000244,-0.23040976048533135
ACH-000246,-0.17824787676821427
ACH-000248,-0.13384123530095676
ACH-000250,-0.09249627937370243
ACH-000251,0.12012164911295385
ACH-000252,-0.06564780631111827
ACH-000253,-0.07485365079313247
ACH-000255,0.011525182983869071
ACH-000256,-0.01498926632069558
ACH-000257,0.06464234785855992
ACH-000258,-0.13254518018975964
ACH-000259,-0.09974208693023603
ACH-000260,-0.15819931613002172
ACH-000261,-0.13598369702408727
ACH-000262,-0.2156392126071928
ACH-000263,-0.061170446178141324
ACH-000264,-0.06688885207684543
ACH-000265,0.040107747786536085
ACH-000266,-0.13006865845124727
ACH-000272,-0.13462602211018332
ACH-000274,-0.12008629641208875
ACH-000277,-0.06706293145765611
ACH-000278,0.03553113744162691
ACH-000279,-0.1450010907245921
ACH-000280,-0.19867754302475907
ACH-000281,-0.1372628334095851
ACH-000288,0.054192653498645695
ACH-000291,-0.08667909231042185
ACH-000293,-0.020905141677066884
ACH-000294,-0.08613426744861077
ACH-000295,-0.3641248673019183
ACH-000296,-0.07372717252335527
ACH-000302,-0.20528905731422706
ACH-000304,-0.2958641736226802
ACH-000307,-0.17790434176646755
ACH-000308,-0.07216478373037333
ACH-000310,-0.2088814034985226
ACH-000311,-0.12284350138901674
ACH-000312,-0.10766427515438347
ACH-000315,0.011919832761272136
ACH-000316,-0.1029819062128622
ACH-000317,-0.1602115881571057
ACH-000318,0.02888195486208168
ACH-000319,-0.1696064338376686
ACH-000320,0.04362461231153323
ACH-000322,0.02920779109357548
ACH-000323,-0.05033420267375837
ACH-000324,-0.08587954001538609
ACH-000329,-0.13253051349228026
