,CRYGN (155051)
ACH-000004,-0.1206676433200849
ACH-000005,-0.180383855022874
ACH-000007,-0.11035909525499958
ACH-000009,-0.1500306437487988
ACH-000011,-0.225694053690512
ACH-000012,-0.07704213934449193
ACH-000013,-0.06173456967741677
ACH-000014,-0.33157712936346845
ACH-000015,-0.07609474054876167
ACH-000017,-0.1280511466591288
ACH-000018,-0.04871636920802007
ACH-000019,-0.2384673203634528
ACH-000021,-0.2119427052274636
ACH-000022,-0.02638115037350639
ACH-000025,0.032788662748098885
ACH-000028,-0.12521755707020485
ACH-000030,-0.0586836499987349
ACH-000035,-0.2692307009053451
ACH-000036,-0.10891339376767167
ACH-000037,-0.1894767985138858
ACH-000039,-0.17166485681870033
ACH-000040,-0.19899770373587672
ACH-000041,-0.2257603834676256
ACH-000042,-0.08534109303909176
ACH-000045,-0.31876637040885825
ACH-000047,-0.0689931265807213
ACH-000052,-0.2297228443971509
ACH-000053,-0.1822158566469852
ACH-000054,-0.13224643183391727
ACH-000055,-0.061169065207750326
ACH-000060,0.0232357290655902
ACH-000067,-0.09769667338958776
ACH-000070,-0.11164742646557674
ACH-000075,-0.15907324525281868
ACH-000078,-0.21562096425242094
ACH-000082,-0.09462352334617624
ACH-000085,-0.24213547770367946
ACH-000086,-0.06250955990750474
ACH-000087,-0.21190010864438627
ACH-000092,-0.005231568535886949
ACH-000095,-0.1043761876017731
ACH-000097,-0.1488195756934939
ACH-000098,-0.09062755226860668
ACH-000099,-0.28151560477517745
ACH-000108,-0.0778514311709934
ACH-000113,-0.1711268789433172
ACH-000116,-0.12423224107660692
ACH-000118,-0.03631891630496998
ACH-000120,-0.0620932129945572
ACH-000123,-0.1859603625731661
ACH-000127,-0.1459656612636445
ACH-000128,-0.11417302367373085
ACH-000132,0.07813374578923724
ACH-000133,0.03922090589174339
ACH-000137,-0.0753427847715816
ACH-000138,-0.06428668309898919
ACH-000142,0.035612221687779194
ACH-000143,-0.16484470350282648
ACH-000146,-0.10565857774925178
ACH-000148,-0.14096607846133755
ACH-000150,-0.07255865815009828
ACH-000152,-0.02563306704621652
ACH-000153,-0.11849521484741707
ACH-000159,-0.03615103955568712
ACH-000160,-0.07781317221141631
ACH-000163,-0.0962269117339056
ACH-000167,-0.3213292810590231
ACH-000168,-0.040353739312804865
ACH-000169,-0.061667880877998085
ACH-000178,-0.2034564689420458
ACH-000183,-0.06669821572846032
ACH-000188,-0.01598638527757899
ACH-000189,-0.07741920492485439
ACH-000190,-0.24244006593997164
ACH-000198,-0.09012949651935724
ACH-000203,-0.4573080101901411
ACH-000204,-0.04033188391586835
ACH-000206,-0.014911091472441853
ACH-000207,0.108119882594525
ACH-000208,-0.2335727802559456
ACH-000210,-0.047232087218266015
ACH-000211,0.017554668315434546
ACH-000215,-0.11808950106557545
ACH-000221,0.2318068059122732
ACH-000222,0.0023899126813279807
ACH-000223,0.061616939351256825
ACH-000226,0.006749718604636868
ACH-000227,-0.2583532963994523
ACH-000228,-0.06920768598715807
ACH-000231,-0.099484560668774
ACH-000232,-0.3299947095893343
