,GSKIP (51527)
ACH-000004,0.1359991067634648
ACH-000005,0.1253744330184071
ACH-000007,0.10446145845002756
ACH-000009,0.06561132807449073
ACH-000011,0.022932975532712698
ACH-000012,0.15244218927158407
ACH-000013,0.12600408761915546
ACH-000014,0.10083672018689446
ACH-000015,0.32828433143711866
ACH-000017,0.12639832022692776
ACH-000018,0.17789839601277718
ACH-000019,0.10460764709216293
ACH-000021,0.18094958038683934
ACH-000022,0.2012574285005118
ACH-000025,0.05506216998306394
ACH-000028,0.20410164346893128
ACH-000030,0.14704829877368533
ACH-000035,0.15125586961302964
ACH-000036,0.29987689918996163
ACH-000037,0.18856954888692326
ACH-000039,0.2155703037577029
ACH-000040,0.22080495914916254
ACH-000041,0.18977670165113966
ACH-000042,0.1033264768410308
ACH-000045,0.15760581615559913
ACH-000047,0.05022391030322598
ACH-000052,0.15839887625124335
ACH-000053,0.17688405699403725
ACH-000054,0.01844801473575176
ACH-000055,0.2605103243221877
ACH-000060,0.155937686595914
ACH-000067,0.22067936155593368
ACH-000070,0.14847409210591478
ACH-000075,0.2950023405465068
ACH-000078,0.22625781200275805
ACH-000082,0.2377755580977843
ACH-000085,-0.10879413558750714
ACH-000086,0.1601240959559264
ACH-000087,0.1223122381818183
ACH-000092,0.1372200492093096
ACH-000095,0.22129927594327709
ACH-000097,0.07158505583593454
ACH-000098,0.14876941566343596
ACH-000099,0.18924758724360272
ACH-000108,0.01224135317215158
ACH-000113,0.3345579381530522
ACH-000116,0.18529846088633425
ACH-000118,0.12378622882540548
ACH-000120,0.15172997437021524
ACH-000123,0.2044454862847236
ACH-000127,0.12899580632586624
ACH-000128,0.33480274129416043
ACH-000132,0.006877819746831939
ACH-000133,0.049133096899952405
ACH-000137,0.17352931509543593
ACH-000138,0.15303316875680847
ACH-000142,0.05297326121285712
ACH-000143,0.09432662622109866
ACH-000146,0.2906383176002196
ACH-000148,0.17245201559191894
ACH-000150,0.2403650949723777
ACH-000152,0.14535506272043078
ACH-000153,0.2928303567067885
ACH-000159,0.16550133364468803
ACH-000160,-0.0037521595225761587
ACH-000163,0.3076915507423745
ACH-000167,0.3899746299879943
ACH-000168,0.14287685601822953
ACH-000169,0.16653917202512966
ACH-000178,0.2191003109826822
ACH-000183,0.18656664078356291
ACH-000188,0.17828391922086712
ACH-000189,0.017972409076297713
ACH-000190,0.09540514301691996
ACH-000198,0.12382594334647927
ACH-000203,-0.5583274464945219
ACH-000204,0.16746880816805676
