,TOP1MT (116447)
ACH-000004,-0.014039857601460004
ACH-000005,0.1825721213939468
ACH-000007,-0.0008384310067173397
ACH-000009,0.036362644183283735
ACH-000011,-0.2541387928076908
ACH-000012,-0.15982759053185475
ACH-000013,-0.0549514534349232
ACH-000014,-0.07848604763986568
ACH-000015,0.12568307505886656
ACH-000017,-0.132751831710468
ACH-000018,-0.19367390111215926
ACH-000019,-0.059637263147844524
ACH-000021,0.0010100216790469019
ACH-000022,-0.1490773714922966
ACH-000025,-0.03148189651529163
ACH-000028,-0.1690477543966508
ACH-000030,-0.056911541488799886
ACH-000035,-0.08744138554872782
ACH-000036,-0.311057560588685
ACH-000037,-0.13753308053774754
ACH-000039,-0.07306100275006774
ACH-000040,-0.18295097644313946
ACH-000041,-0.03056248278393605
ACH-000042,-0.17419744389758388
ACH-000045,-0.18651773190904564
ACH-000047,-0.35210667529936085
ACH-000052,0.12680491845137945
ACH-000053,-0.12508875796601265
ACH-000054,-0.06312456524201475
ACH-000055,-0.09872417142234798
ACH-000060,-0.2727570063425972
ACH-000067,-0.20431098120978736
ACH-000070,0.056082227641231976
ACH-000075,-0.191485023671816
ACH-000078,-0.06372692540342789
ACH-000082,-0.13611685795779546
ACH-000085,-0.2078020247762007
ACH-000086,-0.18356475959474988
ACH-000087,0.0690054764557547
ACH-000092,-0.08962331231772808
ACH-000095,-0.10090371665876384
ACH-000097,-0.14003609005448486
ACH-000098,0.0042284511527594035
ACH-000099,0.04062978367439563
ACH-000108,-0.3158113311042933
ACH-000113,-0.2001502976798446
ACH-000116,-0.19270042888532296
ACH-000118,-0.6347006945502597
ACH-000120,-0.002567608175728137
ACH-000123,-0.1440387565386665
ACH-000127,0.03452612667478292
ACH-000128,-0.0296900910640914
ACH-000132,-0.02153222470694478
ACH-000133,-0.13226401971488785
ACH-000137,0.07731472274003616
ACH-000138,-0.14340543321788968
ACH-000142,-0.017575151864005496
ACH-000143,-0.023059207486529117
ACH-000146,-0.0677998332381107
ACH-000148,-0.13980092905936733
ACH-000150,-0.22333107702664265
ACH-000152,-0.056142321099505135
ACH-000153,0.09492017900468673
ACH-000159,-0.09728050815379137
