,LRRC8D (55144)
ACH-000004,-0.16117928028022224
ACH-000005,-0.05518230293834151
ACH-000007,-0.036646273689595166
ACH-000009,-0.09148300979632733
ACH-000011,0.1515536501904904
ACH-000012,-0.1508591496862667
ACH-000013,-0.13118366042490515
ACH-000014,0.21618098190613924
ACH-000015,0.032711808529219434
ACH-000017,-0.07952978545185807
ACH-000018,-0.3507429370496664
ACH-000019,-0.3635588798494021
ACH-000021,-0.2028055776093622
ACH-000022,0.06852660024349773
ACH-000025,-0.16847508743409784
ACH-000028,-0.05915195099034432
ACH-000030,-0.23766269820746697
ACH-000035,-0.2750349494004174
ACH-000036,-0.07538386202253193
ACH-000037,-0.02260218501263167
ACH-000039,-0.15991194526475913
ACH-000040,-0.02964947639389122
ACH-000041,-0.04942435337012524
ACH-000042,-0.14656145713146254
ACH-000045,0.09186310170381383
ACH-000047,0.10373374571395498
ACH-000052,0.005230502357521914
ACH-000053,-0.2268352472837224
ACH-000054,-0.18923106175548798
ACH-000055,-0.08020724227065383
ACH-000060,-0.18744048199280186
ACH-000067,-0.08171895167680264
ACH-000070,0.07919092261895427
ACH-000075,-0.10841180412042396
ACH-000078,-0.13495156481393594
ACH-000082,0.05289764383567449
ACH-000085,0.17831102709376945
ACH-000086,-0.07285736261715857
ACH-000087,-0.2762222751073811
ACH-000092,-0.024113419975665483
ACH-000095,-0.15512091518380927
ACH-000097,-0.019241938333857248
ACH-000098,-0.1274855377057426
ACH-000099,0.005349578744783886
ACH-000108,-0.06487916232678348
ACH-000113,-0.02677812901314193
ACH-000116,-0.00397109886385474
ACH-000118,-0.029127103815608974
ACH-000120,-0.07460754837201918
ACH-000123,-0.13292231066000676
ACH-000127,0.0392384320467283
ACH-000128,0.19555381860153292
ACH-000132,-0.012921218764278946
ACH-000133,-0.07014550830795807
ACH-000137,-0.17101978253492764
ACH-000138,-0.031711963281767466
ACH-000142,0.11810316970440403
ACH-000143,0.004093160912156693
ACH-000146,-0.032958527520153734
ACH-000148,-0.1379826010371725
ACH-000150,-0.027903661285364745
ACH-000152,0.016961085056631332
ACH-000153,0.12369592214294647
ACH-000159,-0.15019811617363035
ACH-000160,-0.19048379088209
ACH-000163,-0.08477929032061414
ACH-000167,-0.4511182379966384
ACH-000168,0.06389068780290129
ACH-000169,-0.17563963619382952
ACH-000178,-0.027355106844520426
ACH-000183,-0.19871624593165546
ACH-000188,0.06342648770819305
ACH-000189,-0.07226186279494769
ACH-000190,-0.052690254376435534
ACH-000198,-0.09669124769726647
ACH-000203,-0.5080562300516657
ACH-000204,-0.034639787168322035
ACH-000206,-0.032573489125223766
ACH-000207,-0.1737329768740014
ACH-000208,0.06580727642973473
ACH-000210,-0.14139581111049693
ACH-000211,0.0594063052376897
ACH-000215,-0.03817166610595607
ACH-000221,-0.2944545276531999
ACH-000222,0.08319132279085913
ACH-000223,-0.16840833647851566
ACH-000226,-0.1100719837521314
ACH-000227,-0.2044149987266049
ACH-000228,0.1496550884290314
ACH-000231,-0.07005598136119646
ACH-000232,0.1525321129750784
ACH-000233,-0.06455719247651494
ACH-000234,-0.20930807444714847
ACH-000235,-0.03668290784243335
ACH-000237,-0.0365436201582073
ACH-000238,0.14946087397160654
ACH-000242,-0.2012002628890419
ACH-000243,-0.07006461435173013
ACH-000244,0.16891108404660815
ACH-000246,-0.16699451470742122
ACH-000248,-0.011496511409431582
ACH-000250,-0.0763151093012039
ACH-000251,-0.1484238604233685
ACH-000252,-0.04545616229623228
ACH-000253,-0.023190437685239984
ACH-000255,-0.03169072601307903
ACH-000256,-0.043823597719746366
ACH-000257,0.08419737255749063
ACH-000258,0.19285115848281556
ACH-000259,-0.06644308706153931
ACH-000260,-0.11409813557799273
ACH-000261,-0.06386803660302995
ACH-000262,-0.033009228301415915
ACH-000263,0.2769883070503487
ACH-000264,0.04913955941425258
ACH-000265,-0.13542332212739236
ACH-000266,-0.04061814520432662
ACH-000272,-0.08370733259413209
ACH-000274,-0.10503159445373916
ACH-000277,0.0278910438018254
ACH-000278,-0.0645714759938052
ACH-000279,-0.10312099264950136
ACH-000280,-0.010596716599527616
ACH-000281,-0.01698946692159596
ACH-000288,-0.08493119090613835
ACH-000291,0.06680657083401079
ACH-000293,-0.10989559657416904
ACH-000294,-0.1702964337326552
ACH-000295,-0.1543405872812158
ACH-000296,-0.2374764876223331
ACH-000302,-0.25898540156491684
ACH-000304,-0.11161658032802853
ACH-000307,-0.11174481935319362
ACH-000308,0.0317134676068669
ACH-000310,-0.3485816230156561
ACH-000311,0.18576816155296824
ACH-000312,-0.03392951344847907
ACH-000315,-0.021499447579700483
ACH-000316,-0.26421965266675723
ACH-000317,-0.011280790823852051
ACH-000318,-0.1167727070004992
ACH-000319,0.08516462265898704
ACH-000320,0.05040562537316395
ACH-000322,0.10105563337058664
ACH-000323,-0.18096669705619253
ACH-000324,-0.11053130191473798
ACH-000329,-0.1761264861585889
ACH-000330,0.09828062247875967
ACH-000331,0.08236393067126832
ACH-000332,-0.01993746840885064
ACH-000334,0.10468360513397368
