,GTF2E2 (2961)
ACH-000004,-0.6324583668093595
ACH-000005,-0.5052482565405576
ACH-000007,-0.8708783926390095
ACH-000009,-0.5470040039456109
ACH-000011,-0.7754092510069375
ACH-000012,-0.6731225791686296
ACH-000013,-0.7632734536709749
ACH-000014,-0.6023470414205039
ACH-000015,-0.7448618681013887
ACH-000017,-0.6103530154583455
ACH-000018,-0.5175629262689887
ACH-000019,-0.8973660987741375
ACH-000021,-0.4800813884442201
ACH-000022,-0.6499688909100587
ACH-000025,-0.7802874580921171
ACH-000028,-0.8000652963612149
ACH-000030,-0.8400664407412496
ACH-000035,-0.9445621443388872
ACH-000036,-0.6767729465077441
ACH-000037,-0.4440239913618787
ACH-000039,-0.7737215851530728
ACH-000040,-0.5659044077720475
ACH-000041,-0.5861559113465292
ACH-000042,-0.7915642940095021
ACH-000045,-0.5293905813584471
ACH-000047,-0.5945693167504703
ACH-000052,-0.7666971497631591
ACH-000053,-0.7797245756883893
ACH-000054,-0.7701104956378562
ACH-000055,-0.7366480543030853
ACH-000060,-0.8480348901246102
ACH-000067,-0.7963981915583379
ACH-000070,-0.6689000129093201
ACH-000075,-0.7972178929769548
ACH-000078,-0.6815568116031562
ACH-000082,-1.011279323074258
ACH-000085,-0.6914985762011054
ACH-000086,-0.8459020923001429
ACH-000087,-0.8321414097838041
ACH-000092,-0.9060914748502806
ACH-000095,-0.6219392843639115
ACH-000097,-0.7987721521037423
ACH-000098,-0.6275611013851419
ACH-000099,-0.5682089467665984
ACH-000108,-0.6966762128606734
ACH-000113,-0.7045516407857503
ACH-000116,-0.8330169941635948
ACH-000118,-0.8330178080507703
ACH-000120,-0.5547045235837399
ACH-000123,-0.8224470804521475
ACH-000127,-0.5917937932076967
ACH-000128,-0.6196978889613285
ACH-000132,-0.8482458004316262
ACH-000133,-0.6718078381373529
ACH-000137,-0.8333740235832543
ACH-000138,-0.6859234308941002
ACH-000142,-0.7653431472261253
ACH-000143,-0.725219013170572
ACH-000146,-0.4835200074353416
ACH-000148,-0.656223419129431
ACH-000150,-0.7809848233225924
ACH-000152,-0.92554510973657
ACH-000153,-0.6425265898424904
ACH-000159,-0.7384831467925708
ACH-000160,-0.4910466771627428
ACH-000163,-0.6769149666452845
ACH-000167,-0.3310804346046192
ACH-000168,-0.4653073409186529
ACH-000169,-0.6158574121699014
ACH-000178,-0.6547921237824966
ACH-000183,-0.8057675258551008
ACH-000188,-0.8068175542753028
ACH-000189,-1.1990608272001817
ACH-000190,-0.4756334951766102
ACH-000198,-0.7153944661292491
ACH-000203,-0.9324111937600588
ACH-000204,-0.9258312520113992
ACH-000206,-0.8967204242816996
ACH-000207,-0.6434054125025711
ACH-000208,-0.6914843640804771
ACH-000210,-0.4898183550513207
ACH-000211,-0.6958792459435259
ACH-000215,-0.6300688706451233
ACH-000221,-0.7025859806892324
ACH-000222,-0.5262591590595583
ACH-000223,-0.9132537198086188
ACH-000226,-0.8087798050676824
ACH-000227,-0.5934431172746097
ACH-000228,-0.8074410252906707
ACH-000231,-0.7922387535769319
ACH-000232,-0.8859559048401505
ACH-000233,-0.6923465834660457
ACH-000234,-0.8044505435912087
ACH-000235,-0.6800069010460325
ACH-000237,-0.781754822171244
ACH-000238,-0.6759255201559786
ACH-000242,-0.7749339000236926
ACH-000243,-0.9543821500041892
ACH-000244,-0.7441120646738756
ACH-000246,-0.7263916744638418
ACH-000248,-0.8038925186677854
ACH-000250,-0.6678224886491906
ACH-000251,-0.7251547654076335
ACH-000252,-0.7333289347405111
ACH-000253,-0.8856208877856055
ACH-000255,-0.7607488085867051
ACH-000256,-0.7322666803208776
ACH-000257,-0.6635958591148772
ACH-000258,-0.6199736597466982
ACH-000259,-0.5816548456281884
ACH-000260,-0.7064438406293546
ACH-000261,-0.8499321853977375
ACH-000262,-0.7456287121484829
ACH-000263,-0.6161473152971348
ACH-000264,-0.7780052150610444
ACH-000265,-0.7494978650365668
ACH-000266,-0.9480815595761674
ACH-000272,-0.3693917726917884
ACH-000274,-0.747223199489258
ACH-000277,-0.6476528859576339
ACH-000278,-1.00118366175794
ACH-000279,-0.5616844352236708
ACH-000280,-0.8533795632303219
ACH-000281,-0.648126124212025
ACH-000288,-0.415146020501538
ACH-000291,-0.9086218592880956
