,RTKN (6242)
ACH-000004,-0.3893492054194115
ACH-000005,0.09104497227354708
ACH-000007,-0.4509638681186752
ACH-000009,-0.1019256978917142
ACH-000011,-0.16818306479849307
ACH-000012,-0.3209272089005597
ACH-000013,-0.22387017415968224
ACH-000014,-0.18163011477636304
ACH-000015,-0.1265554802247278
ACH-000017,-0.106172567183139
ACH-000018,-0.31605664363054264
ACH-000019,-0.1024595904286317
ACH-000021,-0.22626429296841355
ACH-000022,-0.22221511336624525
ACH-000025,-0.3515273865329446
ACH-000028,-0.28088971053738193
ACH-000030,-0.2257779142580775
ACH-000035,-0.24744942381838936
ACH-000036,-0.2991406613151096
ACH-000037,-0.29115602932327445
ACH-000039,-0.2737548732071663
ACH-000040,-0.2381836436489133
ACH-000041,-0.07060318414045927
ACH-000042,-0.11164549801443806
ACH-000045,-0.050245841036259724
ACH-000047,-0.2517407742208207
ACH-000052,-0.3433392911991344
ACH-000053,-0.2054282816406209
ACH-000054,-0.3646431867372555
ACH-000055,-0.4736600047683023
ACH-000060,-0.26058699568296284
ACH-000067,-0.4212668714422818
ACH-000070,-0.25268976609985616
ACH-000075,0.07475300509686562
ACH-000078,-0.08744131836384607
ACH-000082,-0.3415773393165288
ACH-000085,-0.3160535831493018
ACH-000086,-0.2498793533689866
ACH-000087,-0.43382332694265696
ACH-000092,-0.3940573532514871
ACH-000095,-0.38443742138558906
ACH-000097,-0.22316163290954025
ACH-000098,-0.3452993891925016
ACH-000099,-0.0811730046384623
ACH-000108,-0.235000328018568
ACH-000113,-0.0033683408518450576
ACH-000116,-0.2084995864904662
ACH-000118,-0.19092111184003505
ACH-000120,-0.20334979411695972
ACH-000123,-0.1932687610144512
ACH-000127,-0.08355584537814711
ACH-000128,-0.3495668643147349
ACH-000132,-0.08378886438161041
ACH-000133,-0.3111593905221197
ACH-000137,-0.2503731626806791
ACH-000138,-0.3046370765685479
ACH-000142,-0.24959456430146065
ACH-000143,-0.19570893603231568
ACH-000146,-0.1499134748822074
ACH-000148,-0.1544943186936357
ACH-000150,-0.2526353465767924
ACH-000152,-0.45780976982002
ACH-000153,-0.4786407266059727
ACH-000159,-0.12104028673752833
ACH-000160,-0.19043618650598804
ACH-000163,-0.3642320141942037
ACH-000167,0.2569175873990253
ACH-000168,0.04624145736172782
ACH-000169,-0.25655543012841114
ACH-000178,-0.26688648678691057
ACH-000183,-0.21409361582458986
ACH-000188,-0.2969151294186827
ACH-000189,-0.1627174726865422
ACH-000190,-0.3040269625142512
ACH-000198,-0.20668254342306094
ACH-000203,-0.3400513262762007
ACH-000204,-0.378833912737394
ACH-000206,-0.2309636890028847
ACH-000207,-0.16956011811977031
ACH-000208,-0.7252606186633295
ACH-000210,-0.014920460133501434
ACH-000211,-0.1743337113810806
ACH-000215,-0.2816446597079711
ACH-000221,-0.5128940835718533
ACH-000222,-0.26610007539096353
ACH-000223,-0.04395187501655717
ACH-000226,-0.3223597964240679
ACH-000227,-0.20523445653285044
ACH-000228,-0.3470165154373953
ACH-000231,-0.25670629826401026
ACH-000232,-0.1861438236463656
ACH-000233,-0.03263190676108716
ACH-000234,-0.07374248312300273
ACH-000235,-0.20097615541909936
ACH-000237,-0.2771757318007555
ACH-000238,-0.2671063309901468
ACH-000242,-0.3478276338480258
ACH-000243,-0.482734783966156
ACH-000244,-0.18324017151078373
ACH-000246,-0.18276009347175426
ACH-000248,-0.1937904957283948
ACH-000250,-0.2951095801100542
ACH-000251,-0.1428330987480573
ACH-000252,-0.3678971383428201
ACH-000253,-0.17215717455455393
ACH-000255,-0.3231590407509708
ACH-000256,-0.24536800117416524
ACH-000257,-0.033983644652849934
ACH-000258,0.007348295993199729
ACH-000259,-0.19016193595403894
ACH-000260,-0.3916316230490903
ACH-000261,-0.24607504760046836
ACH-000262,-0.3882509176694603
ACH-000263,-0.5065863665266551
ACH-000264,-0.2055301946545499
ACH-000265,-0.23331538099273225
ACH-000266,-0.25650442760936715
ACH-000272,-0.21943279761772255
ACH-000274,-0.3225736624488185
ACH-000277,-0.13244011749901705
ACH-000278,-0.2072653681959938
ACH-000279,-0.18521398417992133
ACH-000280,-0.1519078845228084
ACH-000281,-0.36171675678927534
ACH-000288,-0.09727941016925727
ACH-000291,-0.16467484931081955
ACH-000293,-0.283174404463591
ACH-000294,-0.13655990240480875
ACH-000295,-0.0715560682166572
ACH-000296,-0.3743364746676754
ACH-000302,-0.25054478557718235
ACH-000304,-0.4302051523814888
ACH-000307,-0.3036188178540473
ACH-000308,-0.2241960497556975
ACH-000310,-0.10982664736287268
ACH-000311,-0.2696421626467981
ACH-000312,-0.3614054796675666
ACH-000315,-0.19071652357677568
ACH-000316,-0.03021602390775205
ACH-000317,-0.1471951910475658
