,PPME1 (51400)
ACH-000004,-0.18449203783221516
ACH-000005,-0.2907671334753293
ACH-000007,-0.5547166340332496
ACH-000009,-0.3193770978852336
ACH-000011,-0.7913803360182003
ACH-000012,-0.5121767034566282
ACH-000013,-0.52186264745335
ACH-000014,-0.22476743261383847
ACH-000015,-0.41436391624738855
ACH-000017,-0.4307987759962497
ACH-000018,-0.4834504933005926
ACH-000019,-0.3792570558725567
ACH-000021,-0.22909586275632804
ACH-000022,-0.6608818697533965
ACH-000025,-0.1486255036312995
ACH-000028,-0.5795371998510082
ACH-000030,-0.3633801404573569
ACH-000035,-0.2538710701323812
ACH-000036,-0.3433893420935184
ACH-000037,-0.5929695799015009
ACH-000039,-0.1850367447712935
ACH-000040,-0.5866016654503649
ACH-000041,-0.6674228921493763
ACH-000042,-0.4206477719745061
ACH-000045,-0.10734955488336273
ACH-000047,-0.2074074394829836
ACH-000052,-0.1811509956710794
ACH-000053,-0.4684732384699905
ACH-000054,-0.28583897086341536
ACH-000055,-0.32667955823923633
ACH-000060,-0.033657703250214985
ACH-000067,-0.4459852769443821
ACH-000070,-0.22013163095458574
ACH-000075,-0.4562431651270101
ACH-000078,-0.4213558497791403
ACH-000082,-0.35761568761860824
ACH-000085,-0.452705776056367
ACH-000086,-0.3875131932958717
ACH-000087,-0.4905009047983197
ACH-000092,-0.19088639336780652
ACH-000095,-0.33027670630615275
ACH-000097,-0.5223686115089345
ACH-000098,-0.23951698814975275
ACH-000099,-0.641772277959291
ACH-000108,-0.3334617008182233
ACH-000113,-0.3840871124289632
ACH-000116,-0.547266695830271
ACH-000118,-0.4469432293066509
ACH-000120,-0.41766982985576706
ACH-000123,-0.43669067596055533
ACH-000127,-0.4287263550633033
ACH-000128,-0.2368691454565121
ACH-000132,-0.3776863793733217
ACH-000133,-0.6072880256967877
ACH-000137,-0.4721223537788988
ACH-000138,-0.5768363560937231
ACH-000142,-0.16415936540967924
ACH-000143,0.004082958953520685
ACH-000146,-0.4484872314960107
ACH-000148,-0.4747502597614501
ACH-000150,-0.2540867791343551
ACH-000152,-0.41063652497316294
ACH-000153,-0.3610797976692457
ACH-000159,-0.2220689927443298
ACH-000160,-0.6979342244971829
ACH-000163,-0.4368710943002708
ACH-000167,-0.6569171938193494
ACH-000168,-0.2780134388793857
ACH-000169,-0.45015911029330935
ACH-000178,-0.3147864554095663
ACH-000183,-0.029185034358644068
ACH-000188,-0.8064658595327308
ACH-000189,-0.3021098910615627
ACH-000190,-0.5550817494489361
ACH-000198,-0.5416188292825626
ACH-000203,-0.33243046919745844
ACH-000204,-0.460058101959056
ACH-000206,-0.23423218210960384
ACH-000207,-0.6040562467843097
ACH-000208,-0.4951095888247274
ACH-000210,-0.3883508287130725
ACH-000211,-0.9311625062545872
ACH-000215,-0.6381225850032639
ACH-000221,-0.2594731432561965
ACH-000222,-0.6349169007700758
ACH-000223,-0.7892605342961668
ACH-000226,-0.3829091411146381
ACH-000227,-0.3953059377028206
ACH-000228,-0.5733637349629326
ACH-000231,-0.30761723623384857
ACH-000232,-0.3398709460243751
ACH-000233,-0.4809975483223457
ACH-000234,-0.4449073286199544
ACH-000235,-0.6480987313006036
ACH-000237,-0.5311929662065691
ACH-000238,-0.5916047952264216
ACH-000242,-0.2572286086846538
ACH-000243,-0.7382804172375108
ACH-000244,-0.7465038358316339
ACH-000246,-0.34423062633969964
ACH-000248,-0.7377881541676107
ACH-000250,-0.3938326631079905
ACH-000251,-0.4380699182458401
ACH-000252,-0.6563110002376835
ACH-000253,-0.4139899934791105
ACH-000255,-0.2877259216851625
ACH-000256,-0.4585567506200666
ACH-000257,-0.4928668329970792
ACH-000258,-0.15719031324890892
ACH-000259,-0.24643046163958454
ACH-000260,-0.15117159789111592
ACH-000261,-0.17443376778918412
ACH-000262,-0.54310089056484
ACH-000263,-0.4316776695043646
ACH-000264,-0.6044543015126947
ACH-000265,-0.33232428131881564
ACH-000266,-0.33956924139581385
ACH-000272,-0.1608921981431474
ACH-000274,-0.3175704375616279
ACH-000277,-0.22132225786633444
ACH-000278,-0.7413608326797387
ACH-000279,-0.4685304675788069
ACH-000280,-0.3304242038106336
ACH-000281,-0.7185092632729289
ACH-000288,-0.4001795958088469
ACH-000291,-0.3883342014428823
ACH-000293,-0.3863438565765238
ACH-000294,-0.21933151084410646
ACH-000295,-0.08285351624850341
ACH-000296,-0.3147094198614304
ACH-000302,-0.34659737600130075
ACH-000304,-0.1645997784525087
ACH-000307,-0.2302956111653349
ACH-000308,-0.35868693482911584
ACH-000310,-0.3697388143429333
ACH-000311,-0.3546734787647972
ACH-000312,-0.29535766745821235
ACH-000315,0.040639318867397065
ACH-000316,-0.19192344038895304
ACH-000317,-0.4372670568122982
ACH-000318,-0.19173371315821364
ACH-000319,-0.5384178451074829
ACH-000320,-0.20716497908857112
ACH-000322,-0.5038477816750517
ACH-000323,-0.1823194749082244
ACH-000324,-0.394959611922368
ACH-000329,-0.5167116893346212
ACH-000330,-0.4439265863191853
ACH-000331,-0.21016857617599852
ACH-000332,-0.3396783944825744
ACH-000334,-0.37317778557578973
ACH-000335,-0.44669096862751095
ACH-000336,-0.562195353833896
ACH-000337,-0.4475820889763967
ACH-000338,-0.4875859604326654
ACH-000339,-0.38809431954829104
ACH-000341,-0.18742576474717212
ACH-000348,-0.4119567801595024
ACH-000350,-0.279569148320868
ACH-000352,-0.31853023957234056
ACH-000356,-0.536470266959992
ACH-000361,-0.2896052963244401
ACH-000362,-0.18315784786371667
ACH-000363,-0.2203232618550044
ACH-000364,-0.6378955069646751
ACH-000365,-0.056445678013325035
ACH-000366,-0.451070952970005
ACH-000368,-0.3231397041962166
ACH-000374,-0.7138813238950581
ACH-000375,-0.5034801413379283
ACH-000376,-0.334727984328015
ACH-000381,-0.36160562031807
ACH-000383,-0.4957017079063822
ACH-000387,-0.3216220133908285
ACH-000389,-0.6069362274076091
ACH-000390,-0.31533557843939863
ACH-000393,-0.5303035322842807
ACH-000395,-0.3290627944333542
ACH-000396,-0.4274180616049403
ACH-000397,-0.4778119464990217
ACH-000401,-0.7377975017846199
ACH-000402,-0.05728434808936327
ACH-000403,-0.20499883193471247
ACH-000404,-0.6662720572255469
ACH-000406,-0.35904263021590205
ACH-000407,-0.4317771591826163
ACH-000408,-0.623179099543557
ACH-000410,-0.38722505067151547
ACH-000411,-0.2897391941267317
ACH-000414,-0.4327603764664652
ACH-000415,-0.7410033814509004
ACH-000416,-0.35027252888345656
ACH-000420,-0.4373022210708553
ACH-000421,-0.4408663078317973
