,LIN52 (91750)
ACH-000004,-0.30286712258162035
ACH-000005,-0.30087802254563384
ACH-000007,-0.2900739323175653
ACH-000009,-0.39476471585425577
ACH-000011,-0.4082589214627319
ACH-000012,-0.391903603675833
ACH-000013,-0.4611397969585291
ACH-000014,-0.3996160704695061
ACH-000015,-0.34879665969879403
ACH-000017,-0.4027489113899537
ACH-000018,-0.20161061276673825
ACH-000019,-0.5429533237775946
ACH-000021,-0.33284179775166484
ACH-000022,-0.34147056095168604
ACH-000025,-0.2765087052548255
ACH-000028,-0.3322485659342852
ACH-000030,-0.19309594370472874
ACH-000035,-0.3144814894165796
ACH-000036,-0.5621533299333701
ACH-000037,-0.3620281273365679
ACH-000039,-0.24495247471189635
ACH-000040,-0.3500833495769855
ACH-000041,-0.5583098721519095
ACH-000042,-0.4584665821441766
ACH-000045,-0.5536463174129838
ACH-000047,-0.5344218293805191
ACH-000052,-0.2967976460866351
ACH-000053,-0.35779789474852275
ACH-000054,-0.4316020662206543
ACH-000055,-0.2845543575491595
ACH-000060,-0.4576733586465354
ACH-000067,-0.2947714592905396
ACH-000070,-0.6191917038512682
ACH-000075,-0.5097247785672082
ACH-000078,-0.33359007676700986
ACH-000082,-0.5239095538042652
ACH-000085,-0.2689320742209981
ACH-000086,-0.3608764284353928
ACH-000087,-0.3234641905038487
ACH-000092,-0.6161663898384391
ACH-000095,-0.272552449855839
ACH-000097,-0.5250169319434124
ACH-000098,-0.5092809866451107
ACH-000099,-0.3568492492079968
ACH-000108,-0.4375145980936269
ACH-000113,-0.2729296517246085
ACH-000116,-0.2573404241454621
ACH-000118,-0.29789195453488704
ACH-000120,-0.6620688923442868
ACH-000123,-0.28284810742585503
ACH-000127,-0.3720573762230312
ACH-000128,-0.17198300589237198
ACH-000132,-0.4662827889740861
ACH-000133,-0.44713574651754256
ACH-000137,-0.3632105543941455
ACH-000138,-0.37867435040866304
ACH-000142,-0.4046328551833097
ACH-000143,-0.3745661754971081
ACH-000146,-0.3764251664228953
ACH-000148,-0.3157172919095524
ACH-000150,-0.24646196255879946
ACH-000152,-0.4518648650470825
ACH-000153,-0.6974880326174878
ACH-000159,-0.4278585050497454
ACH-000160,-0.29696446351132144
ACH-000163,-0.4139221786111385
ACH-000167,-0.8118281078397845
ACH-000168,-0.3845811533974973
ACH-000169,-0.6182552245880609
ACH-000178,-0.4626919044659803
ACH-000183,-0.3931148284496925
ACH-000188,-0.2467747546800401
ACH-000189,-0.5117973039301466
ACH-000190,-0.5226726290500745
ACH-000198,-0.4794940629812904
ACH-000203,-0.06387577426090048
ACH-000204,-0.5010281991618335
ACH-000206,-0.3685045513359773
ACH-000207,-0.5070229712350396
ACH-000208,-0.29178236622016795
ACH-000210,-0.3448534310018006
ACH-000211,-0.3668535706091137
ACH-000215,-0.3045550879063513
ACH-000221,-0.08634978205037669
ACH-000222,-0.3412901103743667
ACH-000223,-0.3415880531926209
ACH-000226,-0.2889600279912456
ACH-000227,-0.3383642696986554
ACH-000228,-0.4399498800682189
