,TPM4 (7171)
ACH-000004,-0.2259675735833729
ACH-000005,-0.33291484380736563
ACH-000007,-0.4941949053435397
ACH-000009,-0.2287809334106583
ACH-000011,-0.2897550215395115
ACH-000012,-0.3584111002341269
ACH-000013,-0.34482994577689075
ACH-000014,-0.2929417408700522
ACH-000015,-0.30214399482415705
ACH-000017,-0.477018580304319
ACH-000018,-0.4588050169311243
ACH-000019,-0.4471636509825752
ACH-000021,-0.3179851444289158
ACH-000022,-0.3309409484026559
ACH-000025,-0.33092494298753233
ACH-000028,-0.4539219023331239
ACH-000030,-0.3282767159508841
ACH-000035,-0.4126018103962428
ACH-000036,-0.3431550585670905
ACH-000037,-0.2477050552125877
ACH-000039,-0.5839124414535177
ACH-000040,-0.6296257073049509
ACH-000041,-0.558826355704479
ACH-000042,-0.2258206392013972
ACH-000045,-0.3609236732188384
ACH-000047,-0.29447655908791803
ACH-000052,-0.33121745225902965
ACH-000053,-0.34105311347604705
ACH-000054,-0.4138320309678924
ACH-000055,-0.3823787301646433
ACH-000060,-0.4624674833585318
ACH-000067,-0.3539927079810776
ACH-000070,-0.18721392779760068
ACH-000075,-0.11109055773851324
ACH-000078,-0.2386310171641986
ACH-000082,-0.41926967746377375
ACH-000085,-0.1892445899941936
ACH-000086,-0.26402389397537424
ACH-000087,-0.35604932662232275
ACH-000092,-0.3411157300632848
ACH-000095,-0.31601440423601584
ACH-000097,-0.3192875514319343
ACH-000098,-0.4213811225332596
ACH-000099,-0.4469023060477607
ACH-000108,-0.19064508555371704
ACH-000113,-0.35515553548593914
ACH-000116,-0.4732526918691167
ACH-000118,-0.4000657289386532
ACH-000120,-0.44211430315985306
ACH-000123,-0.3143955812166172
ACH-000127,-0.4859783192122991
ACH-000128,-0.3223078645140646
ACH-000132,-0.23369766574846346
ACH-000133,-0.4535354201892841
ACH-000137,-0.2966612674344174
ACH-000138,-0.29385018204097835
ACH-000142,-0.28571054192639483
ACH-000143,-0.43123926513859456
ACH-000146,-0.3911005085128444
ACH-000148,-0.3157416827427917
ACH-000150,-0.5090110690893888
ACH-000152,-0.30560769716524194
ACH-000153,-0.6325483794423201
ACH-000159,-0.5214884207202333
ACH-000160,-0.25702241729321
ACH-000163,-0.5760447539826815
ACH-000167,-0.5076257779839486
