,ATP6V1F (9296)
ACH-000004,-1.601284121094838
ACH-000005,-1.5157303290873465
ACH-000007,-1.0954300066065268
ACH-000009,-1.280039584561072
ACH-000011,-1.026072264087759
ACH-000012,-1.3850088358419683
ACH-000013,-1.0696007006917885
ACH-000014,-1.350968515815112
ACH-000015,-1.255558945040528
ACH-000017,-0.9939417282168914
ACH-000018,-1.288199801718013
ACH-000019,-1.1747883670024786
ACH-000021,-1.4502958489173332
ACH-000022,-1.1253254140822269
ACH-000025,-1.4206538131216144
ACH-000028,-1.3138933142918463
ACH-000030,-1.4371420896601808
ACH-000035,-1.3703013463248899
ACH-000036,-1.2794251293073604
ACH-000037,-0.7419941001434952
ACH-000039,-1.1899627356741531
ACH-000040,-1.3972202483538143
ACH-000041,-1.1914353376730282
ACH-000042,-1.09738853993392
ACH-000045,-1.21409428845721
ACH-000047,-1.1100164191016892
ACH-000052,-1.3619627850064715
ACH-000053,-1.3815204423584573
ACH-000054,-1.2997603774455029
ACH-000055,-1.4265781562147588
ACH-000060,-1.2448045589058598
ACH-000067,-1.3154574604775846
ACH-000070,-1.3473334146357536
ACH-000075,-1.4144796116127467
ACH-000078,-1.4102353900064428
ACH-000082,-0.9185413975944816
ACH-000085,-0.920836299150393
ACH-000086,-1.280973682027247
ACH-000087,-1.433329926682804
ACH-000092,-1.4918770104541692
ACH-000095,-1.2516537489001067
ACH-000097,-1.2575583362652556
ACH-000098,-1.1286713480296322
ACH-000099,-1.3449456258781065
ACH-000108,-1.3710650590294828
ACH-000113,-1.2891143643751062
ACH-000116,-1.2840321515313615
ACH-000118,-1.2639582221411496
ACH-000120,-1.1569536355909875
ACH-000123,-1.2650992823741072
ACH-000127,-1.3697357717257008
ACH-000128,-1.584516661035385
ACH-000132,-1.2572004524990508
ACH-000133,-1.3409239696068058
ACH-000137,-0.8707506118582183
ACH-000138,-1.3149730332060257
ACH-000142,-1.1759006030946726
ACH-000143,-1.4925547510555035
ACH-000146,-1.5085617955567436
ACH-000148,-1.2771204285395767
ACH-000150,-1.189447247915688
ACH-000152,-1.0299297682243465
ACH-000153,-1.7132745978792232
ACH-000159,-1.2602006125263514
ACH-000160,-1.0694961797948077
ACH-000163,-0.985395550760594
ACH-000167,-1.8392238351462298
ACH-000168,-1.7364144238884667
ACH-000169,-1.2763831688073601
ACH-000178,-1.3323112784983038
ACH-000183,-1.4237342226170278
ACH-000188,-1.2814578664753011
ACH-000189,-1.485072751863331
ACH-000190,-1.2708873060255863
ACH-000198,-1.404448267481074
ACH-000203,-1.689328624521623
ACH-000204,-1.3296804700323208
ACH-000206,-1.3378413601105208
ACH-000207,-1.1941518839876593
ACH-000208,-1.5392366993652256
ACH-000210,-1.3624910341000744
ACH-000211,-1.3034029312010236
ACH-000215,-1.2826737298501392
ACH-000221,-1.266831624251678
ACH-000222,-1.2295067095887338
ACH-000223,-1.5153136356671653
ACH-000226,-1.2755137300184756
ACH-000227,-1.0336722464635135
ACH-000228,-1.3548264024201422
ACH-000231,-1.4103813281544535
ACH-000232,-1.4131312216232623
ACH-000233,-1.2852428007213084
ACH-000234,-1.486827448374963
ACH-000235,-1.2276735118819708
ACH-000237,-1.2214581143590884
ACH-000238,-1.2774698306610401
ACH-000242,-1.050151265905391
ACH-000243,-1.2397801748478496
ACH-000244,-1.6113563418427104
ACH-000246,-1.324079196064602
ACH-000248,-1.1455193103953798
ACH-000250,-1.1745305205483447
ACH-000251,-1.2378720587835073
ACH-000252,-1.2236495546243191
ACH-000253,-1.2954919017825708
ACH-000255,-1.371417774496697
ACH-000256,-1.4977295075482877
ACH-000257,-1.3126569517433535
ACH-000258,-1.191284125873879
ACH-000259,-1.4652705666865502
ACH-000260,-1.3340145095623723
ACH-000261,-1.2927083058482725
ACH-000262,-1.4497228827995616
ACH-000263,-1.0731927605127751
ACH-000264,-1.4271701701582633
ACH-000265,-1.124223591934849
ACH-000266,-1.4123213599188738
ACH-000272,-1.2304562904121044
ACH-000274,-0.9539666290132786
ACH-000277,-1.45782083112269
ACH-000278,-1.4397719775211086
ACH-000279,-1.6332172594852572
ACH-000280,-1.5511574889971578
ACH-000281,-1.5806567001726397
ACH-000288,-1.4103327299937274
ACH-000291,-1.088009380585667
ACH-000293,-1.263535046533706
ACH-000294,-1.5704226224554017
ACH-000295,-1.3666946544701626
ACH-000296,-1.3921782142013126
ACH-000302,-1.0382556722017784
ACH-000304,-1.0671452706972535
ACH-000307,-1.431821453604103
ACH-000308,-1.4093534927452496
ACH-000310,-0.999965971295812
ACH-000311,-1.1564524418404225
ACH-000312,-1.3540820153644395
ACH-000315,-1.225592109038565
ACH-000316,-1.3895767818572768
ACH-000317,-1.5035312432825714
ACH-000318,-1.4202267165517604
ACH-000319,-1.3528877071949708
ACH-000320,-1.4854579413992268
ACH-000322,-1.243861105993301
ACH-000323,-0.2986799569250773
ACH-000324,-1.2633246136711958
ACH-000329,-1.0854532442516107
ACH-000330,-1.512331154083007
ACH-000331,-1.1880713177996431
ACH-000332,-1.2830083584661165
ACH-000334,-0.9313315313623348
ACH-000335,-1.334315161316079
ACH-000336,-1.242634109980175
ACH-000337,-1.4057674364836727
ACH-000338,-1.347821668801637
ACH-000339,-1.5078698081914927
ACH-000341,-0.9390860152511172
ACH-000348,-1.5273686871711385
