,CRH (1392)
ACH-000004,0.14430926975510638
ACH-000005,-0.15363747515077505
ACH-000007,-0.25225922331517536
ACH-000009,0.06539236127040443
ACH-000011,-0.02124244567083887
ACH-000012,-0.05577073166437045
ACH-000013,-0.038134792374766656
ACH-000014,-0.14107653069554954
ACH-000015,-0.04263977359238633
ACH-000017,-0.10128854201747146
ACH-000018,-0.32054289261101604
ACH-000019,-0.10846805071915328
ACH-000021,-0.10359948179042558
ACH-000022,-0.21179039221213045
ACH-000025,-0.1888685410343694
ACH-000028,-0.14163936824538242
ACH-000030,-0.08947984040303689
ACH-000035,-0.13570596597004111
ACH-000036,-0.09141038047790563
ACH-000037,-0.06718692332864537
ACH-000039,0.040321755570673835
ACH-000040,-0.11535095066268733
ACH-000041,-0.08930269687493303
ACH-000042,-0.03380888670629837
ACH-000045,-0.044015151755927684
ACH-000047,-0.09005138662312043
ACH-000052,-0.27151686250937623
ACH-000053,-0.006779678029404821
ACH-000054,-0.13182105749375195
ACH-000055,-0.05063782999436222
ACH-000060,-0.008342780208139021
ACH-000067,-0.04362619534799399
ACH-000070,-0.15194639144667807
ACH-000075,-0.06897123747533249
ACH-000078,-0.12217345130237632
ACH-000082,-0.1625239199575465
ACH-000085,-0.07843949934854952
ACH-000086,0.11115572973159796
ACH-000087,-0.17447136174399405
ACH-000092,-0.14705668805641536
ACH-000095,-0.055516545551748536
ACH-000097,-0.02459369777932589
ACH-000098,-0.13484073341419806
ACH-000099,-0.011745704763310195
ACH-000108,-0.13971390269626704
ACH-000113,-0.04499622656715237
ACH-000116,-0.08985127089098051
ACH-000118,-0.14677471226745714
ACH-000120,0.04822233191353476
ACH-000123,0.05695843122481201
ACH-000127,-0.048720806298428315
ACH-000128,-0.05225262340007839
ACH-000132,-0.174314857668354
ACH-000133,-0.10676038651925
ACH-000137,-0.1699988984370323
ACH-000138,-0.1673639650875457
ACH-000142,0.07309915586565607
ACH-000143,0.07380746099387532
ACH-000146,-0.10365591942812287
ACH-000148,-0.05661022354436205
ACH-000150,-0.1148045895904944
ACH-000152,-0.2921984375822002
ACH-000153,-0.3398449866256515
ACH-000159,-0.1542417293189108
ACH-000160,-0.11391818525005025
ACH-000163,-0.2161490140432611
ACH-000167,-0.2772211871519075
ACH-000168,-0.18808492366864674
ACH-000169,-0.14531843529968255
ACH-000178,-0.10585630446604184
ACH-000183,-0.2705347900406328
ACH-000188,-0.05386974191262904
ACH-000189,-0.07969392809737963
ACH-000190,-0.14099307915650672
ACH-000198,-0.07821951620435863
ACH-000203,0.04563882625129337
ACH-000204,-0.27101713785353304
ACH-000206,0.10095982754797024
ACH-000207,0.041731938731011116
ACH-000208,-0.2669350179195739
ACH-000210,-0.3479395996175005
