,CACNA1A (773)
ACH-000004,-0.19017266497894567
ACH-000005,-0.017210497333445714
ACH-000007,-0.1346907195844486
ACH-000009,-0.20237398073075
ACH-000011,-0.07788043124391518
ACH-000012,-0.10635720342758838
ACH-000013,-0.1894158986014372
ACH-000014,-0.09246435000296856
ACH-000015,-0.20493550772202704
ACH-000017,-0.1039943029805706
ACH-000018,-0.2097481144203037
ACH-000019,-0.5300043010156998
ACH-000021,-0.2638003685407688
ACH-000022,-0.21734298535620827
ACH-000025,-0.2214192944426668
ACH-000028,-0.2721727222827972
ACH-000030,-0.3212134813583194
ACH-000035,-0.1499767344908744
ACH-000036,-0.21933585519380167
ACH-000037,-0.16289372147105094
ACH-000039,-0.2702875134337167
ACH-000040,-0.07413239809218469
ACH-000041,-0.21121159859803415
ACH-000042,-0.14983790762194812
ACH-000045,-0.2593896169347669
ACH-000047,-0.2254518127467645
ACH-000052,-0.2940365557675966
ACH-000053,-0.17129390308309814
ACH-000054,-0.14158692315288895
ACH-000055,0.0007884950171373098
ACH-000060,-0.11985394319669232
ACH-000067,-0.13244923221367844
ACH-000070,-0.3824943103613568
ACH-000075,-0.1156331044642129
ACH-000078,-0.1995492882348672
ACH-000082,-0.2125184986885033
ACH-000085,-0.16241166932243206
ACH-000086,-0.14031887369685836
ACH-000087,-0.3025147856526407
ACH-000092,-0.18724149431199466
ACH-000095,-0.1329628952641002
ACH-000097,-0.06802115107586093
ACH-000098,-0.22378562830472554
ACH-000099,-0.1247571332611794
ACH-000108,-0.2504670762097148
ACH-000113,-0.21158834187949094
ACH-000116,-0.2265495944065844
ACH-000118,-0.2843094623818381
ACH-000120,-0.09971101962112802
ACH-000123,-0.16119368217841587
ACH-000127,-0.21892412217900248
ACH-000128,-0.3083226304147039
ACH-000132,-0.09392878474111603
ACH-000133,-0.14113975462618492
ACH-000137,-0.4360503429735188
ACH-000138,-0.1235423061616039
ACH-000142,-0.3606670356145161
ACH-000143,-0.18010388036936145
ACH-000146,-0.15132881839149165
ACH-000148,-0.24996756387200697
ACH-000150,-0.15204684730203813
ACH-000152,-0.07564273525555981
ACH-000153,-0.26255012714737386
ACH-000159,-0.14744866955208027
ACH-000160,-0.024708668854006098
ACH-000163,-0.3474453540532801
ACH-000167,-0.20830580605742688
ACH-000168,-0.07935304030335802
ACH-000169,-0.16406426929321088
ACH-000178,-0.05149188765177103
ACH-000183,-0.32131654866474346
ACH-000188,-0.2695285398696381
ACH-000189,-0.118440430125291
ACH-000190,-0.2748619528961999
ACH-000198,-0.24777809510580534
ACH-000203,0.2008086648090092
ACH-000204,-0.102656201460677
ACH-000206,-0.25572446429878537
ACH-000207,-0.3980003533854896
ACH-000208,-0.1953655892171308
ACH-000210,-0.2158625874073532
ACH-000211,-0.1797285098512615
ACH-000215,-0.2109740522919464
ACH-000221,-0.19053250019089413
ACH-000222,-0.3861751217775307
ACH-000223,-0.17461921472382233
ACH-000226,-0.06231656168012367
ACH-000227,-0.1461311099276782
ACH-000228,-0.2696233594335714
ACH-000231,-0.0790930615659089
ACH-000232,-0.18881741704222046
ACH-000233,-0.17383903406219556
ACH-000234,-0.10129854331031443
ACH-000235,-0.12569922046164395
ACH-000237,-0.20040767473622426
ACH-000238,-0.07976370917034037
ACH-000242,-0.38387625461847374
ACH-000243,-0.3095437268556968
ACH-000244,-0.056975501526427975
ACH-000246,-0.2315105936645259
ACH-000248,-0.002743082803078655
ACH-000250,-0.21487366421295925
ACH-000251,-0.14887020238068252
ACH-000252,-0.2572558085963779
ACH-000253,-0.15413781032941207
ACH-000255,-0.1164001910619036
ACH-000256,-0.21027753432569532
ACH-000257,-0.25770807837653753
ACH-000258,-0.262932763743701
ACH-000259,-0.1186202960922215
ACH-000260,-0.17572324860872754
ACH-000261,-0.11448334816208153
ACH-000262,0.053706534691560434
ACH-000263,-0.1591193406615389
ACH-000264,-0.030591064451828468
ACH-000265,-0.1255641160845557
ACH-000266,-0.13059253441020108
ACH-000272,-0.19893798123912765
ACH-000274,-0.08876194416978285
ACH-000277,-0.2245314403635924
ACH-000278,-0.2844520361604688
ACH-000279,-0.21088018393243504
ACH-000280,-0.04808651708917437
ACH-000281,-0.2824053789336209
ACH-000288,-0.03328156870588568
ACH-000291,-0.13215417110757274
ACH-000293,-0.1804733418622546
ACH-000294,-0.3636185462670519
ACH-000295,-0.11076243216554288
ACH-000296,-0.11743036995896032
ACH-000302,-0.26848269820890625
ACH-000304,0.011224401147842051
ACH-000307,-0.25329694855763896
ACH-000308,-0.11581738869265093
ACH-000310,-0.11664696093817925
ACH-000311,0.056980060082988684
ACH-000312,-0.2170024333008704
ACH-000315,-0.2968661651267619
ACH-000316,-0.10375919487076253
ACH-000317,-0.11636362966659634
ACH-000318,-0.2850655513002505
ACH-000319,-0.2574331526065211
ACH-000320,-0.2281613951043149
ACH-000322,-0.2438212867625035
ACH-000323,-0.07204741056243516
ACH-000324,-0.08023032387858631
ACH-000329,-0.19229092756531815
ACH-000330,-0.16782761450121994
ACH-000331,-0.2635434696808998
ACH-000332,-0.16088218780733013
ACH-000334,-0.12575589213426386
ACH-000335,-0.06411668250803021
ACH-000336,-0.05254977273889926
ACH-000337,-0.16835645562324286
ACH-000338,-0.2798021837353858
ACH-000339,-0.13388269343717707
ACH-000341,-0.1440368348220564
ACH-000348,-0.09559633512463192
ACH-000350,-0.11798426972779125
ACH-000352,-0.20251311599576635
ACH-000356,-0.17054954374976788
ACH-000361,-0.0741197330668641
ACH-000362,-0.16312292334712086
ACH-000363,-0.2059605664656292
ACH-000364,-0.3433732136971131
ACH-000365,-0.1230215619985034
ACH-000366,-0.1416278035243215
ACH-000368,0.2352864229035312
ACH-000374,-0.20948835087029885
ACH-000375,-0.18417410181738825
ACH-000376,0.03511054275253513
ACH-000381,-0.15364684508835982
ACH-000383,-0.1110948458532389
ACH-000387,-0.09772997767736463
ACH-000389,-0.08435476757441472
ACH-000390,-0.2191832102488533
ACH-000393,-0.14812720050897596
ACH-000395,-0.2358753457939129
ACH-000396,-0.3489294816626451
ACH-000397,-0.20944858228225724
ACH-000401,-0.0541017914448529
ACH-000402,-0.3890390366500519
ACH-000403,-0.3231935632583621
ACH-000404,-0.19695282797814748
ACH-000406,-0.2036913324709631
ACH-000407,-0.29382110474198536
ACH-000408,-0.4718066746309707
ACH-000410,-0.0880823999894038
ACH-000411,-0.13723956487013989
ACH-000414,-0.051960833688144685
ACH-000415,-0.2869625998885244
ACH-000416,-0.21848967209067735
ACH-000420,-0.03506871730743203
ACH-000421,-0.18288817083420505
ACH-000424,-0.17930170384572586
ACH-000425,-0.1430458871856627
ACH-000426,-0.2649243976491584
ACH-000427,-0.07172778162698852
ACH-000433,-0.10796836339930853
ACH-000435,0.10990098189575892
ACH-000436,-0.2993508430207644
ACH-000444,-0.2582131793327434
ACH-000445,-0.21967032424672794
ACH-000448,-0.23936696063750085
ACH-000450,0.008517622663308973
ACH-000452,-0.2610685441993096
ACH-000454,-0.3614034711464293
ACH-000458,-0.3856613322178116
ACH-000459,-0.22010967616698254
ACH-000460,-0.12553139575434855
ACH-000461,-0.19754778585906368
ACH-000463,-0.01309806276203034
ACH-000464,-0.1676331273814404
ACH-000466,-0.2302849277896939
ACH-000467,-0.1786470718914662
ACH-000468,-0.2320589067686702
ACH-000469,-0.08148906535196611
ACH-000470,-0.15543197492675748
ACH-000471,-0.15037326877882054
ACH-000472,-0.1830963613977923
ACH-000473,-0.14128929569635185
ACH-000475,-0.13504211218415466
ACH-000476,-0.12420780888117484
ACH-000477,0.02523577200419547
ACH-000479,-0.08065079948982642
ACH-000480,-0.18216742131625374
ACH-000481,-0.07163925885498178
ACH-000483,-0.4179187473214494
ACH-000484,-0.0012050327836124108
ACH-000485,-0.2801941991492678
ACH-000486,-0.09040044940867137
ACH-000487,-0.11596221985095954
ACH-000488,-0.3366335806178505
ACH-000490,-0.29071122133514776
ACH-000491,-0.17285181967948185
ACH-000495,-0.13953760703011722
ACH-000496,-0.03773296496845244
ACH-000499,-0.10989944424385996
ACH-000500,-0.02211973930092144
ACH-000502,-0.20054263126636893
ACH-000503,-0.4843579875494954
ACH-000505,-0.16873570974865892
ACH-000507,-0.2667825721993135
ACH-000510,-0.2545306434871749
ACH-000511,-0.047343545746006285
ACH-000512,-0.013033788734851776
ACH-000516,-0.14817708994174505
ACH-000517,-0.2277086482528896
ACH-000518,-0.14083947334997315
ACH-000520,-0.10788247195752572
ACH-000521,-0.1634458185433041
ACH-000522,-0.3476023847075913
ACH-000524,-0.0859830799084954
ACH-000527,-0.17636567347341064
ACH-000528,-0.21186529931271708
ACH-000537,-0.21520613552547616
ACH-000541,-0.020716769237843245
ACH-000542,-0.2621302022313636
ACH-000544,0.10149974869186816
ACH-000545,-0.2968060186880245
ACH-000547,-0.05520764789980556
ACH-000548,-0.22785261620041866
ACH-000549,-0.3150201814908721
ACH-000550,0.1018056316242812
ACH-000552,-0.12115168599665478
ACH-000556,-0.5862844541600575
ACH-000557,-0.1971221554071045
ACH-000569,0.17168708783382958
ACH-000570,-0.06674457021125665
ACH-000571,-0.08218150675748895
ACH-000573,-0.10006570202763666
ACH-000576,-0.3805174216679298
ACH-000579,-0.1774838026471878
ACH-000580,-0.13195071080057025
ACH-000584,-0.2265944920888547
ACH-000585,-0.3017552826703968
ACH-000588,-0.010221969700195312
ACH-000589,-0.2158613162596289
ACH-000591,-0.2496330547230907
ACH-000593,-0.1048723787077984
ACH-000600,-0.0798328743205935
ACH-000601,-0.2315274854861095
ACH-000605,-0.2608803205608113
ACH-000606,-0.2916186434886648
ACH-000608,-0.20092663645713135
ACH-000614,0.046553577059193975
ACH-000616,-0.05884127522412765
ACH-000618,-0.3308110524502072
ACH-000619,-0.16250397323332835
ACH-000620,-0.23180907221033356
ACH-000621,-0.22643072324181826
ACH-000622,-0.22128331605008214
ACH-000623,-0.2852337823776799
ACH-000624,-0.11672131774543752
ACH-000627,-0.2463069718826378
ACH-000630,-0.14761985575614825
ACH-000631,-0.4073220482578059
ACH-000632,-0.20889180056542575
ACH-000633,-0.11217346274778768
ACH-000637,-0.42845385625736937
ACH-000638,0.0344039056101193
ACH-000646,-0.12660123303540874
ACH-000647,-0.08890106311703512
ACH-000648,-0.16208442920832294
ACH-000649,-0.17446936674477515
ACH-000651,-0.19941507434607525
ACH-000652,-0.1167623243385812
ACH-000653,-0.024527396095610745
ACH-000657,-0.1278727477003785
ACH-000658,-0.2881966433409933
ACH-000661,-0.16414148929561634
ACH-000662,-0.058173917658842327
ACH-000663,-0.11218215477726916
ACH-000665,-0.1894087911415101
ACH-000671,-0.12122188218175567
ACH-000672,-0.2458627419131713
ACH-000673,-0.140530628017005
ACH-000676,-0.1612876154208429
ACH-000677,-0.10945558988046417
ACH-000681,-0.194763444439184
ACH-000683,-0.23789422252825165
ACH-000684,-0.1186633310993696
ACH-000688,-0.20054097224266093
ACH-000693,-0.2555624760321402
ACH-000694,0.003905115115333153
ACH-000695,-0.10827019302884527
ACH-000696,-0.2385018723317824
ACH-000697,0.02867565851970665
ACH-000699,-0.18940978908469785
ACH-000701,-0.1237111537260872
ACH-000706,-0.1635206362970993
ACH-000711,-0.14875284195308944
ACH-000713,-0.10959832357066934
ACH-000714,-0.2939234746372042
ACH-000718,-0.21700879672903245
ACH-000720,-0.25833411944083506
ACH-000721,-0.2040160398201616
ACH-000724,-0.21582523043993967
ACH-000725,-0.2279841674850309
ACH-000732,-0.2359016008183649
ACH-000734,-0.3238199047283798
ACH-000735,-0.10591797015899697
ACH-000736,-0.2533918960419008
ACH-000738,-0.18151883864253096
ACH-000746,-0.3331630973685931
ACH-000747,-0.12443254730199076
ACH-000748,-0.2392518736176905
ACH-000753,-0.12200954242068805
