,HDGF (3068)
ACH-000004,-0.18457830330552416
ACH-000005,-0.07123037823597837
ACH-000007,0.17481936520921615
ACH-000009,-0.09458418342673804
ACH-000011,-0.1052847124029605
ACH-000012,-0.21443352050951972
ACH-000013,-0.14503626581408505
ACH-000014,-0.2085123613668163
ACH-000015,-0.08027930204525642
ACH-000017,0.037997026733900464
ACH-000018,0.031162764235615075
ACH-000019,-0.038233117647273336
ACH-000021,0.057227253228556416
ACH-000022,-0.06564999334395112
ACH-000025,-0.1329342817248586
ACH-000028,-0.26893682243812456
ACH-000030,-0.11411375566878493
ACH-000035,-0.24172194373793815
ACH-000036,-0.18031887614873496
ACH-000037,-0.1741172033064735
ACH-000039,-0.10091916560404607
ACH-000040,-0.0444993546889937
ACH-000041,-0.09121179683182473
ACH-000042,0.026610590088372958
ACH-000045,-0.20724533466196304
ACH-000047,-0.1621669940482846
ACH-000052,-0.2071223421463036
ACH-000053,-0.02633185356429805
ACH-000054,-0.1061701044481732
ACH-000055,-0.42960962869290464
ACH-000060,-0.2197133937643177
ACH-000067,-0.10795386781562087
ACH-000070,0.2194838783463865
ACH-000075,-0.3140882782094133
ACH-000078,-0.2320927995313836
ACH-000082,-0.16494311144657828
ACH-000085,0.005469217465311616
ACH-000086,-0.2937124654012952
ACH-000087,-0.09516987442269227
ACH-000092,-0.16419164772328473
ACH-000095,-0.19057827330297275
ACH-000097,-0.04942319478437572
ACH-000098,-0.2817727601979929
ACH-000099,-0.20753178529836824
ACH-000108,-0.1217441310185762
ACH-000113,-0.19958698517487594
ACH-000116,0.01812168210930856
ACH-000118,-0.12820508858242474
ACH-000120,-0.22645051067432725
ACH-000123,-0.06734018726968555
ACH-000127,-0.2657105948004921
ACH-000128,-0.15343889969956878
ACH-000132,-0.2481931901638086
ACH-000133,-0.17493967365016622
ACH-000137,0.013620474413079882
ACH-000138,-0.04448610302892913
ACH-000142,-0.17438986237990145
ACH-000143,-0.11918370070363266
ACH-000146,-0.09750132261414858
ACH-000148,-0.02822764369221365
ACH-000150,-0.06608195727703939
ACH-000152,-0.12753350204840105
ACH-000153,-0.23217183948722275
ACH-000159,-0.08021844972516302
ACH-000160,0.19312475429751885
ACH-000163,-0.10437183395328738
ACH-000167,0.5240927597671682
ACH-000168,-0.09906709465026667
ACH-000169,-0.08498328949652012
ACH-000178,-0.11787981087368725
ACH-000183,-0.023989089732073143
ACH-000188,-0.024823530277983348
ACH-000189,-0.18789092922792056
ACH-000190,0.14864719986754724
ACH-000198,-0.1325786723186477
ACH-000203,0.3976694024986223
ACH-000204,-0.416237182217396
ACH-000206,-0.21134949525874624
ACH-000207,0.08500110353804548
ACH-000208,0.09453326301654023
ACH-000210,-0.3152336497828063
ACH-000211,-0.08740282772885095
ACH-000215,-0.06370155112584297
ACH-000221,-0.013975019120505144
ACH-000222,0.10542554017675276
ACH-000223,-0.09327740342703486
ACH-000226,0.013354140326498207
