,RBBP8 (5932)
ACH-000004,-0.9312247942748836
ACH-000005,-0.5762519038309224
ACH-000007,-1.1063881687266872
ACH-000009,-0.7724960572551447
ACH-000011,-0.8518418849343639
ACH-000012,-0.7377339948232009
ACH-000013,-0.7524751535145395
ACH-000014,-0.9053543447997058
ACH-000015,-0.8590291083213893
ACH-000017,-0.6642362634259614
ACH-000018,-0.8602593485019082
ACH-000019,-0.5704565806106441
ACH-000021,-0.7408444888876483
ACH-000022,-0.25588635466292564
ACH-000025,-0.9241107740716064
ACH-000028,-0.7016173471845373
ACH-000030,-0.7354175178778944
ACH-000035,-0.8877664301099422
ACH-000036,-0.8799002783913608
ACH-000037,-0.6752229696119798
ACH-000039,-0.4408444682677666
ACH-000040,-0.6066660592756429
ACH-000041,-0.6287592824483186
ACH-000042,-0.5866990097680238
ACH-000045,-0.7046416094353203
ACH-000047,-0.6809380067945681
ACH-000052,-0.7576562697151747
ACH-000053,-0.7690553016695592
ACH-000054,-0.9641601733854166
ACH-000055,-0.6813509436523061
ACH-000060,-0.9253172411193354
ACH-000067,-0.8498120541404229
ACH-000070,-0.7057071642310994
ACH-000075,-0.7388492041567492
ACH-000078,-0.7688349636140192
ACH-000082,-0.8188592984159921
ACH-000085,-0.9171956765219872
ACH-000086,-0.6738125584441387
ACH-000087,-0.9328293656487628
ACH-000092,-0.6176307687742842
ACH-000095,-0.8734575275542998
ACH-000097,-0.7067668781338393
ACH-000098,-0.7854759071650504
ACH-000099,-0.8144491982781958
ACH-000108,-0.7883112802088968
ACH-000113,-0.7298436989442052
ACH-000116,-0.7711265885063308
ACH-000118,-0.8519937150275217
ACH-000120,-0.8776401030677227
ACH-000123,-0.7707702406699013
ACH-000127,-0.7166823743760861
ACH-000128,-0.7089033158820486
ACH-000132,-1.086906204224496
ACH-000133,-0.3771145120322317
ACH-000137,-0.9415107383605824
ACH-000138,-0.6710366766430502
ACH-000142,-0.6380403044912653
ACH-000143,-0.7048039299558511
ACH-000146,-0.6948632976284929
ACH-000148,-0.7972117463056518
ACH-000150,-0.8321211593763229
ACH-000152,-0.8784992214085202
ACH-000153,-0.8465760454128406
ACH-000159,-0.8934905183168269
ACH-000160,-0.5171537456707743
ACH-000163,-0.5427654243256991
ACH-000167,-0.6630529830745648
ACH-000168,-0.5526216398404219
ACH-000169,-0.8583946359199369
ACH-000178,-0.8062850352054114
ACH-000183,-0.7433902615507559
ACH-000188,-0.6187577322824088
ACH-000189,-0.6882902970070546
ACH-000190,-0.47694428316600396
ACH-000198,-0.5933554497057336
ACH-000203,-1.3508380505154762
ACH-000204,-0.7490817602175299
ACH-000206,-0.8022637964900626
ACH-000207,-0.3554705582675295
ACH-000208,-0.8375012191797437
ACH-000210,-0.7420612518939302
ACH-000211,-0.935271843627492
ACH-000215,-0.6576316207597862
ACH-000221,-1.0084079066181826
ACH-000222,-0.6160110482039075
ACH-000223,-0.9341403256919504
ACH-000226,-0.6492526625319289
ACH-000227,-0.7919232794519865
ACH-000228,-1.0413881289219131
ACH-000231,-0.7901182654731934
ACH-000232,-0.8690985763571313
ACH-000233,-0.8852916128134686
ACH-000234,-0.856914691674761
ACH-000235,-0.7661357126519588
ACH-000237,-0.7817360707670156
ACH-000238,-0.4209201144296492
ACH-000242,-0.8012698948985923
ACH-000243,-0.800847690649381
ACH-000244,-1.0027540261873522
ACH-000246,-1.1156647748540731
ACH-000248,-0.6450161006478004
ACH-000250,-0.902242305020915
ACH-000251,-0.7885079570245845
ACH-000252,-0.8479969007651107
ACH-000253,-0.8194720099650429
ACH-000255,-0.9510343907388924
ACH-000256,-0.644138690427449
ACH-000257,-0.8392936807263957
ACH-000258,-0.519274907535941
ACH-000259,-0.811463221909409
ACH-000260,-0.6975030177399624
ACH-000261,-0.7759973267852771
ACH-000262,-0.8535164053559077
ACH-000263,-0.5887019168933824
ACH-000264,-0.8430725020489312
ACH-000265,-0.7254999414118127
ACH-000266,-1.1453051195421962
ACH-000272,-0.6866464690818255
ACH-000274,-0.8780764153986956
ACH-000277,-0.6252719578771141
ACH-000278,-0.9361996763977958
ACH-000279,-0.6299520128274033
ACH-000280,-0.7904625355829382
ACH-000281,-0.9379666335588482
ACH-000288,-0.5481889945718741
ACH-000291,-0.5666008462432539
ACH-000293,-0.5375167901928279
ACH-000294,-0.5923847308016132
ACH-000295,-0.8271689628407491
ACH-000296,-0.8822411997644929
ACH-000302,-0.6222981081546156
ACH-000304,-0.8165941123025265
ACH-000307,-0.7406367218201991
ACH-000308,-0.7687739367310368
ACH-000310,-0.7958312265043619
ACH-000311,-0.661219138999299
ACH-000312,-0.8480369981981108
ACH-000315,-0.9023687278167976
ACH-000316,-0.7167720167312264
ACH-000317,-0.8077588275768354
ACH-000318,-0.5904498311946462
ACH-000319,-0.7920274836642381
ACH-000320,-0.6339965923473551
ACH-000322,-1.0763283583729129
ACH-000323,-0.652441419071005
ACH-000324,-0.888420356957072
ACH-000329,-0.6397638665610491
ACH-000330,-0.8783262523760413
ACH-000331,-0.8870985984059058
ACH-000332,-0.9527605155799364
ACH-000334,-0.7267634166679817
ACH-000335,-0.6802108867276389
ACH-000336,-0.8781012488643289
ACH-000337,-0.686047952464327
ACH-000338,-1.0279640171593172
ACH-000339,-0.7219095722639692
ACH-000341,-0.5235414209940119
ACH-000348,-0.8380169708240998
ACH-000350,-0.7762134189384644
