,TPRG1L (127262)
ACH-000004,-0.00304407568164429
ACH-000005,0.02213754655820705
ACH-000007,-0.13636652894504073
ACH-000009,-0.04431518207424524
ACH-000011,-0.16194658660007874
ACH-000012,-0.07423847637789527
ACH-000013,-0.03991302879430909
ACH-000014,-0.03757633855080426
ACH-000015,-0.19069623402574454
ACH-000017,-0.06316156196889303
ACH-000018,-0.32188731026521084
ACH-000019,-0.05410831509391506
ACH-000021,-0.07375563676471494
ACH-000022,-0.07396131358008172
ACH-000025,-0.19392067150603853
ACH-000028,-0.04809937011845237
ACH-000030,-0.017813396410509278
ACH-000035,-0.07865705739465079
ACH-000036,-0.12580098230956507
ACH-000037,-0.10667939259543616
ACH-000039,-0.1359012540320721
ACH-000040,-0.185841508637788
ACH-000041,-0.2663918312225165
ACH-000042,-0.16831012846828491
ACH-000045,-0.073750026930996
ACH-000047,-0.15503420330727571
ACH-000052,-0.08109151868114813
ACH-000053,-0.09110584469433552
ACH-000054,-0.3675399967595421
ACH-000055,-0.16724523796908766
ACH-000060,-0.12678677976705074
ACH-000067,-0.2284416081814235
ACH-000070,-0.18429339918123508
ACH-000075,-0.27812397634748
ACH-000078,-0.10765721620738256
ACH-000082,-0.09103785699828827
ACH-000085,-0.04180500732264922
ACH-000086,-0.25329761880520546
ACH-000087,-0.07734414836720879
ACH-000092,-0.16305150958505427
ACH-000095,-0.0910703514624118
ACH-000097,-0.14827235985777085
ACH-000098,-0.027961395525758152
ACH-000099,-0.14601211888786111
ACH-000108,-0.40980547960124697
ACH-000113,0.006283133087384996
ACH-000116,-0.20645397805402355
ACH-000118,-0.08525500721780194
ACH-000120,-0.288000622566505
ACH-000123,-0.03993709463284704
ACH-000127,-0.009754686257268766
ACH-000128,0.1055637866238983
ACH-000132,0.08926861720313838
ACH-000133,-0.12198353524924233
ACH-000137,-0.031683412630943666
ACH-000138,-0.0962959374110524
ACH-000142,-0.11284440181767165
ACH-000143,-0.20465601717364024
ACH-000146,0.06701413138678466
ACH-000148,-0.00047095843608999013
ACH-000150,-0.3476928102823402
ACH-000152,-0.24962831502871125
ACH-000153,-0.035334118721413704
ACH-000159,-0.11551107137547502
ACH-000160,-0.05423321335038568
ACH-000163,-0.06432377776864895
ACH-000167,0.2441107176959391
ACH-000168,-0.11978307751540936
ACH-000169,-0.01821139415390329
ACH-000178,-0.21429614244694067
ACH-000183,-0.2422070470288765
ACH-000188,-0.09242434902239796
ACH-000189,-0.3796963524219599
ACH-000190,-0.054914871161390336
ACH-000198,-0.04464786502249122
ACH-000203,-0.1496264272006132
ACH-000204,-0.08972856014410321
ACH-000206,0.1409310100332291
ACH-000207,-0.08137126540481532
ACH-000208,0.06353098224619161
ACH-000210,-0.4075974827489029
ACH-000211,-0.07305803759086259
ACH-000215,-0.062289466850246826
ACH-000221,-0.14286494170218916
ACH-000222,-0.0012669809522735226
ACH-000223,-0.08377988768788422
ACH-000226,0.0012149765140959964
ACH-000227,-0.12731307282502727
ACH-000228,-0.055078508257359535
ACH-000231,-0.07925843977028117
ACH-000232,-0.07613222492236615
ACH-000233,-0.1096746177941682
ACH-000234,-0.19749478795199485
ACH-000235,-0.07508561320808757
ACH-000237,-0.12840727951010464
ACH-000238,-0.10524503293834712
ACH-000242,-0.3095639467966609
ACH-000243,-0.12099190592713645
ACH-000244,-0.01350602017196722
ACH-000246,-0.1723181053825195
ACH-000248,0.04421556982300052
ACH-000250,-0.12487526184243385
ACH-000251,-0.032001808847284284
ACH-000252,-0.12683750992552134
ACH-000253,-0.05349638021037687
ACH-000255,-0.21910507915704994
ACH-000256,-0.2275777606548549
ACH-000257,-0.3794047333171313
ACH-000258,-0.16024124145623014
ACH-000259,-0.025703094280657448
ACH-000260,-0.011988131848685078
ACH-000261,-0.15115198094511353
ACH-000262,-0.0043353769542941855
ACH-000263,0.08950278268894095
ACH-000264,-0.08555325541418263
ACH-000265,-0.0572935771682465
ACH-000266,-0.1021411789921456
ACH-000272,-0.2294188282849467
ACH-000274,-0.16877870481493046
ACH-000277,-0.2249299683965568
ACH-000278,-0.017129136937273342
ACH-000279,-0.16694121698466996
ACH-000280,-0.16642752748585182
ACH-000281,-0.19797124128364396
ACH-000288,-0.2697055675647766
ACH-000291,-0.10396381137610247
ACH-000293,-0.2433185911800907
ACH-000294,-0.11857976921386082
ACH-000295,-0.19024231539544215
ACH-000296,0.043211298529464655
ACH-000302,-0.1689812437401238
ACH-000304,0.027351490349314916
ACH-000307,-0.17873567660567127
ACH-000308,-0.09579256710706617
ACH-000310,-0.08183870403196003
ACH-000311,-0.08151238206020113
ACH-000312,-0.2393368550976105
ACH-000315,-0.3006910835206839
ACH-000316,-0.1532053977295494
ACH-000317,-0.1132453242252927
ACH-000318,-0.045359789660862605
ACH-000319,-0.02037833687273281
ACH-000320,-0.14262882377360245
ACH-000322,-0.10845273237213013
ACH-000323,-0.3047062000807904
ACH-000324,0.021935374852360755
ACH-000329,-0.20181855524446465
ACH-000330,-0.3006173425204113
ACH-000331,-0.058871199176922635
ACH-000332,-0.14734278305163606
ACH-000334,-0.1050761183942516
ACH-000335,-0.061931427715848364
ACH-000336,-0.11854740156366178
ACH-000337,0.01972833536945654
ACH-000338,-0.5513027158141781
ACH-000339,-0.04777154010747544
ACH-000341,-0.08554054278077082
ACH-000348,-0.052487224945487285
ACH-000350,-0.0757349396138558
ACH-000352,-0.044222757350593465
ACH-000356,-0.10350273623641497
ACH-000361,-0.15536452903517226
ACH-000362,-0.2502321525108487
ACH-000363,0.026515801965355117
ACH-000364,-0.2337007737835
ACH-000365,0.034537377386495954
ACH-000366,-0.2797417261426751
ACH-000368,-0.2692224255205197
ACH-000374,-0.1413593581231316
ACH-000375,-0.22204957782280602
ACH-000376,-0.08780715198544244
ACH-000381,-0.06533687590132073
ACH-000383,-0.08343567737703614
ACH-000387,-0.0818750520694858
ACH-000389,-0.2053319038813748
ACH-000390,-0.0662624314797457
ACH-000393,-0.14596104637205334
ACH-000395,-0.3259955613761051
ACH-000396,-0.1619274526582984
ACH-000397,-0.05452713367752533
ACH-000401,0.15970921970401458
ACH-000402,0.08370449125421456
ACH-000403,-0.1387865737722024
ACH-000404,-0.2597548705506013
ACH-000406,-0.14179594450815894
ACH-000407,-0.1869280229178848
ACH-000408,-0.3501109584470877
ACH-000410,-0.007938856725592861
ACH-000411,-0.2225600102640739
ACH-000414,-0.0919228972376358
ACH-000415,-0.029728777096012862
ACH-000416,-0.18100620082571348
ACH-000420,-0.1770331435173022
ACH-000421,-0.15141352026786886
ACH-000424,-0.07829556302320721
ACH-000425,-0.05000605450424445
ACH-000426,-0.11776151192883855
ACH-000427,-0.002380834403478047
ACH-000433,-0.26363132980331383
ACH-000435,-0.0614901099713249
ACH-000436,-0.13525052653984762
ACH-000444,0.02460525131041652
