,PSORS1C1 (170679)
ACH-000004,-0.03798809135854611
ACH-000005,0.28138219394119995
ACH-000007,0.05257427632158821
ACH-000009,-0.031751563978087094
ACH-000011,0.06804326272660409
ACH-000012,-0.07898607735855079
ACH-000013,-0.051427442406150416
ACH-000014,-0.04916709810762045
ACH-000015,-0.0252504777406437
ACH-000017,0.012066282521311708
ACH-000018,0.006245126164492738
ACH-000019,0.05609085653239234
ACH-000021,-0.011765473165869131
ACH-000022,-0.0712991971053332
ACH-000025,-0.060393442841526965
ACH-000028,-0.031525122642089315
ACH-000030,-0.06611810015258869
ACH-000035,-0.03318004945314673
ACH-000036,-0.16103418538005235
ACH-000037,-0.01986371786641484
ACH-000039,-0.1545958680711579
ACH-000040,0.007760224245433349
ACH-000041,-0.018767150150303842
ACH-000042,-0.06367443339268343
ACH-000045,-0.10013765286302996
ACH-000047,-0.016032267456598713
ACH-000052,-0.03061846184994726
ACH-000053,-0.05264199729418653
ACH-000054,-0.002665671540302132
ACH-000055,-0.1777524416854073
ACH-000060,-0.06486885738126395
ACH-000067,-0.025814304606417454
ACH-000070,0.05523750184969568
ACH-000075,0.047344207711776345
ACH-000078,-0.1189322414480536
ACH-000082,-0.07688355927066093
ACH-000085,0.030752655411803127
ACH-000086,0.05053215553572949
ACH-000087,-0.025092945917598825
ACH-000092,-0.025341273916000853
ACH-000095,0.06548112712590731
ACH-000097,-0.018053729905889142
ACH-000098,-0.07026342343731815
ACH-000099,0.00528130883867579
ACH-000108,0.054461926617458835
ACH-000113,-0.0004650518427336386
ACH-000116,-0.05828985841258837
ACH-000118,-0.02563089510174077
ACH-000120,-0.05999076346279689
ACH-000123,0.029717327265583567
ACH-000127,0.011928191509019106
ACH-000128,-0.16651558885287948
ACH-000132,-0.00138544508635055
ACH-000133,-0.0846334299203568
ACH-000137,0.10055882235720152
ACH-000138,0.018248294669290625
ACH-000142,-0.008358018034860895
ACH-000143,0.058989822726552774
ACH-000146,-0.012785444248170809
ACH-000148,-0.0238347893486591
ACH-000150,-0.016315459145317422
ACH-000152,-0.008281910536645629
ACH-000153,-0.06577410089515145
ACH-000159,-0.03512795083216928
ACH-000160,-0.014644166883348844
ACH-000163,0.0012663550514624687
