,ASNA1 (439)
ACH-000004,-0.3880584559454729
ACH-000005,-0.7309172694212172
ACH-000007,-0.7360134113611578
ACH-000009,-1.0331648599156256
ACH-000011,-0.8316707634366973
ACH-000012,-0.8343764696234863
ACH-000013,-0.6192569685174769
ACH-000014,-0.8298468599673081
ACH-000015,-0.6712213216418358
ACH-000017,-1.2059081791147803
ACH-000018,-0.7014185626939664
ACH-000019,-0.4305853761376789
ACH-000021,-0.9277046134022467
ACH-000022,-0.8733553093581384
ACH-000025,-0.6783585199994635
ACH-000028,-0.3914490363057187
ACH-000030,-1.0003646834458242
ACH-000035,-0.8184965443895592
ACH-000036,-0.5576900416301637
ACH-000037,-0.4276300460922369
ACH-000039,-0.4268939247388183
ACH-000040,-0.7030404932900426
ACH-000041,-0.3759288330757916
ACH-000042,-0.4841401544002138
ACH-000045,-0.5515329334696529
ACH-000047,-0.7658384033446374
ACH-000052,-0.9757369046884398
ACH-000053,-0.5267702790050653
ACH-000054,-0.17861376411658902
ACH-000055,-0.8547304700265256
ACH-000060,-0.8809655279708726
ACH-000067,-0.6689976548411365
ACH-000070,-0.8148462013281906
ACH-000075,-0.3327180036758866
ACH-000078,-0.6756714433878571
ACH-000082,-0.39087988962077663
ACH-000085,-1.23103261743564
ACH-000086,-1.0758970794936449
ACH-000087,-0.7926674207821849
ACH-000092,-0.7127528227699403
ACH-000095,-0.6663346907686534
ACH-000097,-0.8778918323813435
ACH-000098,-0.7685617731617346
ACH-000099,-0.8510112480784922
ACH-000108,-0.8605819951796457
ACH-000113,-0.8649074090126073
ACH-000116,-0.7584489798954112
ACH-000118,-0.4959249443537771
ACH-000120,-0.6785613685878994
ACH-000123,-0.7203629980416045
ACH-000127,-0.5214195502502353
ACH-000128,-0.5578607943200351
ACH-000132,-0.9059056150375302
ACH-000133,-0.6502762336502829
ACH-000137,-0.4446677314865871
ACH-000138,-0.8060514133024738
ACH-000142,-0.7078040910747301
ACH-000143,-0.7693204109586822
ACH-000146,-0.9050321970638481
ACH-000148,-0.7066501345760486
ACH-000150,-0.5781398689183614
ACH-000152,-0.8016563282764481
ACH-000153,-0.6595971326378602
ACH-000159,-0.7688095653399429
ACH-000160,-0.4770037064761887
ACH-000163,-0.8990160937451632
ACH-000167,-0.4831277037396983
ACH-000168,-0.9169876769412172
ACH-000169,-0.7673708829167996
ACH-000178,-0.741075756461691
ACH-000183,-0.7779332783671657
ACH-000188,-0.8337650600692761
ACH-000189,-0.833614159565634
ACH-000190,-0.6741935025083636
ACH-000198,-0.4625614920173495
ACH-000203,-0.7703290964685061
ACH-000204,-0.9975239778475152
ACH-000206,-0.803081035568506
ACH-000207,-0.7289117343639961
ACH-000208,-0.7897137707901656
ACH-000210,-0.5744238860306429
ACH-000211,-0.4561099226708626
ACH-000215,-0.6021533236669353
ACH-000221,-0.9810765757651309
ACH-000222,-0.8031843978744928
ACH-000223,-0.6127813925262305
ACH-000226,-0.5650611865430047
ACH-000227,-0.5012728897982244
ACH-000228,-0.6369993159845867
ACH-000231,-0.7511349845138808
ACH-000232,-0.5015024989719048
ACH-000233,-0.9687160924426486
ACH-000234,-1.106063668082381
ACH-000235,-0.7709289743659283
ACH-000237,-0.6889862506628427
ACH-000238,-1.058861587489396
ACH-000242,-0.7979512549422796
ACH-000243,-0.8261558306189885
ACH-000244,-0.9211757433434876
ACH-000246,-0.9630605807150422
ACH-000248,-1.0296831361511136
ACH-000250,-0.9781077949438524
ACH-000251,-0.3269702575083872
ACH-000252,-0.5070791422633762
ACH-000253,-0.8777850583211858
ACH-000255,-0.4225800478485906
ACH-000256,-0.4995886502262516
ACH-000257,-0.8777730170401294
ACH-000258,-0.8371773713447183
ACH-000259,-0.693435131265962
ACH-000260,-0.5590443497642785
ACH-000261,-0.4911809833402327
ACH-000262,-0.7412571360510196
ACH-000263,-0.6498419587286589
ACH-000264,-0.8262005550438258
ACH-000265,-0.3177000606017378
ACH-000266,-0.2699915258568697
ACH-000272,-0.9582403557181716
ACH-000274,-0.2386495934813397
ACH-000277,-0.6610433156749271
ACH-000278,-0.7953101799063261
ACH-000279,-0.7644528440108916
ACH-000280,-0.6880865710522189
ACH-000281,-0.7900353774363373
ACH-000288,-0.8300954445285283
ACH-000291,-0.5091224643550383
ACH-000293,-0.6767020680030127
ACH-000294,-1.1177556164276978
ACH-000295,-0.6443321254015799
ACH-000296,-0.8692810178210388
ACH-000302,-0.5018531754442983
ACH-000304,-0.7321923408541111
ACH-000307,-0.8891787459715079
ACH-000308,-0.3797402012088441
ACH-000310,-0.4008383926173815
ACH-000311,-0.7194187124268809
ACH-000312,-0.6085919066334953
ACH-000315,-0.9668021960720824
ACH-000316,-0.4660585217376726
ACH-000317,-0.7496175655552162
ACH-000318,-0.97661618293192
ACH-000319,-0.4505046905471316
ACH-000320,-0.8311396496585208
ACH-000322,-0.5505875212509351
ACH-000323,-0.4019183362331299
ACH-000324,-0.8865298479483248
ACH-000329,-0.3905773078097167
ACH-000330,-0.501362602232411
ACH-000331,-0.781221647093885
ACH-000332,-0.6050481870188732
ACH-000334,-0.8020043336634292
ACH-000335,-0.6636943038085804
ACH-000336,-0.8283261703952156
ACH-000337,-0.544078789041709
ACH-000338,-0.9016228929936873
ACH-000339,-0.4019142800826284
ACH-000341,-0.5395334334486751
ACH-000348,-0.5987760062483604
ACH-000350,-0.5870255548512628
ACH-000352,-0.3733852315411849
ACH-000356,-0.5818442667458865
ACH-000361,-0.6497285885912358
ACH-000362,-0.8821944059414586
ACH-000363,-0.4514875303309205
ACH-000364,-0.8272489905404147
ACH-000365,-0.7947544685228085
ACH-000366,-0.6909548268340016
ACH-000368,-0.8523713963412448
ACH-000374,-0.4314093615180967
ACH-000375,-0.3928680674451375
ACH-000376,-0.8404290707347267
ACH-000381,-0.7405476435886149
ACH-000383,-0.5778096413047838
ACH-000387,-0.6208091052239275
ACH-000389,-0.7337077519446538
ACH-000390,-1.064447019476818
ACH-000393,-0.4932232969399946
ACH-000395,-1.0683434902498754
ACH-000396,-0.5096490157407336
ACH-000397,-0.6543727078568562
ACH-000401,-1.1033132940438657
ACH-000402,-0.90953266652435
ACH-000403,-0.6317598039134381
ACH-000404,-0.8039441125790177
ACH-000406,-0.929106876133225
ACH-000407,-0.4947291673146369
ACH-000408,-0.8501177100608804
ACH-000410,-0.7308771530952749
ACH-000411,-0.8078987413843158
ACH-000414,-1.0480930581660972
ACH-000415,-0.8308880150246176
ACH-000416,-0.35699603468330954
ACH-000420,-0.8825724147508067
ACH-000421,-0.3952378858798395
ACH-000424,-0.8535376118675759
ACH-000425,-0.7244555834469523
ACH-000426,-0.7381605807616426
ACH-000427,-0.7666189431110759
ACH-000433,-0.8357184006603761
ACH-000435,-1.1279352945770775
ACH-000436,-0.5421587787677425
ACH-000444,-0.8329617227622752
ACH-000445,-0.9445205187050072
ACH-000448,-0.5182445432990093
ACH-000450,-0.5208464770634965
ACH-000452,-0.8887788162691361
ACH-000454,-0.9225745445922608
ACH-000458,-0.678344856296402
ACH-000459,-0.8330673528879279
ACH-000460,-0.5911823192345856
ACH-000461,-0.89946492889195
ACH-000463,-0.7166694805736226
ACH-000464,-0.4623859696060363
ACH-000466,-0.5380082828724372
ACH-000467,-0.8425317312213778
ACH-000468,-0.5689101350360944
ACH-000469,-0.8566414860385412
ACH-000470,-0.6538877817461787
ACH-000471,-1.0240051004352464
ACH-000472,-0.6961402123588769
ACH-000473,-0.9802554995329178
ACH-000475,-0.7884594752655341
ACH-000476,-0.7003840243273165
ACH-000477,-0.6294377256403367
ACH-000479,-0.958750732558182
ACH-000480,-0.9480164453275992
ACH-000481,-0.8178471582894403
ACH-000483,-0.5607326430275499
ACH-000484,-1.0809705205329363
ACH-000485,-0.35070306549283026
ACH-000486,-0.7255203210566148
ACH-000487,-0.6617055501172101
ACH-000488,-0.6059315409144636
ACH-000490,-0.959752114273454
ACH-000491,-0.9719673413240841
ACH-000495,-0.9927186747989736
ACH-000496,-0.8951692191951093
ACH-000499,-0.8352184759972298
ACH-000500,-0.258078452987552
ACH-000502,-0.2587527895051715
ACH-000503,-0.834077039499619
ACH-000505,-0.5342334262598776
ACH-000507,-0.6593413953738247
ACH-000510,-0.7504224524506675
ACH-000511,-0.3176205203467308
ACH-000512,-1.0350433635247458
ACH-000516,-0.5645373805522935
