,NTHL1 (4913)
ACH-000004,0.04993573393320543
ACH-000005,-0.01173351170402828
ACH-000007,-0.21867918941582534
ACH-000009,-0.04935237937475096
ACH-000011,-0.20701782380163744
ACH-000012,-0.10861457242768613
ACH-000013,-0.0912526273125933
ACH-000014,-0.06609848721279762
ACH-000015,-0.06965927226088879
ACH-000017,-0.21045044093631474
ACH-000018,-0.10426638284156456
ACH-000019,-0.18924890993972496
ACH-000021,-0.058568629445462116
ACH-000022,-0.1916196210721167
ACH-000025,-0.3225765471220557
ACH-000028,-0.010251732684070206
ACH-000030,0.010789622065472472
ACH-000035,-0.07814890426181707
ACH-000036,-0.1949575112289868
ACH-000037,-0.14347448007259228
ACH-000039,-0.07874379004951364
ACH-000040,-0.1956505236810952
ACH-000041,-0.054874362483585806
ACH-000042,-0.08469905577455415
ACH-000045,-0.08309260742380019
ACH-000047,0.06209975044437335
ACH-000052,-0.2487453503381513
ACH-000053,-0.04947829367434733
ACH-000054,-0.27273640085037937
ACH-000055,-0.18035556607818629
ACH-000060,-0.2129571691246222
ACH-000067,-0.21015971087726254
ACH-000070,-0.10453717326232767
ACH-000075,-0.2547337104757245
ACH-000078,0.05350245515314071
ACH-000082,-0.16658999882858694
ACH-000085,-0.2463977747558516
ACH-000086,0.029453420687342937
ACH-000087,-0.1063874099787521
ACH-000092,-0.208073997679072
ACH-000095,-0.12413773250003747
ACH-000097,-0.22269738759457186
ACH-000098,-0.10912409891577243
ACH-000099,-0.211602311411732
ACH-000108,-0.11728241394477935
ACH-000113,-0.015967723584649728
ACH-000116,-0.20112868506593534
ACH-000118,-0.1043606588665968
ACH-000120,-0.07031237150978151
ACH-000123,-0.20158796280513666
ACH-000127,0.1269398665358537
ACH-000128,-0.17084879925521046
ACH-000132,-0.0903155531747473
ACH-000133,-0.26620639161483955
ACH-000137,-0.2572381535431586
ACH-000138,-0.04583590763430899
ACH-000142,-0.1042004567856252
ACH-000143,-0.2319670403198767
ACH-000146,-0.009993442264102365
ACH-000148,-0.17957554791823702
ACH-000150,0.003934522109753554
ACH-000152,-0.07702360702337889
ACH-000153,-0.1666101650355606
ACH-000159,-0.3329602141919898
ACH-000160,-0.1334068893184472
ACH-000163,-0.08573265639840608
ACH-000167,-0.11497077748847168
ACH-000168,-0.2030558808337277
ACH-000169,-0.2213933204598132
ACH-000178,-0.14473610041172452
ACH-000183,0.12621023904695655
ACH-000188,-0.20337310331339745
ACH-000189,-0.4570569789674684
ACH-000190,-0.32978070771988
ACH-000198,0.03129454713093428
ACH-000203,0.8508891341549154
ACH-000204,-0.5359556810307711
ACH-000206,-0.006217501401452497
ACH-000207,-0.16757228817335634
ACH-000208,-0.5123939348586768
ACH-000210,0.2337075473831356
ACH-000211,-0.15274320076637155
ACH-000215,0.03037357203358075
ACH-000221,0.00871047552528706
ACH-000222,-0.09529678513229142
ACH-000223,-0.20372137996818604
ACH-000226,-0.030656714244886182
ACH-000227,-0.20438029214957326
ACH-000228,-0.056351458584448136
ACH-000231,-0.12163700560240938
ACH-000232,-0.2186524271139468
ACH-000233,0.06287231136628886
ACH-000234,-0.09550299599287604
ACH-000235,-0.17205731382592854
ACH-000237,-0.1986210531417945
ACH-000238,-0.19171760472882265
ACH-000242,-0.02534766034446708
ACH-000243,-0.08013375220021256
ACH-000244,0.20889989535584666
ACH-000246,-0.2672655720876068
ACH-000248,0.011031171425307304
ACH-000250,-0.2185982751251433
ACH-000251,-0.024719514256617208
ACH-000252,-0.4768856544875117
ACH-000253,-0.0712767372870925
ACH-000255,0.013152014530115169
ACH-000256,-0.06087506064711564
ACH-000257,-0.26900191955472663
ACH-000258,-0.31631217621183866
ACH-000259,-0.12413439269583346
ACH-000260,0.0075036121935143285
ACH-000261,-0.12212664855432916
ACH-000262,-0.026471823313034853
ACH-000263,-0.4469796284875594
ACH-000264,-0.0740502587804011
ACH-000265,-0.14309164095289306
ACH-000266,-0.11365349363324175
ACH-000272,-0.19150111214039586
ACH-000274,-0.15690148149222452
ACH-000277,-0.2913121374728445
ACH-000278,-0.11421208780266665
ACH-000279,-0.041403558197808346
ACH-000280,-0.15534798541442224
ACH-000281,-0.09653925743262133
ACH-000288,-0.12206924628182796
ACH-000291,-0.10311371789065464
ACH-000293,0.016556953407281038
ACH-000294,0.07793120634109743
ACH-000295,-0.2665407429720069
ACH-000296,-0.1457057004536552
ACH-000302,-0.10903113710266954
ACH-000304,0.05778290473600042
ACH-000307,-0.13978762320671773
ACH-000308,-0.05637386091976339
ACH-000310,-0.3298576466538369
ACH-000311,0.039740921302030316
ACH-000312,-0.028674880360216717
ACH-000315,0.24933815072482104
ACH-000316,-0.09234491105150318
ACH-000317,-0.11955296290539692
ACH-000318,-0.1689275224392139
ACH-000319,-0.10635351324746244
ACH-000320,-0.06826610658436215
ACH-000322,0.005076519498634205
ACH-000323,-0.09541478664054996
ACH-000324,-0.2837220425034757
ACH-000329,-0.2667692095026791
ACH-000330,0.11730930044889915
ACH-000331,-0.25580068970108
ACH-000332,-0.1465873968537184
ACH-000334,-0.1342870715878966
ACH-000335,-0.19279177189220112
ACH-000336,0.30436957861271985
ACH-000337,0.03942026066197175
ACH-000338,-0.14628475205280353
ACH-000339,-0.1203166559018606
ACH-000341,-0.08125943469378571
ACH-000348,-0.11203532410982048
ACH-000350,-0.0013141294833614128
ACH-000352,-0.09389952960937074
ACH-000356,-0.22387769090458426
ACH-000361,0.08440451942888481
ACH-000362,-0.1844561012040606
ACH-000363,-0.24311869848898116
ACH-000364,-0.07965560023381944
ACH-000365,-0.11771571113949955
ACH-000366,-0.062304322685016136
ACH-000368,-0.014104903543747034
ACH-000374,-0.10626229401741033
ACH-000375,-0.07693731067382391
ACH-000376,0.0216209884232232
ACH-000381,-0.02165588255912608
ACH-000383,-0.1151633529313517
ACH-000387,-0.1164387657959173
ACH-000389,-0.0714298969689511
ACH-000390,-0.1730276015754168
ACH-000393,-0.18340556193091126
ACH-000395,0.13320706001305596
ACH-000396,0.0784750733576941
ACH-000397,-0.04661859948989981
ACH-000401,-0.12758108935873294
ACH-000402,0.0322382792821838
ACH-000403,-0.16349293623351555
ACH-000404,0.07974089477656797
ACH-000406,0.09380692503160597
ACH-000407,-0.07882585018486292
