,CASC4 (113201)
ACH-000004,-0.060000955251893785
ACH-000005,0.07229335451454373
ACH-000007,0.022913518869688437
ACH-000009,-0.08893426377654355
ACH-000011,-0.0033320651714787808
ACH-000012,-0.16655282554496426
ACH-000013,-0.0021765537173969807
ACH-000014,0.3340031445813479
ACH-000015,-0.10115341279347607
ACH-000017,-0.026584449845792932
ACH-000018,0.08236215977018656
ACH-000019,0.2125050375993028
ACH-000021,0.06803584076692636
ACH-000022,-0.013963436807373941
ACH-000025,-0.05822305783126406
ACH-000028,0.08828333932470467
ACH-000030,-0.1576523139887907
ACH-000035,0.005740081462039811
ACH-000036,0.1305832446367467
ACH-000037,-0.2712061231903923
ACH-000039,-0.13520728910971755
ACH-000040,0.09557946570737057
ACH-000041,0.12336000579835445
ACH-000042,-0.035727765678980644
ACH-000045,0.102377470827078
ACH-000047,-0.03911069407134282
ACH-000052,0.10380126296505177
ACH-000053,0.07576589407899201
ACH-000054,-0.002090498035712119
ACH-000055,0.002814469422343685
ACH-000060,0.032385014610985315
ACH-000067,-0.23932472892428544
ACH-000070,0.16229819244296784
ACH-000075,-0.0014462925545702587
ACH-000078,0.040806997134876836
ACH-000082,-0.1049526530110843
ACH-000085,0.2778822721195891
ACH-000086,0.05708378336343978
ACH-000087,-0.1337732321374841
ACH-000092,0.048492580771713305
ACH-000095,0.03661253204631218
ACH-000097,0.08336407337033015
ACH-000098,0.1125309210952566
ACH-000099,0.07125121641303929
ACH-000108,-0.043073381604599364
ACH-000113,0.15185976929655318
ACH-000116,0.07758966925312198
ACH-000118,0.08698941172710553
ACH-000120,0.041203213027940416
ACH-000123,-0.04512140650468311
ACH-000127,0.029396690469340618
ACH-000128,-0.01904290003614533
ACH-000132,-0.1307313792557608
ACH-000133,0.12224880067762263
ACH-000137,-0.02695389665510952
ACH-000138,0.1312389323985742
ACH-000142,0.03652476001142042
ACH-000143,0.08732416437572205
ACH-000146,0.1667337551492212
ACH-000148,-0.015679653226632402
ACH-000150,0.024542165424881624
ACH-000152,-0.08821896779434582
ACH-000153,-0.17941417371968252
ACH-000159,-0.1616756937326249
ACH-000160,0.03470866887980771
ACH-000163,-0.10328197304398287
ACH-000167,0.01973366939939411
ACH-000168,0.06323503151583168
ACH-000169,-0.06120751970634099
ACH-000178,-0.050855826913512814
ACH-000183,0.046138249358059664
ACH-000188,-0.010884131152662265
ACH-000189,0.2603060136052273
ACH-000190,-0.009997136988242285
ACH-000198,0.038140236131172914
ACH-000203,0.10107257404857033
ACH-000204,0.060473483165744385
ACH-000206,-0.2560279924965659
ACH-000207,0.04880033226736925
ACH-000208,0.28099409093619204
ACH-000210,0.17879019637525947
ACH-000211,-0.12826477209339696
ACH-000215,0.08316121340174415
ACH-000221,-0.0028180259049546933
ACH-000222,0.14050842447609987
ACH-000223,0.0108938867930074
ACH-000226,-0.08669337899917509
ACH-000227,-0.13866129191973794
ACH-000228,-0.02328271350775118
ACH-000231,-0.03849092847640277
ACH-000232,0.1054109966280128
ACH-000233,0.18270399307406784
ACH-000234,0.013636181147456721
ACH-000235,0.0009039822100871676
ACH-000237,-0.12852854559434787
ACH-000238,0.0286774496815137
ACH-000242,-0.12951253818243394
ACH-000243,0.011333298676842343
ACH-000244,-0.012157771492217086
ACH-000246,0.09278603937609092
ACH-000248,-0.10503801978670133
ACH-000250,-0.07303738359816768
ACH-000251,0.005146245735242321
ACH-000252,-0.2510983425746429
ACH-000253,0.036275195695971166
ACH-000255,-0.02949350877287237
ACH-000256,0.003494065757378185
ACH-000257,0.04177075725770913
ACH-000258,0.013520219625995622
ACH-000259,0.08988058740916617
ACH-000260,-0.02204605187743009
ACH-000261,-0.08577992880374029
ACH-000262,-0.05571303749662186
ACH-000263,-0.11135175678080728
ACH-000264,-0.021483847322158817
ACH-000265,-0.21335887225575373
ACH-000266,-0.03334862825793572
ACH-000272,-0.06284329013210607
ACH-000274,-0.03683510210995425
ACH-000277,0.13341127366614616
ACH-000278,-0.07824163575443692
ACH-000279,-0.039670971960330634
ACH-000280,-0.009397098512729563
ACH-000281,0.3659662868008035
ACH-000288,-0.014408387479799594
ACH-000291,-0.13239281962439234
ACH-000293,-0.010058834335121027
ACH-000294,-0.11491171252865245
ACH-000295,-0.0493668995788307
ACH-000296,0.030780914798748005
ACH-000302,-0.1692976457764426
ACH-000304,-0.1895987275005145
ACH-000307,-0.10769998743099528
ACH-000308,-0.0004905361024259188
ACH-000310,-0.004697913873659721
ACH-000311,-0.02105207148385276
ACH-000312,0.07734073307883077
ACH-000315,0.25439497356560603
ACH-000316,-0.0460565436997436
ACH-000317,0.07494529205012412
ACH-000318,0.017857471558675723
ACH-000319,-0.08748516902848638
ACH-000320,0.10318573791924952
ACH-000322,-0.061894992209232176
ACH-000323,0.07626793025947448
ACH-000324,0.12404533615043735
ACH-000329,0.051863834628384106
ACH-000330,0.269298729478764
ACH-000331,-0.07336581280459792
ACH-000332,0.023707301146153752
ACH-000334,0.019927334034578924
ACH-000335,-0.20877676456233865
ACH-000336,-0.0016537002947589927
ACH-000337,-0.05557933447461688
ACH-000338,-0.349633119483731
ACH-000339,0.05878154169660515
ACH-000341,0.05263031085449936
ACH-000348,-0.019600748997483385
ACH-000350,0.07306118954319547
ACH-000352,-0.015535259236345713
ACH-000356,-0.11171217818379477
ACH-000361,0.005928057620149247
ACH-000362,0.1190470604109236
ACH-000363,-0.12932200225610807
ACH-000364,-0.01635289615122261
ACH-000365,0.12309553801808593
ACH-000366,0.14736597438942994
ACH-000368,-0.04396781881561411
ACH-000374,0.1161285845521106
ACH-000375,-0.055218390490543216
ACH-000376,0.00986236122096933
ACH-000381,-0.01929510801679319
ACH-000383,-0.08608737760437933
ACH-000387,0.06369738589983115
ACH-000389,0.01915529204831484
ACH-000390,0.013726175105327804
ACH-000393,-0.053217273196342216
ACH-000395,-0.08059331297222241
ACH-000396,-0.1430715202519585
ACH-000397,0.15981626998457973
ACH-000401,0.19913281599188068
ACH-000402,0.32218395287300483
ACH-000403,-0.0814927949993485
ACH-000404,-0.19981589846635048
ACH-000406,0.11078712965504492
ACH-000407,-0.13258442852913352
ACH-000408,0.2335779410094175
ACH-000410,-0.08389077436753987
ACH-000411,-0.024452064166366826
ACH-000414,0.08332718279375646
ACH-000415,0.08101560563252387
ACH-000416,-0.09707479372871622
ACH-000420,-0.04754177377638708
ACH-000421,-0.032832188904864924
ACH-000424,-0.08737876402429776
ACH-000425,-0.11242818249270896
ACH-000426,-0.056306424792428166
ACH-000427,0.005884831332333924
ACH-000433,-0.06413858003321607
ACH-000435,0.11406580954735662
ACH-000436,0.004471350756564897
ACH-000444,0.09651285933787217
ACH-000445,0.3169236448305169
ACH-000448,-0.055852594008329655
ACH-000450,0.146925241474555
ACH-000452,0.037646709334138384
ACH-000454,-0.028010245504385252
ACH-000458,-0.30535013898430474
ACH-000459,-0.15836465520832266
ACH-000460,-0.06897139781324886
ACH-000461,-0.06085210280281125
ACH-000463,-0.0010220535405468748
ACH-000464,-0.022545218781266432
ACH-000466,0.061347961769490165
