,N6AMT1 (29104)
ACH-000004,-0.6055786426486993
ACH-000005,-0.8107499046078165
ACH-000007,-0.8550469677906681
ACH-000009,-0.7869703956344867
ACH-000011,-0.5743112072255568
ACH-000012,-0.6772002855078938
ACH-000013,-0.3704859608693404
ACH-000014,-0.6360206996705876
ACH-000015,-0.7642600021321101
ACH-000017,-0.3950960896526125
ACH-000018,-0.7386608902334987
ACH-000019,-0.4837151477553535
ACH-000021,-0.36004994460910983
ACH-000022,-0.6708789601272863
ACH-000025,-0.8973192843815471
ACH-000028,-0.6174452326446096
ACH-000030,-0.9240257037006524
ACH-000035,-0.3808642138400127
ACH-000036,-0.4861369496485306
ACH-000037,-0.5927959691554125
ACH-000039,-0.4832539818723658
ACH-000040,-0.35237514260585073
ACH-000041,-0.3959916542653495
ACH-000042,-0.7603868014005123
ACH-000045,-0.5154763509337758
ACH-000047,-0.6210302162268156
ACH-000052,-0.956411268352068
ACH-000053,-0.5930338045589553
ACH-000054,-0.4515559978198537
ACH-000055,-0.7669284848563355
ACH-000060,-0.5280690412442426
ACH-000067,-0.37090093135205016
ACH-000070,-0.4591561805302658
ACH-000075,-0.2268477396847927
ACH-000078,-0.2703242747961301
ACH-000082,-0.6668344769152509
ACH-000085,-0.3247552014410639
ACH-000086,-0.3518860131679901
ACH-000087,-0.6765696909827741
ACH-000092,-0.7998477024595136
ACH-000095,-0.4909110668379617
ACH-000097,-0.4411888061016153
ACH-000098,-0.7711590317779801
ACH-000099,-0.3294171512761544
ACH-000108,-0.40443888483615786
ACH-000113,-0.4484360197635765
ACH-000116,-0.5384763698703101
ACH-000118,-0.5180519285538471
ACH-000120,-0.5175224811669016
ACH-000123,-0.5499989755466811
ACH-000127,-0.8566047039630905
ACH-000128,-0.534983809166632
ACH-000132,-0.6855634153695304
ACH-000133,-0.6237702236181542
ACH-000137,-0.4359280216116726
ACH-000138,-0.5096978386804834
ACH-000142,-0.7805067866857299
ACH-000143,-0.528090631115791
ACH-000146,-0.32764359324777736
ACH-000148,-0.547313599986992
ACH-000150,-0.2872818793292391
ACH-000152,-0.40130901489416576
ACH-000153,-0.8943951204568328
ACH-000159,-0.31985526446291385
ACH-000160,-0.6352533935194857
ACH-000163,-0.4664436113218854
ACH-000167,-0.4527431436556446
ACH-000168,-0.6470596261032985
ACH-000169,-0.5560462761030585
ACH-000178,-0.6223440701057025
ACH-000183,-0.8573157817823829
ACH-000188,-0.7373148975751295
ACH-000189,-0.7542930360003657
ACH-000190,-0.9739076141585344
ACH-000198,-0.6018001029186087
ACH-000203,-0.16005293864636447
ACH-000204,-0.4155175329990084
ACH-000206,-0.9768947404328232
ACH-000207,-0.6371982120441249
ACH-000208,-0.6662402979998918
ACH-000210,-0.4432596700737103
ACH-000211,-0.7248020902702378
ACH-000215,-0.5579776704133238
ACH-000221,-0.7639726407431133
ACH-000222,-0.4952634359915711
ACH-000223,-0.4299222046783092
ACH-000226,-0.5791182107946572
ACH-000227,-0.3916528117327488
ACH-000228,-0.3230133285516635
ACH-000231,-0.3807881107661189
ACH-000232,-0.7018004932228672
ACH-000233,-0.5180412309693518
ACH-000234,-0.4891040692886674
ACH-000235,-0.5171788602665386
ACH-000237,-0.5493854494208084
ACH-000238,-0.7597729119766833
ACH-000242,-0.3639017384149731
ACH-000243,-0.6837745183036987
ACH-000244,-0.4573238201614633
ACH-000246,-0.34088682338876963
ACH-000248,-0.438433116075521
ACH-000250,-0.4739595818763442
ACH-000251,-0.8359395066407802
ACH-000252,-0.5923957008873989
ACH-000253,-0.4089805386508396
ACH-000255,-0.751468846268427
ACH-000256,-0.5869713574789207
ACH-000257,-0.5695264464858399
ACH-000258,-0.29195726038676195
ACH-000259,-0.3792110693001952
ACH-000260,-0.9444147738060862
ACH-000261,-0.2451937272288719
ACH-000262,-0.3872536884325224
ACH-000263,-0.5725283833455039
ACH-000264,-0.5558522228033513
ACH-000265,-0.7427227350454199
