,UVSSA (57654)
ACH-000004,-0.002323450569092697
ACH-000005,0.36278832468718303
ACH-000007,-0.28915352376427383
ACH-000009,-0.15427686229169735
ACH-000011,-0.10162672619103376
ACH-000012,-0.11792631483366416
ACH-000013,-0.0697023373928044
ACH-000014,0.013421302974698221
ACH-000015,-0.08554875754987552
ACH-000017,-0.09419692687360792
ACH-000018,-0.14020147840973027
ACH-000019,-0.2821498891327905
ACH-000021,-0.09456572115489592
ACH-000022,0.015859275890883068
ACH-000025,-0.054118314629630265
ACH-000028,0.008738808541566473
ACH-000030,-0.08265654466977419
ACH-000035,-0.12753361795358334
ACH-000036,-0.14459217861340767
ACH-000037,-0.10038959498408204
ACH-000039,-0.13818329798187595
ACH-000040,-0.16365762003040768
ACH-000041,-0.1428292998578346
ACH-000042,-0.1369627225565259
ACH-000045,-0.13990210753632962
ACH-000047,-0.0042502962109477035
ACH-000052,-0.22298851429737188
ACH-000053,-0.07568894917305377
ACH-000054,-0.10154637647512782
ACH-000055,-0.09871018371215257
ACH-000060,-0.11443768707729322
ACH-000067,-0.09629956331590694
ACH-000070,0.00461165010773586
ACH-000075,-0.09084585406797956
ACH-000078,-0.09580835811915253
ACH-000082,-0.015761938868803612
ACH-000085,0.0008684968394850509
ACH-000086,-0.09330656117885963
ACH-000087,0.21962617681682256
ACH-000092,-0.07968584064168929
ACH-000095,-0.06324936320660555
ACH-000097,-0.08280415804813858
ACH-000098,-0.0836978690493575
ACH-000099,-0.20606983832355727
ACH-000108,-0.14520482561678275
ACH-000113,-0.047852613765290784
ACH-000116,-0.04194822369727343
ACH-000118,-0.13152044528829507
ACH-000120,-0.04808259075209601
ACH-000123,-0.2153792148609594
ACH-000127,-0.035025832592857215
ACH-000128,-0.11217741874524027
ACH-000132,-0.03822801350713433
ACH-000133,-0.2782884732994462
ACH-000137,0.02228420435398491
ACH-000138,-0.08117550459871803
ACH-000142,-0.03913554258841997
ACH-000143,-0.29014005723549663
ACH-000146,-0.12269018352506746
ACH-000148,-0.1768017939019368
ACH-000150,-0.21868650578712015
ACH-000152,-0.0024878830510195386
ACH-000153,-0.23598452763071204
ACH-000159,-0.06514433751182379
ACH-000160,-0.03335387624591932
ACH-000163,-0.02392951383686894
ACH-000167,0.03994471408159793
ACH-000168,-0.05425373139456422
ACH-000169,-0.0361313977665814
ACH-000178,-0.171919173123941
ACH-000183,-0.17122017777971146
ACH-000188,-0.10042483751798532
ACH-000189,-0.005219555782285689
ACH-000190,0.01531117075600028
ACH-000198,-0.0911908011161568
ACH-000203,-0.08900178691475713
ACH-000204,-0.28300056042475896
ACH-000206,-0.002164735389989988
ACH-000207,-0.2120830052085622
ACH-000208,-0.09049554584773424
ACH-000210,-0.3926269429919909
ACH-000211,-0.17286626100477434
ACH-000215,-0.06261445950314437
ACH-000221,-0.13095014628333312
ACH-000222,-0.049532677965388
ACH-000223,-0.1067282969261992
ACH-000226,0.06335273331538697
ACH-000227,-0.2797366758945886
ACH-000228,-0.04257453602052302
ACH-000231,-0.10774132934065572
ACH-000232,-0.2349469376188324
ACH-000233,-0.058406629389448565
ACH-000234,-0.06460656418078728
ACH-000235,-0.0110192127265434
ACH-000237,-0.22399052094549785
ACH-000238,-0.16457652093778122
ACH-000242,-0.13791773124234594
ACH-000243,-0.032206309509536936
ACH-000244,0.08831769348106129
ACH-000246,-0.05032711423679168
ACH-000248,-0.14393337337597106
ACH-000250,-0.06019915995456769
ACH-000251,-0.3637495319978365
ACH-000252,-0.12032414129432352
ACH-000253,-0.12057014840734187
ACH-000255,-0.012931350832786005
ACH-000256,0.02042507715184085
ACH-000257,-0.26068824064269763
ACH-000258,-0.2063064119006165
ACH-000259,-0.06642775749033197
ACH-000260,-0.1386669601890463
ACH-000261,-0.071807091106196
ACH-000262,-0.11782417037478625
ACH-000263,-0.2356920511783834
ACH-000264,-0.17598148370673994
ACH-000265,-0.022794594559567716
ACH-000266,-0.13726546287335514
ACH-000272,-0.06343777304334591
ACH-000274,-0.4467698179739663
ACH-000277,-0.09953769198785417
ACH-000278,-0.17207369184908336
ACH-000279,-0.21081501701307687
ACH-000280,0.1617931259308421
ACH-000281,-0.22468114304505826
ACH-000288,-0.09460177362187444
ACH-000291,-0.07837606013463165
ACH-000293,-0.1166158947711122
ACH-000294,-0.07415747753558663
ACH-000295,-0.13045560341773954
ACH-000296,-0.07733904521013017
ACH-000302,-0.15160409837597444
ACH-000304,-0.1949179227773704
ACH-000307,-0.08140042521268516
ACH-000308,-0.16002338766265106
ACH-000310,-0.1095951128455126
ACH-000311,-0.16892955810404536
ACH-000312,-0.03265361643894879
ACH-000315,-0.18594926086126265
ACH-000316,-0.04632728580165248
ACH-000317,0.054461448462636106
ACH-000318,-0.06791277230163202
ACH-000319,-0.10448370983278296
ACH-000320,-0.08306243187384556
ACH-000322,-0.17152114401019408
ACH-000323,-0.19086585109554813
ACH-000324,-0.1633852765573368
ACH-000329,-0.14060385384811058
ACH-000330,-0.12031897526174065
ACH-000331,-0.1036552702190323
ACH-000332,-0.09912834795446616
ACH-000334,-0.30610640309008363
ACH-000335,-0.029817665990085493
ACH-000336,-0.11477520757683655
ACH-000337,-0.026277609343548083
ACH-000338,0.11512755499875177
ACH-000339,-0.07267565565588664
ACH-000341,-0.04319099867460061
ACH-000348,-0.1744357194347971
ACH-000350,-0.12163468914031166
ACH-000352,-0.04224977572304102
ACH-000356,-0.050313097709319736
ACH-000361,0.01552197362070119
ACH-000362,-0.05871259427853106
ACH-000363,-0.13941988951208234
ACH-000364,0.1251001042925648
ACH-000365,-0.11099311630856387
ACH-000366,-0.2022830284069103
ACH-000368,-0.0936023212559534
ACH-000374,0.0050314091538946
ACH-000375,-0.2597677650590425
ACH-000376,-0.1477450688452573
ACH-000381,-0.1387745749655031
