,OGDH (4967)
ACH-000004,-0.961018891251075
ACH-000005,-1.0621770459743212
ACH-000007,-0.34340850109936183
ACH-000009,-0.2728304735317161
ACH-000011,-0.5559741267899603
ACH-000012,-0.49219597852411
ACH-000013,-0.1871243405243286
ACH-000014,-0.36975296355227394
ACH-000015,-0.42365913268445377
ACH-000017,-0.4943457783319693
ACH-000018,-0.4915714731796805
ACH-000019,-0.5652397734579256
ACH-000021,-0.2400661933960909
ACH-000022,-0.14558087695164434
ACH-000025,-0.3480479292806036
ACH-000028,-0.4105132733008611
ACH-000030,-0.5948434259285397
ACH-000035,-0.38488435304467106
ACH-000036,-0.019285764408459017
ACH-000037,-0.2730806825872211
ACH-000039,-0.2215199417983584
ACH-000040,-0.2899000971642115
ACH-000041,-0.580980876167189
ACH-000042,-0.6027344082081333
ACH-000045,-0.2910217632260154
ACH-000047,-0.4236376438101184
ACH-000052,-0.2606704377052915
ACH-000053,-0.6140801418163678
ACH-000054,-0.6259754756042573
ACH-000055,-0.3218050305116343
ACH-000060,-0.15518020982591554
ACH-000067,0.0054015300074185795
ACH-000070,-0.6200860134010155
ACH-000075,-0.4508778886425856
ACH-000078,-0.5551402632299978
ACH-000082,-0.2468631682863901
ACH-000085,-0.18064989270307605
ACH-000086,0.05734707497782954
ACH-000087,-0.6615460948202765
ACH-000092,-0.17894757371953818
ACH-000095,-0.14753439192523826
ACH-000097,-0.4292798936515587
ACH-000098,-0.2341029817163193
ACH-000099,-0.5428317781945216
ACH-000108,-0.634879013520221
ACH-000113,-0.4144309045118577
ACH-000116,-0.2696520045486775
ACH-000118,-0.4891810221651038
ACH-000120,-0.12430299031482415
ACH-000123,-0.2430868372816804
ACH-000127,-0.6865045504219931
ACH-000128,-0.4394174705680273
ACH-000132,-0.019385960697949046
ACH-000133,-0.3534496158441294
ACH-000137,-0.3051365024259069
ACH-000138,-0.7178136537559271
ACH-000142,-0.4246205324511719
ACH-000143,-0.5113072705406433
ACH-000146,-0.7922515015869253
ACH-000148,-0.26768046798769185
ACH-000150,-0.03501250604424358
ACH-000152,-0.08241294627963189
ACH-000153,-0.28158952150056105
ACH-000159,-0.5377502123840104
ACH-000160,-0.11124343648292433
ACH-000163,-0.10786701747318768
ACH-000167,0.06142988624520895
ACH-000168,-0.4364340536848734
ACH-000169,-0.17563033054573315
ACH-000178,-0.16075219448332054
ACH-000183,-0.5762071284552132
ACH-000188,-0.13043849899464235
ACH-000189,-0.3573372667020745
ACH-000190,-0.035636178244118716
ACH-000198,-0.5186338870402963
ACH-000203,-0.4411901654938231
ACH-000204,-0.1060741441113036
ACH-000206,-0.8697447159202495
ACH-000207,-0.7892716449828279
ACH-000208,-0.103061352780248
ACH-000210,-0.5884540873120868
ACH-000211,-0.1615790688975654
ACH-000215,-0.20790031447000268
ACH-000221,-0.9938084127837712
ACH-000222,-0.6152653789922607
ACH-000223,-0.20331995175856307
ACH-000226,-0.3755772089032182
ACH-000227,-0.3779666467632953
ACH-000228,-0.4348050683877918
ACH-000231,-0.2704320284966599
ACH-000232,-0.053493539920703284
ACH-000233,-0.5369645646539802
ACH-000234,-0.3417671743192225
ACH-000235,-0.7143619631326649
ACH-000237,-0.2049758747679507
ACH-000238,-0.2837672968603604
ACH-000242,-0.21293352457618292
ACH-000243,-0.35704009476664883
ACH-000244,-0.4117014826407136
ACH-000246,-0.40120306941011263
ACH-000248,-0.2305712897301793
ACH-000250,-0.8824603603567654
ACH-000251,-0.15495405726311598
ACH-000252,-0.1701870361028087
ACH-000253,-0.4806641927415654
ACH-000255,-0.43874936963924455
ACH-000256,-0.17608030074207234
ACH-000257,-0.6158234913085149
ACH-000258,-0.7636585391892973
ACH-000259,-0.33970030416629715
ACH-000260,-0.06788890172468813
ACH-000261,-0.4103040639026103
ACH-000262,-0.5423711030588853
ACH-000263,-0.8644171715305499
ACH-000264,-0.42873264167988384
ACH-000265,-0.22723205487448114
ACH-000266,-0.40215350461238347
ACH-000272,-0.3723755817306661
ACH-000274,-0.16856537459693274
ACH-000277,-0.90509435551686
ACH-000278,-0.19796507779910646
ACH-000279,-0.7421473296859077
ACH-000280,-0.2688324251517922
ACH-000281,-0.5005385193950886
ACH-000288,-0.2953809161006419
ACH-000291,-0.1581549973174985
ACH-000293,-0.2432439178873901
ACH-000294,-0.6241877347465209
ACH-000295,-0.7950225902506592
ACH-000296,-0.018872249419958187
ACH-000302,-0.3378677607325601
ACH-000304,-0.4575914657484832
ACH-000307,-0.35161666863084484
ACH-000308,-0.4136856999006469
ACH-000310,-0.2354450395499109
ACH-000311,-0.5328879287006223
ACH-000312,-0.35975947278470644
ACH-000315,-0.9664430441386924
ACH-000316,-0.3238436566054768
ACH-000317,-0.6558893686493833
ACH-000318,-0.6212173448283252
ACH-000319,-0.2771509061400298
ACH-000320,-0.3982456383697069
ACH-000322,-0.3434690391988281
ACH-000323,-0.05813846844943149
ACH-000324,-0.3048137813920825
ACH-000329,-0.3741369888839136
ACH-000330,-0.5902405408262442
ACH-000331,-0.071495775952125
ACH-000332,-0.4402148065773628
ACH-000334,-0.4386572203791145
ACH-000335,-0.3799966259543902
ACH-000336,-0.3719541198954373
ACH-000337,-0.5919809695737134
ACH-000338,-0.06444520195870654
ACH-000339,-0.6280682941913506
ACH-000341,-0.3382959638905215
ACH-000348,-0.2519250468362604
ACH-000350,-0.9510885682556016
ACH-000352,-0.8646159462866693
ACH-000356,-0.3745216885340175
ACH-000361,-0.2515906252593926
ACH-000362,-0.4795880385346946
ACH-000363,-0.8156220417638431
ACH-000364,-0.21896056936160502
ACH-000365,-0.6442253834267733
ACH-000366,-0.2727753900884885
ACH-000368,-0.2159807429734413
ACH-000374,-0.24619211170774236
ACH-000375,-0.3542787803142932
ACH-000376,-0.0603660458471359
ACH-000381,-0.3100920314360872
ACH-000383,-0.7496202518098357
ACH-000387,-0.8219143882714429
ACH-000389,-0.23006361336571374
ACH-000390,-0.6299814546710302
ACH-000393,-0.3934670108777044
ACH-000395,-0.7613544138769525
ACH-000396,-0.5851649429343758
ACH-000397,-0.454192653450907
ACH-000401,-0.4928394321359978
ACH-000402,-0.35545501882130576
ACH-000403,-0.3348500386936629
ACH-000404,-0.4055107055090582
ACH-000406,-0.7039846994388083
ACH-000407,-0.24056435739018645
ACH-000408,-0.34826097998917216
ACH-000410,-0.222008198825767
ACH-000411,-0.5928804696005607
ACH-000414,-0.3303304976657109
ACH-000415,-0.2300427785044276
ACH-000416,-0.458204119039467
ACH-000420,-0.4832788424863762
ACH-000421,-0.4226728724550438
ACH-000424,-0.43889686306563735
ACH-000425,-0.5565009813792687
