,PPP1R13L (10848)
ACH-000004,-0.16316854055987992
ACH-000005,-0.09692344818775936
ACH-000007,0.09252781844084404
ACH-000009,-0.1321661514091923
ACH-000011,-0.10854757665433967
ACH-000012,0.013543561982044743
ACH-000013,-0.18750129790778264
ACH-000014,-0.24496503504356404
ACH-000015,-0.18060322888865807
ACH-000017,-0.1374902504229735
ACH-000018,-0.1979127754064144
ACH-000019,-0.32115791198553945
ACH-000021,-0.14773143394379354
ACH-000022,-0.18833798913135544
ACH-000025,-0.12497888032826852
ACH-000028,-0.13403977265953665
ACH-000030,-0.2747388341552115
ACH-000035,-0.11097352199317533
ACH-000036,-0.2862029597488422
ACH-000037,-0.1373088526079307
ACH-000039,-0.150943044497445
ACH-000040,-0.17375876710457094
ACH-000041,-0.2292219543189273
ACH-000042,-0.13173716121103404
ACH-000045,-0.1405338330733923
ACH-000047,-0.07258294926541592
ACH-000052,-0.005983815069754484
ACH-000053,-0.283611314872095
ACH-000054,-0.1816780355117627
ACH-000055,-0.2305520556190564
ACH-000060,-0.03292053837966734
ACH-000067,-0.3265048227615095
ACH-000070,-0.01182346720123146
ACH-000075,-0.06702586995049968
ACH-000078,-0.10900450617244853
ACH-000082,-0.18172151319705696
ACH-000085,-0.2676033770712479
ACH-000086,-0.2991107696771589
ACH-000087,-0.0412478247471902
ACH-000092,-0.2461572086761139
ACH-000095,-0.15191367976841766
ACH-000097,-0.08821156983580344
ACH-000098,-0.12232152661722864
ACH-000099,-0.16056319035129688
ACH-000108,-0.18356818648869444
ACH-000113,-0.301031975362307
ACH-000116,-0.11298137309036704
ACH-000118,-0.04812697721772169
ACH-000120,-0.3792650071785705
ACH-000123,-0.015598557694010291
ACH-000127,-0.18717093086441627
ACH-000128,-0.23400390667234064
ACH-000132,-0.19244484258745065
ACH-000133,-0.43927109572515777
ACH-000137,-0.3309226245402978
ACH-000138,-0.10275346521887203
ACH-000142,-0.3058518431040968
ACH-000143,-0.20053010995544027
ACH-000146,-0.08635663246636388
ACH-000148,-0.14874032580257632
ACH-000150,-0.1698712295133381
ACH-000152,-0.3025542605754006
ACH-000153,-0.03322946245927366
ACH-000159,-0.12135070837043052
ACH-000160,0.134931156250115
ACH-000163,-0.0967906313101405
ACH-000167,0.2286426542057848
ACH-000168,-0.1081031190884156
ACH-000169,-0.2614871237854711
ACH-000178,-0.1396387117159763
ACH-000183,-0.1909853655502167
ACH-000188,-0.13115534009239152
ACH-000189,-0.09363952269786044
